condition,front_end,ff_width,rsnn_width,seed,parameter_count,recurrent_parameter_count,source,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_train_accuracy,phase_probe_train_ba,phase_probe_train_macro_f1,phase_probe_val_accuracy,phase_probe_val_ba,phase_probe_val_macro_f1,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_monotonic_violation_rate_mean,progress_probe_test_monotonic_violation_rate_sd,progress_probe_test_n_gestures,progress_probe_test_r2,progress_probe_test_sample_balanced_mae_mean,progress_probe_test_sample_balanced_mae_sd,progress_probe_test_spearman_mean,progress_probe_test_spearman_sd,progress_probe_train_mae,progress_probe_train_monotonic_violation_rate_mean,progress_probe_train_monotonic_violation_rate_sd,progress_probe_train_n_gestures,progress_probe_train_r2,progress_probe_train_sample_balanced_mae_mean,progress_probe_train_sample_balanced_mae_sd,progress_probe_train_spearman_mean,progress_probe_train_spearman_sd,progress_probe_val_mae,progress_probe_val_monotonic_violation_rate_mean,progress_probe_val_monotonic_violation_rate_sd,progress_probe_val_n_gestures,progress_probe_val_r2,progress_probe_val_sample_balanced_mae_mean,progress_probe_val_sample_balanced_mae_sd,progress_probe_val_spearman_mean,progress_probe_val_spearman_sd
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,64,membrane,1.0,0.34169980119284293,0.33742313676269503,0.32075526352920436,0.4729596194751034,0.47004837400148397,0.4593919860936442,0.34211219383723995,0.3383597513289721,0.3207214039051433,0.01,0.12600789964199066,0.3070297817314265,0.057569314170510026,146,0.6935442686080933,0.13505602793844595,0.05549390287612462,0.9286458725642343,0.05696253854793364,0.11387649178504944,0.3243455418611145,0.07529558107213404,581,0.7357053160667419,0.11343755091503648,0.054197590664207776,0.9115882320836215,0.1300914773101116,0.1287083774805069,0.3025443115282821,0.0735276530875834,126,0.6611853837966919,0.13433199284213876,0.06356118228269701,0.9128351238792397,0.09224686914632325
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,64,synaptic,1.0,0.34178263750828364,0.3376097243003795,0.3208165380971192,0.46173815465523305,0.4587723077917557,0.44730082529682835,0.3406197875515758,0.3370201670419549,0.31956266604131295,0.01,0.12767282128334045,0.34588770201903934,0.052441494503287736,146,0.6878193616867065,0.13677580060105618,0.055738102661385444,0.9254564011744606,0.05423057822925541,0.1151154413819313,0.36365909203996816,0.07511129009786334,581,0.732725977897644,0.11452713710049138,0.05329046011923607,0.9086362819608226,0.12838517706360078,0.1295815259218216,0.3373284800452298,0.07304344879967162,126,0.6603342294692993,0.13483595286333372,0.06346433756643009,0.907739749961494,0.08847172071942826
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,64,spike,0.1,0.32339297548045065,0.31911057577277624,0.29798712512617853,0.43159093573617835,0.4284313132587304,0.41328478114870804,0.3285049600561847,0.3245134100185505,0.30283216339798436,0.01,0.12843190133571625,0.3447500120843202,0.060787979647471554,146,0.683980405330658,0.1373837618029689,0.05460884281709155,0.9250906344478652,0.05158978664043754,0.11287834495306015,0.36481047965499347,0.08000342960102717,581,0.7363790273666382,0.11234276729560555,0.053549315696578406,0.91075509212977,0.1282800379446898,0.12840431928634644,0.3329135622875239,0.08486884876716913,126,0.6609513759613037,0.13325198654026266,0.06521250029443515,0.8859622527150687,0.16931147999015575
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,64,spike250,10.0,0.32231610337972166,0.31806484072801644,0.29774839694220995,0.44373356557857535,0.4405332316377276,0.42672325778533515,0.3374593977701694,0.3336800184093674,0.3126174980418259,0.1,0.12322602421045303,0.14553065106913277,0.06956316330742687,146,0.700413167476654,0.13437862528411493,0.06266240828272267,0.9615590163150495,0.051280651241212984,0.1043684259057045,0.16851506043119405,0.08149148000461455,581,0.7643901109695435,0.1051891908985715,0.059754082058778454,0.9449753541182726,0.13591956868052418,0.12217029929161072,0.14834635216090253,0.07992580476171476,126,0.6811983585357666,0.12918044215748234,0.0713558100145265,0.9257528402767867,0.15029847673466223
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,64,spike500,10.0,0.31767726971504306,0.31364660013427265,0.29399538689824845,0.4361967608488117,0.4330943788131757,0.4187724476204287,0.32350100956895794,0.3196704151360896,0.29776949583349216,0.01,0.12073371559381485,0.081034422472921,0.0490016487657648,146,0.7084548473358154,0.1337061629005491,0.06845616323466028,0.9786557535397479,0.03947429621185188,0.10128381103277206,0.10342798936723419,0.07136140584913428,581,0.7724517583847046,0.10328040780778494,0.06396240324090648,0.9605763802518257,0.13007972594201567,0.12019994109869003,0.08941108270031395,0.06463675221676683,126,0.6869197487831116,0.12897339126183874,0.0750259428039026,0.9429539498179242,0.14990547122820314
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,64,membrane,0.1,0.35843273691186217,0.3541922843222187,0.3388970465005013,0.48118311085802334,0.47805257647696664,0.46785314587857424,0.3522078834167325,0.3477738776628015,0.3288621441997238,10.0,0.11474255472421646,0.2976791107004038,0.06491539500144164,146,0.7434979677200317,0.1227193406642708,0.05576748183535861,0.9260924425322121,0.06867728946672627,0.10584855079650879,0.3266951901400501,0.07191956912342923,581,0.7646170258522034,0.10510668915771781,0.0520431816806992,0.9251863701515681,0.107348054963685,0.1218867301940918,0.2937314702080816,0.07347618372541262,126,0.6940962076187134,0.12796062420284937,0.06637624083720248,0.912310428140789,0.12277347385323248
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,64,synaptic,0.1,0.35992379058979457,0.35564699290483925,0.33991970164414126,0.46825330363273987,0.4650732281198332,0.4543524942076683,0.3545781757527873,0.3502055762175426,0.33060647090839235,0.01,0.11468293517827988,0.3347293852999564,0.060929438827224396,146,0.7447748184204102,0.12222016304221055,0.054169638266511874,0.9268236335454351,0.06470145074425153,0.10639534890651703,0.3664086683008501,0.06818004869378118,581,0.7625389695167542,0.10516875861100404,0.051526669877260546,0.9242838275617468,0.11041900430598846,0.12222284823656082,0.33477115071073293,0.07095761533015071,126,0.6916979551315308,0.12782373081242282,0.06511144107192086,0.9134800745517453,0.12463544113213833
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,64,spike,0.01,0.34443339960238567,0.33993241694133175,0.3195318666046699,0.43115547590734754,0.42771161083616693,0.4125834545467105,0.33087525239223947,0.32643690784423096,0.3019414458284979,10.0,0.11841241270303726,0.339079329186063,0.06220674075706329,146,0.7295599579811096,0.1250165733317398,0.05226933572537995,0.9190184547322274,0.06462247695762816,0.10933788865804672,0.3626664120135448,0.0783107205637394,581,0.7514811158180237,0.10788242505436921,0.05058538022777101,0.9169923811475683,0.10169126218984688,0.12439753860235214,0.33067522313315667,0.08031893780024027,126,0.6820061802864075,0.1295533265386309,0.06376927236080643,0.9014030980920688,0.13170922665928425
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,64,spike250,0.01,0.32165341285619614,0.3169425955241774,0.2942957193851418,0.44356608102902506,0.440157608862611,0.4258152034521334,0.33640593450970063,0.3315839596564877,0.306523473318988,10.0,0.11365459859371185,0.12417574578151397,0.07847516756136126,146,0.7442231178283691,0.12342482044884603,0.0628361694872928,0.9622268078347457,0.051012800769539415,0.10118342190980911,0.1542745543041869,0.08952593428152329,581,0.7788431644439697,0.10145639976977071,0.056939443536599924,0.9507124829059285,0.10442150481540588,0.12190298736095428,0.13036049246303635,0.0852638418204854,126,0.691119909286499,0.12952571841222899,0.07118718332963449,0.9429760082329305,0.10653580796828471
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,64,spike500,0.01,0.30583167660702454,0.30100403850160407,0.2759719812323794,0.4302343108848209,0.42677306190329184,0.4108001083029899,0.3324554472829427,0.32814934640392435,0.3036811260999078,10.0,0.11362163722515106,0.06657204374204778,0.06933554800914406,146,0.7406095862388611,0.12553541854738373,0.0693438651074703,0.9776842251463674,0.03939239307147071,0.09834254533052444,0.08837927568952116,0.0733378185446926,581,0.7871799468994141,0.10031460451600166,0.061275779866870494,0.9637682856027381,0.12690427171409557,0.12079034000635147,0.07263356154937421,0.0706354089210858,126,0.6879681348800659,0.13035679989982218,0.07698099506575423,0.9558653301723307,0.12842415207987798
