seed,baseline,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_monotonic_violation_rate_mean,progress_probe_test_monotonic_violation_rate_sd,progress_probe_test_n_gestures,progress_probe_test_r2,progress_probe_test_sample_balanced_mae_mean,progress_probe_test_sample_balanced_mae_sd,progress_probe_test_spearman_mean,progress_probe_test_spearman_sd,progress_probe_val_mae,progress_probe_val_monotonic_violation_rate_mean,progress_probe_val_monotonic_violation_rate_sd,progress_probe_val_n_gestures,progress_probe_val_sample_balanced_mae_mean,progress_probe_val_sample_balanced_mae_sd,progress_probe_val_spearman_mean,progress_probe_val_spearman_sd
11,what_only,128,what,1.0,0.32629224652087474,0.32169667646552885,0.3007454074586696,0.30294450300817305,10.0,0.14162498712539673,0.3956932422942416,0.05213746438679699,146,0.6481685638427734,0.14558718777070306,0.040866753739412835,0.8791070701681349,0.08266490788698622,0.1593949794769287,0.3807722407362211,0.08010137578735158,126,0.160244443941684,0.05795423244782903,0.8078749133328298,0.21729496003426824
11,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.0,0.0,146,0.6826409697532654,0.13818985831043493,0.05662259473657069,0.9999999634370718,4.417915430322314e-07,0.11372977495193481,0.0,0.0,126,0.12370152747820294,0.05075316352017766,0.999861872469771,0.0009085713096834689
23,what_only,128,what,0.1,0.334493041749503,0.3298981047220013,0.31004317286288463,0.31601012647778337,10.0,0.1343957781791687,0.3934049285418094,0.05818765088736302,146,0.6832339763641357,0.137821154031035,0.03783300799286656,0.8950083750067513,0.0666716983864289,0.1513528823852539,0.38236524360840835,0.07274665617472882,126,0.1521121125136103,0.05576922037470476,0.8277002248237676,0.19949069012294304
23,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.0,0.0,146,0.6826409697532654,0.13818985831043493,0.05662259473657069,0.9999999634370718,4.417915430322314e-07,0.11372977495193481,0.0,0.0,126,0.12370152747820294,0.05075316352017766,0.999861872469771,0.0009085713096834689
37,what_only,128,what,10.0,0.3312624254473161,0.32685344212295897,0.30738920145886767,0.3185354190317621,0.01,0.137952521443367,0.3993333743030658,0.05290162248719833,146,0.6615563035011292,0.14237577636560347,0.038176183245642835,0.8742736577534305,0.08006395570629708,0.151252880692482,0.389453942170961,0.06913724212533592,126,0.14995176392415213,0.05010862053955716,0.8212952920655117,0.1826659524298957
37,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.0,0.0,146,0.6826409697532654,0.13818985831043493,0.05662259473657069,0.9999999634370718,4.417915430322314e-07,0.11372977495193481,0.0,0.0,126,0.12370152747820294,0.05075316352017766,0.999861872469771,0.0009085713096834689
53,what_only,128,what,10.0,0.32546388336646787,0.32079186177939145,0.29950877853818164,0.31160906979945613,10.0,0.13880522549152374,0.39070498596366626,0.05062976094402635,146,0.6615139245986938,0.14286166536685538,0.03928600089273706,0.8781043421345316,0.07438877253375498,0.1548178642988205,0.3763283058936832,0.07171516221512496,126,0.1549157980415556,0.058324069577377784,0.8095124365833459,0.22587499716920822
53,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.0,0.0,146,0.6826409697532654,0.13818985831043493,0.05662259473657069,0.9999999634370718,4.417915430322314e-07,0.11372977495193481,0.0,0.0,126,0.12370152747820294,0.05075316352017766,0.999861872469771,0.0009085713096834689
71,what_only,128,what,0.1,0.32123923127899273,0.3163964865647495,0.2925050389594125,0.30228363638238065,10.0,0.14105331897735596,0.3962973122644733,0.051553979354566945,146,0.6543788909912109,0.14332647555290837,0.03986373161026372,0.8776060750013512,0.08449945050093292,0.15924018621444702,0.372304150337961,0.08195859158577895,126,0.1598820404873954,0.06096648899555393,0.7967034330456771,0.23785288579322644
71,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.0,0.0,146,0.6826409697532654,0.13818985831043493,0.05662259473657069,0.9999999634370718,4.417915430322314e-07,0.11372977495193481,0.0,0.0,126,0.12370152747820294,0.05075316352017766,0.999861872469771,0.0009085713096834689
