condition,front_end,ff_width,rsnn_width,seed,parameter_count,recurrent_parameter_count,source,ablation,replicate,native_test_phase_ba,native_test_progress_mae,probe_test_phase_ba,probe_test_progress_mae,probe_test_sample_balanced_mae_mean,probe_test_sample_balanced_mae_sd,probe_test_spearman_mean,probe_test_spearman_sd,probe_test_monotonic_violation_rate_mean,probe_test_monotonic_violation_rate_sd
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,ordered,0,0.34856860585578514,0.1744926155429997,0.33742313676269503,0.12600789964199066,0.13505602793844595,0.05549390287612462,0.9286458725642343,0.05696253854793364,0.3070297817314265,0.057569314170510026
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,state_reset,0,0.19715339700590842,0.24963018992175795,0.3053122575236708,0.15228165686130524,0.15481055849423148,0.036849774018088234,0.8497518097001757,0.09577157539847085,0.400902284322285,0.05320555273148055
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,temporal_shuffle,0,0.12444986797910343,0.24805119919450316,0.21992217027601763,0.21109171211719513,0.20992394465289704,0.037743652865621764,0.5500015000322769,0.27165026407574494,0.45670470582641864,0.044708017752822855
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,temporal_shuffle,1,0.13590816282708781,0.23750849619303663,0.22164424461437554,0.19832022488117218,0.19779426094195615,0.04266020139970222,0.6220327546900738,0.25109954020913866,0.4513683509748272,0.04164778873934938
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,temporal_shuffle,2,0.12180402574393698,0.24246609047667622,0.22510818418746942,0.2059926837682724,0.20420946420667924,0.039950173968892576,0.5812065108879166,0.27032971318724325,0.4516452741573196,0.0464078762964057
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,temporal_shuffle,3,0.12055295219280251,0.24274162396992724,0.21951568280694939,0.20296838879585266,0.20137231184603416,0.03784478040586807,0.5953212600442224,0.2404288036879066,0.45162547434091516,0.042172539471066216
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,temporal_shuffle,4,0.13015063404138133,0.24119854136689067,0.22382381891469452,0.20589742064476013,0.204551064294495,0.039903334339248,0.5801986214996993,0.2511719857331705,0.458272800980908,0.040851833217113186
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,ordered,0,0.37696314550056853,0.14883097557172384,0.3541922843222187,0.11474255472421646,0.1227193406642708,0.05576748183535861,0.9260924425322121,0.06867728946672627,0.2976791107004038,0.06491539500144164
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,state_reset,0,0.15864493587353576,0.26255871171820655,0.3122101328863486,0.14776237308979034,0.15055578620466467,0.03210337480046617,0.8522796015003571,0.06752043570466795,0.406339104809498,0.053359326825354034
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,temporal_shuffle,0,0.12698219224476062,0.24816126366184182,0.22587749734583618,0.19127778708934784,0.1894722902407385,0.044113067321083575,0.6315149642791661,0.27895618191053334,0.43385193642283104,0.04026867091760481
