condition,front_end,ff_width,rsnn_width,seed,parameter_count,recurrent_parameter_count,source,ordered_phase_ba,reset_phase_ba,shuffle_phase_ba,H_reset_phase_ba,H_shuffle_phase_ba,ordered_progress_mae,reset_progress_mae,shuffle_progress_mae,H_reset_progress_mae,H_shuffle_progress_mae,ordered_spearman,reset_spearman,shuffle_spearman,H_reset_spearman,H_shuffle_spearman
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,0.33742313676269503,0.3053122575236708,0.2220028201599013,0.032110879239024226,0.11542031660279373,0.13505602793844595,0.15481055849423148,0.20357020918841232,0.01975453055578552,0.06851418124996636,0.9286458725642343,0.8497518097001757,0.5857521294308379,0.07889406286405853,0.3428937431333964
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,0.3541922843222187,0.3122101328863486,0.23087310104698106,0.04198215143587014,0.12331918327523766,0.1227193406642708,0.15055578620466467,0.19138410534352474,0.02783644554039387,0.06866476467925393,0.9260924425322121,0.8522796015003571,0.62061178703718,0.07381284103185504,0.3054806554950321
direct_rsnn64,direct,0,64,37,13003,4096,reused_exp5_3_2_2_h64,0.3602899586154812,0.30628936308909643,0.24277483769643146,0.054000595526384754,0.11751512091904973,0.1225855046347396,0.15199152599662952,0.18471710014424914,0.02940602136188991,0.06213159550950953,0.9445399780545775,0.8380653240313659,0.6378506602412214,0.10647465402321155,0.30668931781335607
direct_rsnn64,direct,0,64,53,13003,4096,reused_exp5_3_2_2_h64,0.3631138477252782,0.3106626240878413,0.2585661679143313,0.05245122363743693,0.10454767981094693,0.12453360896404475,0.15265965431112133,0.17247707346734936,0.028126045347076578,0.04794346450330461,0.9461542709958423,0.8362718410037796,0.6740317643533602,0.10988242999206266,0.27212250664248205
direct_rsnn64,direct,0,64,71,13003,4096,reused_exp5_3_2_2_h64,0.36116299454922396,0.3055335806638685,0.25911148513402094,0.05562941388535547,0.10205150941520302,0.12678890001692183,0.15130291618917086,0.17571032594328057,0.02451401617224902,0.04892142592635873,0.9129149720426749,0.8501982907244722,0.7046362141953982,0.06271668131820274,0.20827875784727667
linear64_rsnn64,linear,64,64,11,17099,4096,trained_exp5_3_2_3,0.3550032513566022,0.2952613213237844,0.2434925895248438,0.0597419300328178,0.11151066183175842,0.13009200160940215,0.19189455911313016,0.17879315958651779,0.06180255750372801,0.04870115797711563,0.9531429007819778,0.6698339621084088,0.7094632105765106,0.283308938673569,0.2436796902054672
linear64_rsnn64,linear,64,64,23,17099,4096,trained_exp5_3_2_3,0.3651149357931487,0.30270946626791645,0.28897805780556873,0.06240546952523224,0.07613687798757995,0.12762691371449053,0.17205017866337136,0.15559447196452586,0.044423264948880825,0.02796755825003533,0.9417048293025361,0.7697124964446912,0.7916737462275216,0.17199233285784488,0.15003108307501445
linear64_rsnn64,linear,64,64,37,17099,4096,trained_exp5_3_2_3,0.3608247922432465,0.29565707031371335,0.2663685353276522,0.06516772192953313,0.09445625691559428,0.12443475175189646,0.19931233521193675,0.16473104988467205,0.0748775834600403,0.04029629813277559,0.9413528039150076,0.6099291085738234,0.7584522644069803,0.3314236953411842,0.18290053950802732
linear64_rsnn64,linear,64,64,53,17099,4096,trained_exp5_3_2_3,0.35611483005186295,0.3050363473715463,0.23557422892643376,0.05107848268031667,0.12054060112542919,0.12743901665488336,0.17217815218314733,0.18719455447711356,0.044739135528263974,0.0597555378222302,0.9264728751524488,0.7700284079130315,0.6338342161409173,0.1564444672394173,0.2926386590115315
linear64_rsnn64,linear,64,64,71,17099,4096,trained_exp5_3_2_3,0.356691287590547,0.29440980551567353,0.22483021562673505,0.062281482074873495,0.13186107196381197,0.1273602868800294,0.18912281871658482,0.19393719646008048,0.06176253183655542,0.06657690958005108,0.9303832489363145,0.6869263837940537,0.636810372616864,0.24345686514226084,0.2935728763194505
ffsnn64_rsnn64,ff_snn,64,64,11,17099,4096,trained_exp5_3_2_3,0.34241568310905796,0.2796903992557137,0.22685935016004904,0.06272528385334425,0.11555633294900891,0.13040962391724326,0.1685600123585087,0.20180645781020595,0.03815038844126545,0.0713968338929627,0.9335833648362144,0.8046206807023392,0.5594585763840352,0.12896268413387524,0.3741247884521792
ffsnn64_rsnn64,ff_snn,64,64,23,17099,4096,trained_exp5_3_2_3,0.34361828656269255,0.2683971155530428,0.22416979056859482,0.07522117100964976,0.11944849599409774,0.12704290528717924,0.17843470288670227,0.19682728100108773,0.05139179759952303,0.0697843757139085,0.9236729892454241,0.7631461976398037,0.5461732465467011,0.16052679160562033,0.377499742698723
ffsnn64_rsnn64,ff_snn,64,64,37,17099,4096,trained_exp5_3_2_3,0.3525111535249482,0.28007763843106603,0.23886600027511146,0.07243351509388218,0.11364515324983676,0.1195037010036511,0.16189936563780863,0.19233801024009106,0.04239566463415753,0.07283430923643996,0.9487696354054366,0.7862602031364886,0.6343447727293552,0.16250943226894798,0.3144248626760814
ffsnn64_rsnn64,ff_snn,64,64,53,17099,4096,trained_exp5_3_2_3,0.34613044441938484,0.29596304366712434,0.2200752063416486,0.050167400752260505,0.12605523807773625,0.1286728405074714,0.1632287510453838,0.2026353609888521,0.034555910537912404,0.07396252048138069,0.9207124649420669,0.8097495931066097,0.5440703848686707,0.11096287183545728,0.3766420800733963
ffsnn64_rsnn64,ff_snn,64,64,71,17099,4096,trained_exp5_3_2_3,0.3620225369209257,0.2776088622430598,0.23603807387400516,0.08441367467786587,0.12598446304692051,0.12414000364505265,0.1705740925485957,0.19308625781168676,0.04643408890354306,0.06894625416663411,0.935331330194295,0.7764181167461256,0.6003430228273569,0.15891321344816944,0.3349883073669382
ffsnn128_rsnn64,ff_snn,128,64,11,29387,4096,trained_exp5_3_2_3,0.33832394139430044,0.28115144333391073,0.19508556615977551,0.05717249806038971,0.14323837523452493,0.13088377478392157,0.16750105419387556,0.21600585947298026,0.03661727940995399,0.08512208468905869,0.9345992850700867,0.7972777915412275,0.4095008248033345,0.13732149352885925,0.5250984602667522
ffsnn128_rsnn64,ff_snn,128,64,23,29387,4096,trained_exp5_3_2_3,0.35192224526368315,0.3088953366716234,0.21747401965809615,0.043026908592059765,0.134448225605587,0.12124474481870867,0.1610851142402381,0.20049102919763082,0.03984036942152944,0.07924628437892214,0.9448423910486843,0.8265256537299428,0.5769859728095525,0.11831673731874148,0.36785641823913173
ffsnn128_rsnn64,ff_snn,128,64,37,29387,4096,trained_exp5_3_2_3,0.3602126950224663,0.30319181354134783,0.21284268227596792,0.057020881481118446,0.14737001274649836,0.11998393304952204,0.1600915054752402,0.20639488680721962,0.04010757242571816,0.08641095375769758,0.9422346918340915,0.8293515522704655,0.4633852575228287,0.11288313956362594,0.47884943431126276
ffsnn128_rsnn64,ff_snn,128,64,53,29387,4096,trained_exp5_3_2_3,0.35873248190162277,0.2917653205785165,0.2158942352988722,0.06696716132310626,0.14283824660275057,0.12477129335476927,0.16284567867852237,0.20026641726902086,0.038074385323753096,0.07549512391425159,0.9224006202397561,0.8154436598599145,0.5384653165190834,0.10695696037984159,0.38393530372067275
ffsnn128_rsnn64,ff_snn,128,64,71,29387,4096,trained_exp5_3_2_3,0.3629592560926101,0.28039683678822663,0.20890640393611784,0.08256241930438346,0.15405285215649225,0.12076323851943016,0.16765958514727958,0.2069618771031295,0.04689634662784942,0.08619863858369933,0.9265230719236143,0.8138283266841648,0.5046316209871609,0.11269474523944945,0.4218914509364534
