objective,shift,tau_syn_ms,mean_test_balanced_accuracy,mean_test_macro_f1,mean_test_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_val_balanced_accuracy,mean_train_test_ba_gap,mean_best_epoch,mean_test_l1_firing_rate,mean_test_l2_firing_rate,mean_test_l3_firing_rate,sd_test_balanced_accuracy,sd_test_macro_f1,sd_test_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_val_balanced_accuracy,sd_train_test_ba_gap,sd_best_epoch,sd_test_l1_firing_rate,sd_test_l2_firing_rate,sd_test_l3_firing_rate
fixed250_sequence_ce,2,54.31342963722199,0.3577448014948015,0.3361641170305376,0.365296803652968,0.3641573704073704,0.346041248491254,0.4084094917428251,0.5360498152482467,97.66666666666667,0.0068152284211398274,0.04946881212723658,0.12790401687099626,0.04644642543304015,0.052980201778643,0.05320173606269882,0.03400108621685358,0.04130981082155278,0.0672683397578141,0.0330577732653307,2.081665999466131,0.0002440500638805938,0.0011608571678724667,0.009824973086899077
fixed250_sequence_ce,3,117.0136826471659,0.45316165316165313,0.4471413641977717,0.46575342465753417,0.525037000037,0.5140923812576981,0.4976571268237935,0.4863405545480844,68.33333333333333,0.012356848492379058,0.07287977861994697,0.19952291459575877,0.007486402000809549,0.0053686842978163014,0.0136986301369863,0.036430004124564076,0.03492276099777594,0.04608841150965678,0.05346946970303165,22.744962812309307,0.0017433592145065168,0.012487777056448119,0.04825871583107365
fixed250_sequence_ce,4,242.10347130039656,0.42755092130092126,0.4169353932756115,0.43607305936073054,0.40967712842712833,0.4114971229663012,0.45510060926727597,0.5457958399511915,88.0,0.018231755301524186,0.09893719281533024,0.2205814591616965,0.018947005561363247,0.03328561670809985,0.027681177289913567,0.02419763344297328,0.030531899470842682,0.020626939498564867,0.029183042006303145,7.54983443527075,0.0028656505750450155,0.014560974205561317,0.0014153300421486784
fixed250_sequence_ce,5,492.1461612435418,0.2942037129537129,0.30103740327798983,0.2968036529680365,0.3171626984126984,0.3215965516701906,0.32960357543690877,0.6776512728080729,42.0,0.028660717983764083,0.18736625386569472,0.2629513716313232,0.018193575900284753,0.01621047095355073,0.01723706492070947,0.022215670876416637,0.026914378964191903,0.01313302032611218,0.028540580052165695,21.656407827707714,0.003703437597035491,0.01686270090247327,0.009510076233404196
fixed250_sequence_ce,6,992.1669944116244,0.24652037777037775,0.24672006358110657,0.24885844748858446,0.2706293706293706,0.2778655696209791,0.34423400673400667,0.7518661885962108,76.33333333333333,0.05592443602275238,0.24375664416280096,0.2966105278053899,0.023873887307622077,0.02181059023265435,0.024054004001946884,0.04191869038670334,0.03507173584476505,0.05493473352500758,0.023843570932660683,18.58314648635514,0.004052525972353451,0.014505831915524365,0.02153607595040499
fixed250_sequence_ce,7,1992.177287539818,0.23091653716653715,0.23081881357503398,0.23515981735159816,0.229016354016354,0.23422636462671734,0.30341710758377427,0.7674797349225454,57.666666666666664,0.07016581069140711,0.2653053035950961,0.31377964849790146,0.013586842220329222,0.008891278320337592,0.014257986297713236,0.04110185024258,0.04716045789320734,0.01614499978666815,0.013050359020176545,19.03505538035898,0.002742498007891157,0.011865027301138673,0.015145779595328446
relative10_sequence_ce,2,54.31342963722199,0.5139184889184888,0.5088382921827516,0.5182648401826484,0.4020634458134458,0.3925348337253533,0.5606601731601731,0.3786499360921724,77.33333333333333,0.0067392951319858625,0.049562002982107355,0.12292822923569695,0.04727093851368974,0.053384719243016805,0.045604987112872586,0.02509998271835144,0.02457786787907852,0.02622920654670135,0.03289693338191706,15.37313674346694,0.0017936725381841555,0.01817338660663676,0.02783588231326063
relative10_sequence_ce,3,117.0136826471659,0.5683846246346246,0.570236476914504,0.5730593607305936,0.5291294353794354,0.5333331494779666,0.603882074715408,0.4054123251510413,88.0,0.016437184186547382,0.11193386555666003,0.2193035364203667,0.03265228731755285,0.025927267221196256,0.03378686891997429,0.042169615240834485,0.052714777469261946,0.021847056220836037,0.036364271464429415,11.532562594670797,0.0014868557022799638,0.008784346520799893,0.015653639706416082
relative10_sequence_ce,4,242.10347130039656,0.5119850057350056,0.5125495393031975,0.5136986301369864,0.4591216653716654,0.46181911261809966,0.5202621452621452,0.45067387495177563,76.33333333333333,0.017353776645681468,0.09851071522255357,0.21561343743096972,0.010870096815186251,0.008452220368999942,0.013698630136986287,0.03027405999769182,0.022510099560930696,0.014598586227361,0.010903255961265403,14.57166199626293,0.0009155789458886918,0.005744922145882563,0.004926067446979069
relative10_sequence_ce,5,492.1461612435418,0.3411974599474599,0.3416845084080861,0.34474885844748854,0.3078648203648204,0.3021010694576331,0.3651936026936027,0.63475737010456,39.333333333333336,0.02919160384912746,0.1890674184062293,0.2749561657830793,0.01753155505764309,0.013292689304736259,0.022017467490851463,0.0035735136844124017,0.016682668291886655,0.056834415492186555,0.013891630363654952,10.598742063723096,0.0035754793519688502,0.008039476291856909,0.0045211095715891395
relative10_sequence_ce,6,992.1669944116244,0.30307054057054056,0.29528736474920053,0.3036529680365297,0.25474247974247977,0.2524974571843171,0.34428210678210674,0.6775103370251657,42.666666666666664,0.05337700360337972,0.256808756833996,0.2929070542025624,0.02827278525483038,0.0433158051990709,0.02768117728991357,0.02036228260409206,0.02323636195331725,0.006522538226813858,0.010948754215029683,17.55942292142123,0.004204093039962408,0.004535217948576695,0.01709875498980635
relative10_sequence_ce,7,1992.177287539818,0.2608491045991046,0.2583386303704949,0.26484018264840187,0.23732818107818107,0.23909122771494049,0.31196288279621615,0.6153190602650432,32.666666666666664,0.071088874737685,0.26960718328915395,0.31900523939695163,0.011562053751990395,0.014909027478590929,0.010462501586657146,0.05997934068011685,0.04903854967006261,0.047953292057543506,0.14997313954339211,16.010413278030438,0.0039605564676552405,0.012924913493348145,0.017628987109302795
timestep_ce,2,54.31342963722199,0.36340603840603847,0.29405730087155335,0.3904109589041096,0.5424820549820549,0.5445753533273869,0.3634259259259259,0.18887582442547748,82.66666666666667,0.013036149422907003,0.12032535688645903,0.3010004210846035,0.051561933948194166,0.07795251908318562,0.05171119476212844,0.05255915468021896,0.053014618736733334,0.010416824135872003,0.04260311112459393,11.06044001535804,0.002662510864896398,0.017238531365127485,0.027598514691649357
timestep_ce,3,117.0136826471659,0.4536680911680911,0.40237205700206996,0.4748858447488584,0.5558790746290746,0.5521750257264909,0.4640512265512265,0.3196114029387121,70.66666666666667,0.022357176386127678,0.1553638240004418,0.36055541749502984,0.038417591260017654,0.03464408098888131,0.038946854130666626,0.0489325672527878,0.047558442103592856,0.02815230406832407,0.1307039882215128,19.73153144926499,0.001598531062852117,0.006833540587078205,0.036991739320785796
timestep_ce,4,242.10347130039656,0.35601319976319973,0.32105477714471625,0.37442922374429227,0.4300017112517112,0.4196993393300979,0.3737073112073112,0.5440264875041697,70.0,0.027556665217031148,0.12956850908438258,0.3298067497791031,0.013068207917746563,0.024424901635573027,0.007908907797118161,0.030595867047851825,0.02864956260897473,0.025664409909811677,0.01995236788854969,16.46207763315433,0.0009298679894037066,0.007525038763709093,0.022291782480272148
