metric,A_raw_reference,B_raw_to_reconstruction
CNN_test_balanced_accuracy,0.42676767676767674,0.22348484848484848
CNN_test_accuracy,0.4409448818897638,0.23622047244094488
CNN_test_macro_f1,0.3811699468133549,0.16686510857563489
kNN_selected_k,15.0,15.0
kNN_test_balanced_accuracy,0.5919312169312169,0.3432239057239057
kNN_test_accuracy,0.5984251968503937,0.36220472440944884
kNN_test_macro_f1,0.558120965846097,0.2915066411405401
prototype_test_balanced_accuracy,0.5585618085618085,0.3218795093795094
prototype_test_accuracy,0.5590551181102362,0.33858267716535434
prototype_test_macro_f1,0.5254076050340907,0.3080170588448957
linear_probe_test_balanced_accuracy,0.5648749398749399,0.36447811447811457
linear_probe_test_accuracy,0.5590551181102362,0.3858267716535433
linear_probe_test_macro_f1,0.5380199122717183,0.32798404932507874
retrieval_macro_mAP,0.40378427633759423,0.25732759215100676
retrieval_micro_mAP,0.41385501154887616,0.2651785771587065
SameLabel_macro_at_1,0.4911014911014911,0.2847222222222222
SameLabel_micro_at_1,0.5039370078740157,0.2992125984251969
D_intra_macro,0.06438552079453774,0.05371736347687558
D_inter_centroids,0.0822460725903511,0.05259174481034279
D_inter_over_D_intra,1.277400129316826,0.9790455339827616
NMI_arithmetic,0.5478299689448117,0.514941178214616
ARI,0.26575465564800677,0.23901368209204502
silhouette_macro,0.06274794942422006,-0.02900877840300024
silhouette_micro,0.06009523227728369,-0.023004428094979632
