epoch,train_classification_loss,train_balanced_accuracy,val_classification_loss,val_balanced_accuracy,train_progress_loss,train_sticky_loss,train_confidence_loss,train_weighted_progress_loss,train_weighted_sticky_loss,train_weighted_confidence_loss,train_total_loss
0,7.1655872093831,0.08640648567119157,5.764194965362549,0.09785353535353536,,,,,,,
1,4.852377889899091,0.11338331077740992,2.8141989707946777,0.15618686868686868,0.20144949727747813,0.04418664401887616,0.9934965084834271,0.06043485192367214,0.004418664455586939,0.0,4.917231334055968
2,2.1029954670628666,0.3806460547381329,1.9088728427886963,0.3569504569504569,0.1988903126084661,0.044440474688186085,0.9924656080912395,0.059667095689426804,0.0044440474688186085,0.0,2.167106631495661
3,1.1746176752083888,0.5878737603677262,1.6426923274993896,0.3868506493506494,0.19567133706838868,0.04455010725021773,0.9853010440242065,0.05870140295174364,0.004455010734479265,0.0,1.2377740981861975
4,0.913888927581183,0.6880629159385888,1.6568069458007812,0.44756493506493505,0.19229004725736923,0.044571623501084144,0.9815894761307105,0.05768701642520867,0.004457162506397486,0.0,0.9760331307343895
5,0.7841822114130306,0.7255716901256429,1.6489638090133667,0.46208513708513704,0.1889342625918774,0.044029596615935356,0.9793182442192366,0.05668028116405728,0.004402959712086928,0.0,0.8452654451183116
6,0.6801606736782291,0.7837605180720582,1.5719726085662842,0.4587722462722463,0.1855496381010328,0.04338528589696564,0.979752931660506,0.05566489384245134,0.004338528630732464,0.0,0.7401640814265779
7,0.6161584565848779,0.7947056244804936,1.6048132181167603,0.46132756132756136,0.18211784156074623,0.042467129915285846,0.9793929956250675,0.054635354450770786,0.0042467131367572,0.0,0.6750405348721962
8,0.5479571706456695,0.8156134648246086,1.6652172803878784,0.44488335738335744,0.17851454976195927,0.04161584951150233,0.979920523302075,0.0535543670752783,0.004161584919571825,0.0,0.6056731370968581
9,0.5403805660811636,0.8213845145136691,1.582119345664978,0.49633838383838386,0.17505551361688854,0.04079038734433983,0.9793351233108113,0.05251665672418788,0.004079038859144648,0.0,0.5969762677990426
10,0.471253401389836,0.8373028916301103,1.668376088142395,0.48890091390091395,0.1717077452888177,0.04000150780361819,0.9798607451780322,0.05151232630142657,0.0040001507709043265,0.0,0.5267658625022474
11,0.433825497270246,0.8656419154125331,1.6102938652038574,0.47984006734006734,0.16824376329189733,0.03930179177817092,0.9780780778694481,0.0504731313997107,0.003930179229913449,0.0,0.4882287967841104
12,0.43069013070937073,0.8551962697478656,1.658171534538269,0.46456228956228957,0.1643541075173836,0.03850478054426623,0.9779760662126459,0.04930623455322548,0.0038504780710173093,0.0,0.4838468386261065
13,0.3727776729814362,0.8821102967186844,1.6201398372650146,0.4895622895622896,0.16062683167125189,0.03771238896527717,0.9775735379906817,0.048188052077660665,0.0037712389951902034,0.0,0.4247369703655604
14,0.3601724771131952,0.8972037925979782,1.811095952987671,0.4447811447811449,0.1565708376967353,0.03672490095184305,0.9755817472216595,0.04697125396096563,0.0036724900699376087,0.0,0.4108162262250963
15,0.3533935622791415,0.8950240675638307,1.556589126586914,0.5020262145262145,0.15243256728127982,0.03582563926425735,0.9750742600419641,0.04572977135903659,0.0035825640250882213,0.0,0.40270590084555224
16,0.33687894151461106,0.8988420660737934,1.8827457427978516,0.4844997594997595,0.14867740577141308,0.03518444844705923,0.973250754010862,0.04460322238799832,0.0035184448762843306,0.0,0.3850006158503731
17,0.3106481411883835,0.9207996429727809,1.6376453638076782,0.5000420875420876,0.14526841377842653,0.0345541589513498,0.9712267386728638,0.043580525610820355,0.0034554159511586014,0.0,0.3576840859887522
