epoch,train_classification_loss,train_balanced_accuracy,val_classification_loss,val_balanced_accuracy,train_progress_loss,train_sticky_loss,train_confidence_loss,train_weighted_progress_loss,train_weighted_sticky_loss,train_weighted_confidence_loss,train_total_loss
0,9.048740104635899,0.06096153846153846,7.497310161590576,0.08888888888888889,,,,,,,
1,5.747090264975307,0.07577305684408904,2.810319662094116,0.205465367965368,0.21234000849949514,0.046246584056012605,0.9912377511777895,0.06370200487350638,0.004624658479818532,0.019824754504451654,5.835241519235293
2,2.107279979218304,0.3286878238610185,1.9765037298202515,0.31353415103415105,0.20339758642877032,0.04609945674207248,0.9897605159196509,0.06101927808814533,0.004609945776796997,0.019795210233756473,2.192704345190997
3,1.0968513824238013,0.5906655440300702,1.6859391927719116,0.3965728715728716,0.19909971603633203,0.04657490564936615,0.9862112455236727,0.05972991811941905,0.004657490594912057,0.019724224410348424,1.1809630076979607
4,0.8283054829669696,0.7267962241430118,1.615232229232788,0.42510822510822505,0.19506986895752446,0.046908616949122864,0.9824403090444161,0.058520963175058775,0.004690861747008644,0.019648805658193547,0.9111661123121462
5,0.6531228512371674,0.7812595569845281,1.581879734992981,0.46565656565656566,0.1916944520506309,0.04661553526832602,0.9809143983353436,0.057508339012192364,0.004661553597843944,0.01961828731385135,0.7349110535007746
6,0.5579439759664815,0.8089703726084525,1.4831639528274536,0.4904882154882155,0.18784707238362292,0.04581798084093043,0.9820042467979063,0.05635412386177739,0.0045817982182612006,0.019640084291950972,0.638520001236625
7,0.4736980565033353,0.8523788046035503,1.5700682401657104,0.48543169793169794,0.18390048753066235,0.04502034732966127,0.9821430783263583,0.05517014882266009,0.00450203486873725,0.019642861085509476,0.5530130897044315
8,0.43514786735048805,0.8583213318837566,1.489160180091858,0.5161075036075036,0.17959777818489403,0.04402771403631532,0.9830075702445642,0.05387933577912605,0.004402771446270397,0.019660151398479427,0.5130901376679924
9,0.3860395867730172,0.882275368872989,1.510461688041687,0.5211099086099087,0.1753102308091116,0.043385086680494775,0.9799907251602606,0.05259307205882212,0.0043385087627847,0.0195998138717653,0.4625709950410971
10,0.3355219739644745,0.9147301378332164,1.4260203838348389,0.4981902356902357,0.17087842347084348,0.042369398841451654,0.9804821471954582,0.05126352812742202,0.004236940038831273,0.019609642822596786,0.4106320793164987
11,0.3114733546202852,0.9143686561465417,1.5420074462890625,0.48403078403078403,0.16634479660072754,0.041340104844453204,0.979899549032858,0.04990344172064696,0.004134010547602136,0.019597990762140992,0.3851087954081274
12,0.286203805940697,0.9196600998465115,1.5487033128738403,0.4834114959114959,0.16189777756209217,0.040355047515614306,0.979185777974416,0.04856933566794543,0.0040355047215859885,0.019583714741206827,0.3583923629557204
13,0.27071193147854633,0.9358748944667368,1.505874752998352,0.501924001924002,0.1578438069139208,0.03935235082179872,0.979253492441522,0.047353144132383104,0.003935235142932239,0.019585069204823287,0.3415853736117457
14,0.23802079252655042,0.9502909457203298,1.5710653066635132,0.4823472823472823,0.15356351224875492,0.03870080751262721,0.9771530845694616,0.04606905541736985,0.003870080848322242,0.019543061202805547,0.3075029875653541
15,0.23479190617543286,0.9462437364726936,1.6057608127593994,0.5010040885040884,0.14944364594715598,0.03780479516943022,0.9750242439481764,0.04483309577951743,0.0037804795485214295,0.019500484734953166,0.3029059711298721
16,0.211567375135709,0.9506352687422331,1.6581895351409912,0.5187530062530062,0.1455688139555171,0.03675678307623338,0.974891152521419,0.043670645499803935,0.003675678328141288,0.019497822473232798,0.27841151104326295
17,0.19217626404228802,0.9561183593987871,1.7080714702606201,0.4585798460798461,0.14163415359650544,0.03621031075280012,0.9703252488897918,0.042490247316440494,0.003621031096599445,0.01940650447382369,0.25769405084920216
18,0.19717003040900535,0.9487127155329153,1.780329704284668,0.5026815776815777,0.13748280768140048,0.03558473273624446,0.9678409140614758,0.04124484394585615,0.0035584733249193214,0.01935681762580925,0.2613301668027592
19,0.1823928961706654,0.9637875367719523,1.8244339227676392,0.4558020683020683,0.1338116519935365,0.03496301503092204,0.9648718188633812,0.040143497416464266,0.0034963015283389007,0.019297435677733767,0.24533012583723576
20,0.18999236514359047,0.9516964873892362,1.9273865222930908,0.4886303511303511,0.13078226478651755,0.03468216188162206,0.9637865979166736,0.0392346811030387,0.0034682161928909524,0.019275731219559035,0.25197099177439325
21,0.1691029079758567,0.9593141121819905,1.8269797563552856,0.5214045214045214,0.1278794627001897,0.034779154168195034,0.9606789147381939,0.03836384053997657,0.0034779154586568857,0.019213577799768334,0.23015823514038847
22,0.1526319253772959,0.9652827033221502,1.865992546081543,0.5267917267917267,0.12490062784922923,0.03510347889053432,0.9571409204945918,0.037470189857708606,0.0035103478993124067,0.01914281775716455,0.2127552842673254
23,0.14672756634921913,0.9666715922110392,2.117851734161377,0.4625420875420876,0.12148517327905727,0.03471530527004687,0.9515057235904897,0.0364455534738333,0.0034715305996189942,0.0190301139818155,0.20567476303154753
24,0.14600686223699796,0.9651556516817338,2.0049681663513184,0.5136604136604136,0.11843089034809713,0.03461477078381996,0.94840649114008,0.03552926858172154,0.0034614770886409714,0.018968129075307035,0.2039657405444554
25,0.14382474909243198,0.9624965823559979,2.0612010955810547,0.5147246272246272,0.11490170725600445,0.033980251679424575,0.9468582496175257,0.03447051400802837,0.0033980251939906363,0.01893716465149607,0.20063045538846475
26,0.13623561419020833,0.9701960112379092,2.0199427604675293,0.5121452621452621,0.11282523899706218,0.034483398402209126,0.9481050244912428,0.03384757318923477,0.003448339855208634,0.018962100103317975,0.19249363015317672
27,0.128336998558701,0.972184377809609,2.0322747230529785,0.5426346801346801,0.10970550501100372,0.03467952855662307,0.9432818945016385,0.03291165274078998,0.003467952948794564,0.01886563753891935,0.18358223642929491
28,0.1389990299170686,0.9664673582952332,1.941218376159668,0.5091690716690717,0.10716760352176971,0.035245535507310896,0.9397080407290368,0.03215028220553612,0.0035245535657188105,0.018794160894087794,0.1934680298047714
29,0.11165427507611438,0.9720342465320267,2.0515785217285156,0.5105579605579605,0.10457426608378219,0.035162605114422235,0.9356224307094712,0.031372280784990006,0.003516260599044253,0.018712448241532155,0.16525526216538966
30,0.10101863162242607,0.9753022203882359,2.023484468460083,0.5121151996151996,0.10223503386451127,0.03483012880290026,0.9356328063290213,0.03067051161163953,0.0034830129213259263,0.01871265603065901,0.1538848129586796
31,0.10123020042496991,0.980359200445216,2.112964391708374,0.5240199615199616,0.09975346031625998,0.034735419202384356,0.9261409349983202,0.029926039698484022,0.003473542002310236,0.018522818064679376,0.153152602905866
32,0.08968508569283247,0.9851995013454502,2.4687724113464355,0.500036075036075,0.09862187998481543,0.03484812313482396,0.9243216136031225,0.02958656520151538,0.0034848123387290924,0.018486431455191566,0.1412428961409554
33,0.08903820789619485,0.9802975405611365,2.2391669750213623,0.5428691678691678,0.095983207661806,0.035585733768554235,0.9151203963719629,0.028794963637338036,0.0035585733571389558,0.0183024072279054,0.13969415444207478
34,0.08364553184035313,0.9786635536330319,2.2090609073638916,0.5343374218374218,0.09495850008705602,0.03651401725647371,0.9100746248757368,0.028487550979560294,0.0036514017461653217,0.018201492431857296,0.13398598106305487
35,0.07655273884432245,0.9851995013454502,2.4677231311798096,0.49864718614718617,0.092547426112445,0.03683831835752305,0.9009542503168169,0.02776422882500696,0.0036838319186255873,0.018019084525318647,0.12601988412529588
36,0.07350845902632415,0.9851995013454502,2.44736385345459,0.5101310726310725,0.09177617749228124,0.03719560661563159,0.895740700363087,0.027532854535826923,0.003719560650502702,0.01791481373963073,0.12267568945987295
37,0.07740104153572795,0.9851995013454502,2.4797463417053223,0.4587962962962962,0.09066161551799709,0.037786433848323184,0.8802892591374671,0.027198485735156246,0.0037786433911640295,0.017605784873313008,0.1259839609650039
38,0.07669216986880245,0.9814507582584718,2.792795419692993,0.5110569985569986,0.08824556612004102,0.03786006928285305,0.8750835143145104,0.026473671111331133,0.003786006974049951,0.017501670152282347,0.12445352068764003
39,0.07224042855985399,0.9851995013454502,2.5341811180114746,0.4385942760942761,0.08891979889646044,0.03896729830851243,0.8722413919878909,0.02667594049606799,0.0038967298932065754,0.0174448274255517,0.1202579250690654
40,0.0664442770933274,0.9868020654480144,2.3139994144439697,0.5448532948532948,0.08552823068250272,0.03858983130057995,0.8662052607987711,0.025658470025468817,0.003858983237376491,0.017324105209691798,0.1132858374289104
41,0.06498418089239609,0.9900083794201442,2.5473077297210693,0.5132034632034632,0.08570136013160269,0.039389266307095445,0.8598742743572557,0.025710408917264355,0.003938926760148956,0.017197484814156352,0.11183100146291178
42,0.06091894746057548,0.9883743924920395,2.411386013031006,0.5493145743145743,0.08371616924332259,0.038957877017288325,0.8582910826612463,0.025114852136799266,0.003895787753023707,0.01716582155858588,0.10709541138396206
43,0.05664747521896781,0.9868334882735549,2.675455093383789,0.47845117845117846,0.08306861491857831,0.03993775480123887,0.8486270722957158,0.02492058543542884,0.003993775540876255,0.0169725411037775,0.10253437309687806
44,0.05483260973903275,0.9868334882735549,2.516195774078369,0.553517316017316,0.08243276469935239,0.040216161928776,0.842304607369198,0.024729830445321004,0.004021616213395551,0.016846092279981212,0.10043014627007732
