architecture,regularization,condition,probe,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,task_only,c0_analog,l2_fixed250_linear,test,3,0.4840182648401827,0.47515355015355015,0.47244466651708733,0.03954453898559084,0.03680307192805185,0.03933566379585259
234x234,task_only,c0_analog,l2_fixed250_linear,train,3,0.9213998852553069,0.9204867917158697,0.932215714175665,0.011198635281665582,0.011668178948126124,0.008912210492461787
234x234,task_only,c0_analog,l2_fixed250_linear,val,3,0.4338624338624339,0.41678491261824596,0.42781929155692405,0.050403594929253025,0.04716128631508641,0.04917902671453057
234x234,task_only,c0_analog,l2_wholecount_linear,test,3,0.43607305936073054,0.42247335997335994,0.39566806662700466,0.02405400400194692,0.028996663537997996,0.036608940243032635
234x234,task_only,c0_analog,l2_wholecount_linear,train,3,0.825588066551922,0.8181231211897283,0.8349147801970261,0.12220713834601764,0.13252256053069777,0.12408144780485947
234x234,task_only,c0_analog,l2_wholecount_linear,val,3,0.4338624338624339,0.4130050505050506,0.41485926217580316,0.03750647322422703,0.037387408101427294,0.048181697260346774
234x234,task_only,c0_analog,l2_wholecount_matched_biasfree,test,3,0.41324200913242004,0.4048692048692048,0.3831894999012215,0.04349899288414987,0.04170073433571518,0.04738592602346773
234x234,task_only,c0_analog,l2_wholecount_matched_biasfree,train,3,0.8582903040734365,0.8589573599702106,0.8637762297891345,0.027824109358536214,0.027749177300212438,0.02669063232769605
234x234,task_only,c0_analog,l2_wholecount_matched_biasfree,val,3,0.373015873015873,0.37360910694244026,0.36823431379682275,0.034594436059846606,0.03657084446225374,0.038885346687425396
234x234,task_only,c1_if_beta10,l2_fixed250_linear,test,3,0.3470319634703196,0.3397121397121397,0.32306406133573234,0.07513462407262253,0.06482462549950707,0.07126921540205146
234x234,task_only,c1_if_beta10,l2_fixed250_linear,train,3,0.7257601835915088,0.7178611415967983,0.7675175425639353,0.052385068198111236,0.0513989021174119,0.039963962389492166
234x234,task_only,c1_if_beta10,l2_fixed250_linear,val,3,0.30158730158730157,0.28156966490299823,0.2818650504409018,0.06198610853894171,0.05594363749797607,0.061004832145316226
234x234,task_only,c1_if_beta10,l2_wholecount_linear,test,3,0.30821917808219174,0.3034865597365597,0.2876606990810537,0.05436475296708062,0.0547723286023754,0.05987844481590139
234x234,task_only,c1_if_beta10,l2_wholecount_linear,train,3,0.6379804934021801,0.6296334711463759,0.6739402041791601,0.08996854723857764,0.09006205879615366,0.07770350791785774
234x234,task_only,c1_if_beta10,l2_wholecount_linear,val,3,0.291005291005291,0.2763027096360429,0.2698879440629351,0.07829972797327375,0.07746206336289524,0.10684071652477105
234x234,task_only,c1_if_beta10,l2_wholecount_matched_biasfree,test,3,0.2625570776255708,0.2533503533503534,0.23744797259129444,0.07698500137026196,0.08174055747320952,0.08276013708048006
234x234,task_only,c1_if_beta10,l2_wholecount_matched_biasfree,train,3,0.4962707974756168,0.494513024667331,0.5039409345918996,0.16630757923502937,0.16787746365193207,0.16890580277294787
234x234,task_only,c1_if_beta10,l2_wholecount_matched_biasfree,val,3,0.2619047619047619,0.2632395382395382,0.24034181817523817,0.047619047619047616,0.04692535458739039,0.07397369231751737
234x234,task_only,c2_lif_beta05_reuse,l2_fixed250_linear,test,3,0.5776255707762558,0.5647616272616273,0.5661462899326858,0.032368600179812336,0.034810321778640727,0.03371098178182499
234x234,task_only,c2_lif_beta05_reuse,l2_fixed250_linear,train,3,0.9632816982214573,0.9627872818490472,0.9658144718070522,0.02912459012391747,0.02993147674786722,0.027333184877477008
234x234,task_only,c2_lif_beta05_reuse,l2_fixed250_linear,val,3,0.5343915343915344,0.5237854737854738,0.5395115096843682,0.016521158725921675,0.015673018671183075,0.01953669371773459
234x234,task_only,c2_lif_beta05_reuse,l2_wholecount_linear,test,3,0.5342465753424658,0.5246711621711622,0.5128552954768064,0.03624316864472043,0.03980991334986857,0.045782369302852996
234x234,task_only,c2_lif_beta05_reuse,l2_wholecount_linear,train,3,0.8881239242685025,0.8863007339407565,0.8922966408069094,0.04563536517577582,0.04787287249381796,0.04565672809954263
234x234,task_only,c2_lif_beta05_reuse,l2_wholecount_linear,val,3,0.4867724867724868,0.4724747474747475,0.479797502080306,0.03207501495497923,0.032040001425084064,0.026659126991135894
234x234,task_only,c2_lif_beta05_reuse,l2_wholecount_matched_biasfree,test,3,0.3881278538812785,0.3796948421948421,0.36901045225309476,0.027681177289913577,0.026150912978237018,0.028151415634741685
234x234,task_only,c2_lif_beta05_reuse,l2_wholecount_matched_biasfree,train,3,0.8307515777395295,0.831132258365987,0.8325805532776572,0.11807697252060272,0.11814263321976472,0.1170154863575384
234x234,task_only,c2_lif_beta05_reuse,l2_wholecount_matched_biasfree,val,3,0.41798941798941797,0.4188131313131313,0.40876665835168885,0.05402269274249242,0.05817228888918004,0.05275307984527086
234x234,task_plus_reg,c0_analog,l2_fixed250_linear,test,3,0.4748858447488584,0.4666021478521478,0.4604250940123668,0.04560498711287257,0.038291767900084185,0.042019651636395115
234x234,task_plus_reg,c0_analog,l2_fixed250_linear,train,3,0.9110728628800917,0.9081080797565643,0.9192117113263599,0.041320040344304865,0.04586949580776041,0.03960770038772685
234x234,task_plus_reg,c0_analog,l2_fixed250_linear,val,3,0.44708994708994704,0.430659772326439,0.4385722094900455,0.016521158725921692,0.02237972766384526,0.028493418337961762
234x234,task_plus_reg,c0_analog,l2_wholecount_linear,test,3,0.4497716894977169,0.4424038924038924,0.43101255289365475,0.049549165329248204,0.05409382042523478,0.050302763902037154
234x234,task_plus_reg,c0_analog,l2_wholecount_linear,train,3,0.8795180722891566,0.8757376809589529,0.8896662548530961,0.052092068676149905,0.05545285291907386,0.04974588772357933
234x234,task_plus_reg,c0_analog,l2_wholecount_linear,val,3,0.39153439153439157,0.3735529902196569,0.3685365369324345,0.025512303600510496,0.03343006564742667,0.03374648802708311
234x234,task_plus_reg,c0_analog,l2_wholecount_matched_biasfree,test,3,0.3926940639269407,0.3797165797165796,0.3656440112131367,0.058252743480242355,0.054764009564071625,0.054052166669824125
234x234,task_plus_reg,c0_analog,l2_wholecount_matched_biasfree,train,3,0.8336201950659782,0.8354872159002849,0.837840264695744,0.038499366769495426,0.03935929366087977,0.039991866067538025
234x234,task_plus_reg,c0_analog,l2_wholecount_matched_biasfree,val,3,0.35714285714285715,0.35203623536956874,0.34003897358056334,0.04418860605420654,0.042327031264115536,0.03659834187723847
234x234,task_plus_reg,c1_if_beta10,l2_fixed250_linear,test,3,0.3287671232876712,0.3182881932881933,0.2933166290623976,0.05606406008131814,0.0528749324820605,0.0668775088612083
234x234,task_plus_reg,c1_if_beta10,l2_fixed250_linear,train,3,0.6792885829030407,0.6675167364849677,0.7043502939904295,0.1090783958573638,0.11808059511687222,0.12192757660200261
234x234,task_plus_reg,c1_if_beta10,l2_fixed250_linear,val,3,0.2857142857142857,0.26541005291005293,0.26529337121737967,0.015873015873015858,0.013956907017399803,0.02318476884432681
234x234,task_plus_reg,c1_if_beta10,l2_wholecount_linear,test,3,0.2853881278538813,0.2785508473008473,0.25232537944190664,0.007908907797118152,0.01833130504799285,0.02739621828015001
234x234,task_plus_reg,c1_if_beta10,l2_wholecount_linear,train,3,0.6121629374641423,0.6060178970108573,0.6445942657361878,0.1349701980725885,0.13567380224919395,0.14066776438417333
234x234,task_plus_reg,c1_if_beta10,l2_wholecount_linear,val,3,0.2857142857142857,0.2672458714125381,0.25692929068670595,0.015873015873015872,0.009867380299052233,0.005558411694376714
234x234,task_plus_reg,c1_if_beta10,l2_wholecount_matched_biasfree,test,3,0.21689497716894976,0.20856481481481481,0.19647388928777945,0.025931088336987543,0.02840692640352881,0.03373230369376664
234x234,task_plus_reg,c1_if_beta10,l2_wholecount_matched_biasfree,train,3,0.5077452667814114,0.507567269171172,0.5167376171025299,0.13843389650669805,0.13405474821102692,0.1369289154602912
234x234,task_plus_reg,c1_if_beta10,l2_wholecount_matched_biasfree,val,3,0.22486772486772486,0.2228174603174603,0.21013489976614697,0.01652115872592168,0.027608215785290727,0.011821497482156029
