architecture,regularization,block,condition,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,task_only,direction_a,A0_wlif_lif_beta05,3,0.35616438356164387,0.33477587227587224,0.30970454984903006,0.06605240247255448,0.06513529917587646,0.0738081763396224
234x234,task_only,direction_a,A1_wlif_if_beta1_spike,3,0.3150684931506849,0.3025502275502275,0.27450146890519017,0.07718786075057978,0.07752191142669854,0.08841038015301231
234x234,task_only,direction_a,A2_wlif_if_beta1_charge,3,0.35616438356164387,0.3432188182188182,0.3104132322836567,0.07150894869116817,0.0691370364383064,0.08323320705766833
234x234,task_only,direction_a,A3_wlif_analog,3,0.35616438356164387,0.3432188182188182,0.3104132322836567,0.07150894869116817,0.0691370364383064,0.08323320705766833
234x234,task_only,direction_b,B0_wlin_analog,3,0.3858447488584475,0.3797993672993673,0.3617292019182605,0.044034934981702994,0.0467478256212029,0.05331871436333297
234x234,task_only,direction_b,B1_if_beta1_charge,3,0.3858447488584475,0.3797993672993673,0.3617292019182605,0.044034934981702994,0.0467478256212029,0.05331871436333297
234x234,task_only,direction_b,B2_if_beta1_spike,3,0.38127853881278534,0.3756777944277944,0.3611061149852038,0.057441760846617014,0.05709415904392399,0.06031844503602769
234x234,task_only,direction_b,B2a_if_beta1_cap31,3,0.3858447488584475,0.3786165223665223,0.36150838301324734,0.04954916532924818,0.050073301472063216,0.057193584883829175
234x234,task_only,direction_b,B2b_if_beta1_bipolar,3,0.3789954337899543,0.3743099493099493,0.35768650409866765,0.057031945190852945,0.05884692994265924,0.06221825399421324
234x234,task_only,direction_b,B3_lif_beta05_spike,3,0.3401826484018265,0.3267487142487142,0.3106430704691789,0.055362354579827126,0.05186541552956368,0.06377481410843967
234x234,task_only,direction_b,B3a_lif_beta05_cap31,3,0.3401826484018265,0.3266495078995079,0.3089207572853074,0.055362354579827126,0.052027450991227554,0.06655402570270266
234x234,task_only,direction_b,B3b_lif_beta05_bipolar,3,0.3493150684931507,0.3363259425759426,0.3206573544616458,0.04491396249521918,0.04480476123218737,0.05425409311868548
234x234,task_only,native_control,native_e2e_W_analog,3,0.4589041095890411,0.4486522736522736,0.4222303695090141,0.03138750475997147,0.0360597987210962,0.050876701741678944
234x234,task_only,native_control,native_e2e_W_lif_beta05,3,0.4429223744292237,0.43209313834313834,0.4083499100473487,0.03088527227960888,0.03584824802487558,0.04413339182200059
234x234,task_plus_reg,direction_a,A0_wlif_lif_beta05,3,0.4200913242009132,0.40730126355126356,0.3902401507036053,0.035147955064704695,0.025909481035716317,0.013867498731070262
234x234,task_plus_reg,direction_a,A1_wlif_if_beta1_spike,3,0.4337899543378995,0.4196058571058571,0.4078829775125274,0.010462501586657187,0.009607444356789804,0.012254375479794117
234x234,task_plus_reg,direction_a,A2_wlif_if_beta1_charge,3,0.4452054794520548,0.4285547785547785,0.4201372300538236,0.011863361695677277,0.009401613339886188,0.0024560145560663495
234x234,task_plus_reg,direction_a,A3_wlif_analog,3,0.4452054794520548,0.4285547785547785,0.4201372300538236,0.011863361695677277,0.009401613339886188,0.0024560145560663495
234x234,task_plus_reg,direction_b,B0_wlin_analog,3,0.4406392694063927,0.4299105986605986,0.42322660572957677,0.015817815594236322,0.011842989489804914,0.011704067767646828
234x234,task_plus_reg,direction_b,B1_if_beta1_charge,3,0.4406392694063927,0.4299105986605986,0.42322660572957677,0.015817815594236322,0.011842989489804914,0.011704067767646828
234x234,task_plus_reg,direction_b,B2_if_beta1_spike,3,0.4223744292237443,0.41129287379287377,0.4057208548119983,0.015817815594236322,0.013121310614173546,0.01205495133185716
234x234,task_plus_reg,direction_b,B2a_if_beta1_cap31,3,0.4269406392694064,0.4147200022200022,0.4077985631738495,0.02851597259542646,0.023293867391278464,0.024525102749085405
234x234,task_plus_reg,direction_b,B2b_if_beta1_bipolar,3,0.4406392694063927,0.4311461686461686,0.425005093215656,0.01425798629771326,0.01645053099804139,0.017152430356148763
234x234,task_plus_reg,direction_b,B3_lif_beta05_spike,3,0.4018264840182648,0.3906045343545343,0.37697665896800725,0.04859314304518894,0.05190623910567883,0.05414361513861663
234x234,task_plus_reg,direction_b,B3a_lif_beta05_cap31,3,0.408675799086758,0.3977917915417915,0.3841301276915807,0.05536235457982711,0.058497316234088326,0.06127791871758385
234x234,task_plus_reg,direction_b,B3b_lif_beta05_bipolar,3,0.408675799086758,0.39735056610056607,0.38232357645573,0.04859314304518893,0.05265129726504515,0.05493525893865688
234x234,task_plus_reg,native_control,native_e2e_W_analog,3,0.5114155251141552,0.4899591149591149,0.46516563024493074,0.01046250158665714,0.0071595687475426665,0.0074023533658040385
234x234,task_plus_reg,native_control,native_e2e_W_lif_beta05,3,0.4954337899543379,0.47816627816627816,0.4612547993203411,0.03447412984141895,0.03224374448193048,0.02473760749178321
