architecture,regularization,seed,condition,probe,split,accuracy,balanced_accuracy,macro_f1
234x234,task_only,11,c0_analog,l2_fixed250_linear,test,0.5068493150684932,0.49423423798423793,0.4884514326106506
234x234,task_only,11,c0_analog,l2_wholecount_linear,test,0.410958904109589,0.3955509768009768,0.3648428922721875
234x234,task_only,11,c0_analog,l2_wholecount_matched_biasfree,test,0.4383561643835616,0.4188055000555,0.408573647037831
234x234,task_only,11,c1_if_beta10,l2_fixed250_linear,test,0.3219178082191781,0.31672355422355425,0.29156334059224526
234x234,task_only,11,c1_if_beta10,l2_wholecount_linear,test,0.2876712328767123,0.2766081141081141,0.2568803019783412
234x234,task_only,11,c1_if_beta10,l2_wholecount_matched_biasfree,test,0.2808219178082192,0.26646894771894775,0.2440736161347736
234x234,task_only,11,c2_lif_beta05_reuse,l2_fixed250_linear,test,0.589041095890411,0.5816711066711067,0.5831712102870449
234x234,task_only,11,c2_lif_beta05_reuse,l2_wholecount_linear,test,0.547945205479452,0.5397949272949273,0.53648548934553
234x234,task_only,11,c2_lif_beta05_reuse,l2_wholecount_matched_biasfree,test,0.4041095890410959,0.3905948218448218,0.3854249136078496
234x234,task_only,23,c0_analog,l2_fixed250_linear,test,0.5068493150684932,0.49849802974802965,0.501253401389271
234x234,task_only,23,c0_analog,l2_wholecount_linear,test,0.4589041095890411,0.4531739094239094,0.43613202053787264
234x234,task_only,23,c0_analog,l2_wholecount_matched_biasfree,test,0.4383561643835616,0.43781704406704397,0.4124755133630777
234x234,task_only,23,c1_if_beta10,l2_fixed250_linear,test,0.4315068493150685,0.4128982128982129,0.40465574238457536
234x234,task_only,23,c1_if_beta10,l2_wholecount_linear,test,0.3698630136986301,0.36650571650571645,0.35666855814851645
234x234,task_only,23,c1_if_beta10,l2_wholecount_matched_biasfree,test,0.3287671232876712,0.32773823398823404,0.31669613388847134
234x234,task_only,23,c2_lif_beta05_reuse,l2_fixed250_linear,test,0.541095890410959,0.5247266622266622,0.5273180853659926
234x234,task_only,23,c2_lif_beta05_reuse,l2_wholecount_linear,test,0.4931506849315068,0.47951562326562325,0.46008612924185227
234x234,task_only,23,c2_lif_beta05_reuse,l2_wholecount_matched_biasfree,test,0.3561643835616438,0.34985708735708726,0.33650453239162914
234x234,task_only,37,c0_analog,l2_fixed250_linear,test,0.4383561643835616,0.4327283827283827,0.42762916555134023
234x234,task_only,37,c0_analog,l2_wholecount_linear,test,0.4383561643835616,0.41869519369519365,0.3860292870709538
234x234,task_only,37,c0_analog,l2_wholecount_matched_biasfree,test,0.363013698630137,0.35798507048507044,0.3285193393027556
234x234,task_only,37,c1_if_beta10,l2_fixed250_linear,test,0.2876712328767123,0.28951465201465204,0.27297310103037653
234x234,task_only,37,c1_if_beta10,l2_wholecount_linear,test,0.2671232876712329,0.2673458485958486,0.24943323711630347
234x234,task_only,37,c1_if_beta10,l2_wholecount_matched_biasfree,test,0.1780821917808219,0.16584387834387834,0.15157416775063834
234x234,task_only,37,c2_lif_beta05_reuse,l2_fixed250_linear,test,0.6027397260273972,0.5878871128871127,0.58794957414502
234x234,task_only,37,c2_lif_beta05_reuse,l2_wholecount_linear,test,0.5616438356164384,0.554702935952936,0.541994267843037
234x234,task_only,37,c2_lif_beta05_reuse,l2_wholecount_matched_biasfree,test,0.4041095890410959,0.39863261738261735,0.3851019107598055
