architecture,regularization,seed,condition,max_abs_charge_identity_error,mean_abs_final_membrane,mean_spikes_per_output_neuron_sample,mean_total_output_spikes_per_sample,negative_evidence_fraction,output_spikes_per_neuron_second,potential_multi_crossing_fraction,silent_output_neuron_fraction,silent_sample_fraction,negative_event_fraction,positive_event_fraction,valid_output_positions
234x234,task_only,11,native_lif_beta05_cap1,2.1316282072803006e-14,0.4539655291894405,12.23458904109589,146.81506849315068,0.3583568036227082,9.46984758117959,0.02488540976364038,0.1786529680365297,0.0,,,
234x234,task_only,11,wlif_if_beta1_cap1,0.0,8.327585686948412,2.5525114155251143,30.63013698630137,0.5122321625800751,1.9757013474707312,0.0011597084161696488,0.5547945205479452,0.0,,,
234x234,task_only,11,wlif_lif_beta05_cap1,1.4210854715202004e-14,0.35773754280960457,0.8921232876712328,10.705479452054794,0.5122321625800751,0.6905235255135852,0.0001518665783079302,0.7271689497716894,0.06164383561643835,,,
234x234,task_only,11,wlin_if_beta1_bipolar,,0.24880963736718284,,237.0958904109589,,15.293130108239453,,,0.0,0.21325398659579387,0.7867460134042061,144864.0
234x234,task_only,11,wlin_if_beta1_cap31,0.0,1.047963701535796,12.843036529680365,154.1164383561644,0.2412331566158604,9.940799646565054,0.0022503865694720564,0.11301369863013698,0.0,,,
234x234,task_only,11,wlin_lif_beta05_bipolar,,0.12062515972932021,,69.33561643835617,,4.472277446432516,,,0.02054794520547945,0.11755408475748295,0.882445915242517,144864.0
234x234,task_only,11,wlin_lif_beta05_cap31,3.552713678800501e-15,0.21317485028741498,5.05593607305936,60.67123287671233,0.2412331566158604,3.913408438259333,0.0001656726308813784,0.3162100456621005,0.02054794520547945,,,
234x234,task_only,11,wlin_unipolar_beta_0.5_cap1,3.552713678800501e-15,0.2131750424530114,5.044520547945205,60.534246575342465,0.2412331566158604,3.904572564612326,0.0003106361829025845,0.3162100456621005,0.02054794520547945,,,
234x234,task_only,11,wlin_unipolar_beta_0.6_cap1,7.105427357601002e-15,0.22982292896475448,6.462328767123288,77.54794520547945,0.2412331566158604,5.001988071570577,0.0005315330240777557,0.2465753424657534,0.0136986301369863,,,
234x234,task_only,11,wlin_unipolar_beta_0.7_cap1,7.105427357601002e-15,0.24771483440944195,8.062785388127853,96.75342465753425,0.2412331566158604,6.2407775568809365,0.001035453943008615,0.17922374429223745,0.00684931506849315,,,
234x234,task_only,11,wlin_unipolar_beta_0.8_cap1,7.105427357601002e-15,0.2841672055902933,9.83162100456621,117.97945205479452,0.2412331566158604,7.6098961784846475,0.0018154959134084382,0.1278538812785388,0.00684931506849315,,,
234x234,task_only,11,wlin_unipolar_beta_0.95_cap1,5.329070518200751e-15,0.4889739499591248,12.378424657534246,148.54109589041096,0.2412331566158604,9.581179589131876,0.004721669980119284,0.09931506849315068,0.0,,,
234x234,task_only,11,wlin_unipolar_beta_0.9_cap1,7.105427357601002e-15,0.3628641458528182,11.612442922374429,139.34931506849315,0.2412331566158604,8.988292467417716,0.0035481555113761874,0.0958904109589041,0.0,,,
234x234,task_only,11,wlin_unipolar_beta_1_cap1,0.0,1.0559545691157048,12.827054794520548,153.92465753424656,0.2412331566158604,9.928429423459244,0.007510492599955821,0.11301369863013698,0.0,,,
234x234,task_only,23,native_lif_beta05_cap1,2.842170943040401e-14,0.4246982253036962,12.992009132420092,155.9041095890411,0.31068450408659154,10.056107797658493,0.02289733819306384,0.19406392694063926,0.00684931506849315,,,
