regularization,probe,contrast,n,delta_mean,delta_std
task_only,l2_fixed250_linear,analog_minus_if,3,0.13544141044141036,0.046445759611491055
task_only,l2_fixed250_linear,analog_minus_lif,3,-0.0896080771080771,0.06449246569527414
task_only,l2_fixed250_linear,if_minus_lif,3,-0.22504948754948748,0.09946636993321266
task_only,l2_wholecount_linear,analog_minus_if,3,0.11898680023680024,0.0323405984754637
task_only,l2_wholecount_linear,analog_minus_lif,3,-0.10219780219780222,0.06582224841983567
task_only,l2_wholecount_linear,if_minus_lif,3,-0.22118460243460247,0.09445831952031182
task_only,l2_wholecount_matched_biasfree,analog_minus_if,3,0.15151885151885144,0.04103730148789693
task_only,l2_wholecount_matched_biasfree,analog_minus_lif,3,0.025174362674362665,0.06435749299860559
task_only,l2_wholecount_matched_biasfree,if_minus_lif,3,-0.12634448884448876,0.10535246494739897
task_plus_reg,l2_fixed250_linear,analog_minus_if,3,0.14831395456395455,0.03428126396209437
task_plus_reg,l2_fixed250_linear,analog_minus_lif,3,-0.090084915084915,0.07051090490489628
task_plus_reg,l2_fixed250_linear,if_minus_lif,3,-0.23839886964886955,0.048828296202422794
task_plus_reg,l2_wholecount_linear,analog_minus_if,3,0.16385304510304508,0.03576257402055503
task_plus_reg,l2_wholecount_linear,analog_minus_lif,3,-0.08492780367780371,0.1193533323336451
task_plus_reg,l2_wholecount_linear,if_minus_lif,3,-0.2487808487808488,0.08359112505068401
task_plus_reg,l2_wholecount_matched_biasfree,analog_minus_if,3,0.17115176490176487,0.06913845016310102
task_plus_reg,l2_wholecount_matched_biasfree,analog_minus_lif,3,-0.038359094609094646,0.08410983591281342
task_plus_reg,l2_wholecount_matched_biasfree,if_minus_lif,3,-0.20951085951085954,0.056555463977495925
