regularization,seed,sample_index,true_class,competitor_class,d_input,d_spike,d_leak,d_residual,analog_margin_unscaled
task_only,11,0,8,7,0.1578015617415076,-0.5,0.918383783217589,-0.2605822214760815,0.1578015617415076
task_only,11,4,5,1,4.897094863074017,-2.0,6.417195496058246,0.4798993670157705,4.897094863074017
task_only,11,15,3,7,2.381402304003132,-0.5,2.4732713810842446,0.4081309229188857,2.381402304003132
task_only,11,17,7,4,1.361671213810041,-2.5,4.160695587403916,-0.2990243735938749,0.5192271878404426
task_only,11,25,2,10,1.3777310132863931,-1.5,2.8779433507207983,-0.0002123374344066,1.3777310132863931
task_only,11,37,5,4,3.129904158122372,-1.0,3.858323377436824,0.2715807806855489,3.129904158122372
task_only,11,42,0,9,2.928760428883834,-3.0,5.78260901099981,0.1461514178840222,2.928760428883834
task_only,11,46,3,0,6.6882507365662605,0.0,6.449849051381731,0.2384016851845283,0.130223099826253
task_only,11,47,4,3,0.8828554429928772,0.0,0.522047762151546,0.3608076808413301,0.8828554429928772
task_only,11,70,7,2,1.4223896260373294,0.0,1.497145728263772,-0.0747561022264429,0.7773426655330695
task_only,11,82,3,1,1.524926851692726,-0.5,1.818537292210472,0.2063895594822551,0.8580776698945556
task_only,11,94,2,10,1.6211861990741454,-0.5,2.0933629329737538,0.0278232661003914,1.6211861990741454
task_only,11,99,10,2,4.805412816058379,0.0,4.790002760940412,0.0154100551179683,4.10206774292601
task_only,11,100,6,7,1.651565397325612,-0.5,2.016782456301863,0.1347829410237487,1.651565397325612
task_only,11,111,6,0,1.6966024858411402,0.0,1.427352086071397,0.2692503997697437,1.0312074556568405
task_only,11,116,3,6,0.3550665624934481,-1.5,1.8133889557174268,0.0416776067760226,0.3550665624934481
task_only,11,130,7,2,0.1371150577033404,-0.5,0.6009115424296851,0.0362035152736552,0.1371150577033404
task_only,23,15,3,9,1.315530024320141,-2.5,4.331629826106286,-0.5160998017861491,0.93022020105127
task_only,23,27,10,2,2.9066563375836205,-0.5,3.7983029606979297,-0.3916466231143098,0.3867354714311659
task_only,23,43,9,2,0.0605910638643116,-0.5,0.1376875191153592,0.4229035447489564,0.042844352137763
task_only,23,47,4,8,0.6189944248493973,-0.5,1.0079779396603898,0.1110164851890064,0.437695155327674
task_only,23,49,1,8,2.2992039453665125,-3.5,5.622993561997366,0.1762103833691469,0.2004577821062412
task_only,23,76,1,9,9.26665318142545,-0.5,9.51446234737276,0.2521908340526957,2.5179230936337262
task_only,23,83,6,5,3.4051647698898324,-0.5,4.071479618947121,-0.1663148490572898,0.1361233226270997
task_only,23,90,7,3,11.702773058410852,-1.0,12.641019375874134,0.0617536825367174,0.0883784517209278
task_only,23,120,11,6,1.891568190703806,-1.0,3.132739583008512,-0.2411713923047076,1.3375406947234296
task_only,23,121,9,3,3.8973279638391016,-1.0,4.475241894710722,0.4220860691283769,2.225240577281511
task_only,23,123,10,2,1.424449030353835,-1.0,2.1181761816864566,0.3062728486673793,0.1493787999206688
task_only,23,124,8,0,1.4174320024095972,0.0,1.0375326691580915,0.3798993332515057,0.4641260523349046
task_only,37,9,0,2,15.140892505690363,-1.5,15.602173750497474,1.038718755192885,7.275706075306516
task_only,37,27,10,8,1.549897698221984,-0.5,1.107079141803073,0.9428185564189104,1.2585857834637864
task_only,37,28,6,11,2.558897293680925,-0.5,3.048787722458302,0.0101095712226287,2.3586201657599304
task_only,37,37,5,2,17.738299413453614,0.0,16.82906726419678,0.90923214925684,11.865186691866256
task_only,37,41,6,9,0.5685353860458431,-0.5,0.6982920515255424,0.3702433345203071,0.6761063262165408
task_only,37,44,5,4,1.9047284155865596,-4.0,6.153649895329284,-0.2489214797427298,2.2651165839633904
task_only,37,61,9,2,0.6939464539276887,-1.0,1.1005441882444913,0.5934022656831965,0.8252460604417138
task_only,37,79,5,7,3.320769282264568,-1.5,4.646929200035547,0.1738400822290213,2.8846124531701207
task_only,37,95,10,2,0.9323610520518396,-0.5,1.6322641177896131,-0.1999030657377747,0.2848186865448951
task_only,37,100,6,1,1.6787346846903315,0.0,1.6093303775772156,0.0694043071131124,1.9963632312355912
task_only,37,123,10,9,0.8369903270980688,-1.5,2.3400053440196844,-0.0030150169216173,0.9953548521734774
task_only,37,124,8,1,0.753270431050928,0.0,0.99781796929376,-0.2445475382428323,0.7921300486195832
task_plus_reg,11,4,5,2,1.6168786145597809,-7.0,7.623588054210963,0.9932905603488196,0.96140177626512
task_plus_reg,11,29,1,0,1.599012628063864,-2.0,3.603357764628509,-0.0043451365646429,0.3230806491192197
task_plus_reg,11,40,3,7,2.120886016859494,-0.5,2.2263118728492683,0.3945741440102335,1.20471663607168
task_plus_reg,11,43,9,3,0.5009832216450807,0.0,0.1250986593545491,0.3758845622905244,0.2978864058386534
task_plus_reg,11,47,4,0,0.1667295988576853,-1.0,1.3660141737819549,-0.1992845749242703,0.0991380126215517
task_plus_reg,11,57,8,2,0.4762569777881298,0.0,0.2471535918538938,0.2291033859342363,0.1070956771145574
task_plus_reg,11,78,4,0,0.2198728853976099,-1.0,0.6994293362184489,0.5204435491791531,0.1307371998555027
task_plus_reg,11,126,11,9,5.729525691256895,-0.5,6.124091803707964,0.1054338875489289,1.778880666315672
task_plus_reg,11,130,7,6,0.4020549407033735,0.0,0.3448217232886934,0.0572332174146802,0.2019098611781373
task_plus_reg,11,131,3,6,2.1824142849918324,-1.5,3.684888690180464,-0.0024744051886293,1.2976712977979332
