architecture,regularization,beta,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,task_only,0.5,3,0.3401826484018265,0.3267487142487142,0.3106430704691789,0.055362354579827126,0.05186541552956368,0.06377481410843967
234x234,task_only,0.6,3,0.3789954337899544,0.36709124209124205,0.34929348930899345,0.07259412372413082,0.07251137681564092,0.08346132006667181
234x234,task_only,0.7,3,0.37671232876712324,0.36733104858104854,0.3507538733074793,0.06087804395421635,0.06264026408337064,0.06823861727337892
234x234,task_only,0.8,3,0.37671232876712324,0.36791426166426167,0.35208762884369177,0.053494860793881195,0.05266541135941448,0.057914179786310235
234x234,task_only,0.9,3,0.37442922374429227,0.3655416342916343,0.35201732413275394,0.06928762970544984,0.06608686191814835,0.0717847931774987
234x234,task_only,0.95,3,0.38127853881278534,0.373470510970511,0.35819830105009237,0.057441760846617014,0.057540830020383266,0.06050410106129773
234x234,task_only,1.0,3,0.38127853881278534,0.3756777944277944,0.3611061149852038,0.057441760846617014,0.05709415904392399,0.06031844503602769
234x234,task_plus_reg,0.5,3,0.4018264840182648,0.3906045343545343,0.37697665896800725,0.04859314304518894,0.05190623910567883,0.05414361513861663
234x234,task_plus_reg,0.6,3,0.3904109589041096,0.37898236023236015,0.3633264508796912,0.0273972602739726,0.030492223283506457,0.0335162380020241
234x234,task_plus_reg,0.7,3,0.41780821917808214,0.40489857364857357,0.39086094225237095,0.01812158432236023,0.027442712766101874,0.02975514378279246
234x234,task_plus_reg,0.8,3,0.4246575342465753,0.4095823158323158,0.398684976279526,0.018121584322360215,0.02096642071433486,0.022145080468485925
234x234,task_plus_reg,0.9,3,0.4246575342465753,0.4126577126577126,0.4051813193523936,0.013698630136986287,0.012754976700855333,0.010770735634695827
234x234,task_plus_reg,0.95,3,0.4269406392694064,0.415513653013653,0.4094795800000542,0.01723706492070946,0.01605124704369044,0.011654442329289071
234x234,task_plus_reg,1.0,3,0.4223744292237443,0.41129287379287377,0.4057208548119983,0.015817815594236322,0.013121310614173546,0.01205495133185716
