regularization,seed,probe,contrast,delta
task_only,11,l2_fixed250_linear,analog_minus_if,0.17751068376068369
task_only,11,l2_fixed250_linear,if_minus_lif,-0.2649475524475524
task_only,11,l2_fixed250_linear,analog_minus_lif,-0.08743686868686873
task_only,11,l2_wholecount_linear,analog_minus_if,0.1189428626928627
task_only,11,l2_wholecount_linear,if_minus_lif,-0.2631868131868132
task_only,11,l2_wholecount_linear,analog_minus_lif,-0.1442439504939505
task_only,11,l2_wholecount_matched_biasfree,analog_minus_if,0.15233655233655224
task_only,11,l2_wholecount_matched_biasfree,if_minus_lif,-0.12412587412587406
task_only,11,l2_wholecount_matched_biasfree,analog_minus_lif,0.028210678210678186
task_only,23,l2_fixed250_linear,analog_minus_if,0.08559981684981677
task_only,23,l2_fixed250_linear,if_minus_lif,-0.11182844932844932
task_only,23,l2_fixed250_linear,analog_minus_lif,-0.026228632478632552
task_only,23,l2_wholecount_linear,analog_minus_if,0.08666819291819294
task_only,23,l2_wholecount_linear,if_minus_lif,-0.1130099067599068
task_only,23,l2_wholecount_linear,analog_minus_lif,-0.026341713841713854
task_only,23,l2_wholecount_matched_biasfree,analog_minus_if,0.11007881007880993
task_only,23,l2_wholecount_matched_biasfree,if_minus_lif,-0.02211885336885322
task_only,23,l2_wholecount_matched_biasfree,analog_minus_lif,0.08795995670995671
task_only,37,l2_fixed250_linear,analog_minus_if,0.14321373071373067
task_only,37,l2_fixed250_linear,if_minus_lif,-0.29837246087246067
task_only,37,l2_fixed250_linear,analog_minus_lif,-0.15515873015873
task_only,37,l2_wholecount_linear,analog_minus_if,0.15134934509934506
task_only,37,l2_wholecount_linear,if_minus_lif,-0.28735708735708737
task_only,37,l2_wholecount_linear,analog_minus_lif,-0.13600774225774231
task_only,37,l2_wholecount_matched_biasfree,analog_minus_if,0.1921411921411921
task_only,37,l2_wholecount_matched_biasfree,if_minus_lif,-0.232788739038739
task_only,37,l2_wholecount_matched_biasfree,analog_minus_lif,-0.040647546897546905
task_plus_reg,11,l2_fixed250_linear,analog_minus_if,0.10873223998223991
task_plus_reg,11,l2_fixed250_linear,if_minus_lif,-0.26280039405039396
task_plus_reg,11,l2_fixed250_linear,analog_minus_lif,-0.15406815406815405
task_plus_reg,11,l2_wholecount_linear,analog_minus_if,0.13855935730935726
task_plus_reg,11,l2_wholecount_linear,if_minus_lif,-0.3074883449883449
task_plus_reg,11,l2_wholecount_linear,analog_minus_lif,-0.16892898767898762
task_plus_reg,11,l2_wholecount_matched_biasfree,analog_minus_if,0.2509788822288822
task_plus_reg,11,l2_wholecount_matched_biasfree,if_minus_lif,-0.2161963036963037
task_plus_reg,11,l2_wholecount_matched_biasfree,analog_minus_lif,0.03478257853257849
task_plus_reg,23,l2_fixed250_linear,analog_minus_if,0.1676913364413365
task_plus_reg,23,l2_fixed250_linear,if_minus_lif,-0.1821796259296259
task_plus_reg,23,l2_fixed250_linear,analog_minus_lif,-0.014488289488289396
task_plus_reg,23,l2_wholecount_linear,analog_minus_if,0.20476884226884223
task_plus_reg,23,l2_wholecount_linear,if_minus_lif,-0.15307539682539684
task_plus_reg,23,l2_wholecount_linear,analog_minus_lif,0.051693445443445396
task_plus_reg,23,l2_wholecount_matched_biasfree,analog_minus_if,0.13031690531690535
task_plus_reg,23,l2_wholecount_matched_biasfree,if_minus_lif,-0.14990981240981247
task_plus_reg,23,l2_wholecount_matched_biasfree,analog_minus_lif,-0.01959290709290712
task_plus_reg,37,l2_fixed250_linear,analog_minus_if,0.16851828726828727
task_plus_reg,37,l2_fixed250_linear,if_minus_lif,-0.2702165889665888
task_plus_reg,37,l2_fixed250_linear,analog_minus_lif,-0.10169830169830152
task_plus_reg,37,l2_wholecount_linear,analog_minus_if,0.1482309357309357
task_plus_reg,37,l2_wholecount_linear,if_minus_lif,-0.2857788045288046
task_plus_reg,37,l2_wholecount_linear,analog_minus_lif,-0.1375478687978689
task_plus_reg,37,l2_wholecount_matched_biasfree,analog_minus_if,0.1321595071595071
task_plus_reg,37,l2_wholecount_matched_biasfree,if_minus_lif,-0.2624264624264624
task_plus_reg,37,l2_wholecount_matched_biasfree,analog_minus_lif,-0.1302669552669553
