architecture,regularization,seed,condition,split,accuracy,balanced_accuracy,macro_f1
234x234,task_only,11,c0_analog,test,0.4520547945205479,0.43176961926961926,0.41069420572004806
234x234,task_only,11,c0_analog,train,0.8932874354561101,0.8937391863787042,0.8992306697740071
234x234,task_only,11,c0_analog,val,0.40476190476190477,0.39408970658970666,0.4018506422289825
234x234,task_only,11,c1_if_beta10,test,0.2465753424657534,0.22965367965367964,0.18549966549866478
234x234,task_only,11,c1_if_beta10,train,0.3648881239242685,0.3591034390626093,0.37302166312427576
234x234,task_only,11,c1_if_beta10,val,0.18253968253968253,0.18683862433862433,0.15299277469380562
234x234,task_only,11,c2_lif_beta05_reuse,test,0.4726027397260274,0.4662490287490288,0.44546660866164783
234x234,task_only,11,c2_lif_beta05_reuse,train,0.8192771084337349,0.8193526169903224,0.821843781259043
234x234,task_only,11,c2_lif_beta05_reuse,val,0.4523809523809524,0.4430675805675806,0.44049144325460116
234x234,task_only,23,c0_analog,test,0.3904109589041096,0.3846694971694971,0.3784763430685801
234x234,task_only,23,c0_analog,train,0.9053356282271945,0.9070138104540142,0.9084444880140355
234x234,task_only,23,c0_analog,val,0.4126984126984127,0.4086399711399711,0.3980597098979452
234x234,task_only,23,c1_if_beta10,test,0.2945205479452055,0.28179667554667553,0.23997521163122182
234x234,task_only,23,c1_if_beta10,train,0.621342512908778,0.6165943973129687,0.6369070018090369
234x234,task_only,23,c1_if_beta10,val,0.31746031746031744,0.3211339586339586,0.3118270421732171
234x234,task_only,23,c2_lif_beta05_reuse,test,0.410958904109589,0.3947635697635698,0.3595505408054203
234x234,task_only,23,c2_lif_beta05_reuse,train,0.7452667814113597,0.7349138038978703,0.732643184299338
234x234,task_only,23,c2_lif_beta05_reuse,val,0.4126984126984127,0.40229076479076475,0.3699054602333465
234x234,task_only,37,c0_analog,test,0.3972602739726027,0.39532065157065155,0.37325650308106445
234x234,task_only,37,c0_analog,train,0.8760757314974182,0.8776192913266491,0.8823150805696652
234x234,task_only,37,c0_analog,val,0.373015873015873,0.37715848965848964,0.3868235080670581
234x234,task_only,37,c1_if_beta10,test,0.17123287671232876,0.17283549783549781,0.133307551363691
234x234,task_only,37,c1_if_beta10,train,0.342512908777969,0.3316149085958094,0.32395127045140615
234x234,task_only,37,c1_if_beta10,val,0.21428571428571427,0.22063492063492063,0.17308382283592047
234x234,task_only,37,c2_lif_beta05_reuse,test,0.4452054794520548,0.4352668165168165,0.4200325806749781
234x234,task_only,37,c2_lif_beta05_reuse,train,0.9208261617900172,0.9217527526497175,0.9235804545956735
234x234,task_only,37,c2_lif_beta05_reuse,val,0.47619047619047616,0.45784632034632033,0.45123716153127913
234x234,task_plus_reg,11,c0_analog,test,0.4520547945205479,0.44123029748029746,0.42514212939909535
234x234,task_plus_reg,11,c0_analog,train,0.882960413080895,0.8847583682679843,0.8874723447095724
234x234,task_plus_reg,11,c0_analog,val,0.40476190476190477,0.3832431457431457,0.3773023949274639
234x234,task_plus_reg,11,c1_if_beta10,test,0.10273972602739725,0.09253246753246754,0.06477135940208945
234x234,task_plus_reg,11,c1_if_beta10,train,0.11703958691910499,0.11321112686863703,0.09067806526025353
234x234,task_plus_reg,11,c1_if_beta10,val,0.14285714285714285,0.14157046657046657,0.12135880282810106
234x234,task_plus_reg,11,c2_lif_beta05_reuse,test,0.5,0.4777861027861028,0.4567977136150287
234x234,task_plus_reg,11,c2_lif_beta05_reuse,train,0.8399311531841652,0.8364653132084108,0.8356851713223133
234x234,task_plus_reg,11,c2_lif_beta05_reuse,val,0.42857142857142855,0.41387085137085133,0.39322645381569865
234x234,task_plus_reg,23,c0_analog,test,0.4041095890410959,0.408289627039627,0.4045376800676976
234x234,task_plus_reg,23,c0_analog,train,0.9156626506024096,0.9163869902166657,0.9189691198173744
234x234,task_plus_reg,23,c0_analog,val,0.30158730158730157,0.29468494468494466,0.29691317083429075
234x234,task_plus_reg,23,c1_if_beta10,test,0.2328767123287671,0.2260919635919636,0.2031325198013957
234x234,task_plus_reg,23,c1_if_beta10,train,0.46471600688468157,0.4496422278302626,0.46029771952331117
234x234,task_plus_reg,23,c1_if_beta10,val,0.15873015873015872,0.168488455988456,0.14262201220405557
234x234,task_plus_reg,23,c2_lif_beta05_reuse,test,0.4589041095890411,0.4461143023643024,0.4390487352664159
234x234,task_plus_reg,23,c2_lif_beta05_reuse,train,0.8932874354561101,0.8912832012210391,0.8922623475983746
234x234,task_plus_reg,23,c2_lif_beta05_reuse,val,0.48412698412698413,0.4750481000481,0.46577918328238016
234x234,task_plus_reg,37,c0_analog,test,0.3972602739726027,0.38430874680874677,0.3706719818154954
234x234,task_plus_reg,37,c0_analog,train,0.882960413080895,0.8841178794734059,0.8871854669778801
234x234,task_plus_reg,37,c0_analog,val,0.36507936507936506,0.36974506974506977,0.37151581681170115
234x234,task_plus_reg,37,c1_if_beta10,test,0.23972602739726026,0.22828976578976576,0.19835637543016363
234x234,task_plus_reg,37,c1_if_beta10,train,0.5524956970740104,0.5509611844314625,0.5867064340684277
234x234,task_plus_reg,37,c1_if_beta10,val,0.24603174603174602,0.2585016835016835,0.2473426957173087
234x234,task_plus_reg,37,c2_lif_beta05_reuse,test,0.5273972602739726,0.5105984293484294,0.48791794907957864
234x234,task_plus_reg,37,c2_lif_beta05_reuse,train,0.8881239242685026,0.8889100738063882,0.8868665606715965
234x234,task_plus_reg,37,c2_lif_beta05_reuse,val,0.46825396825396826,0.45229076479076474,0.443742074846951
