architecture,regularization,condition,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,task_only,c0_analog,test,3,0.41324200913242004,0.40391992266992266,0.38747568395656423,0.0337868689199743,0.024699513619516344,0.020276501104353455
234x234,task_only,c0_analog,train,3,0.891566265060241,0.8927907627197892,0.8966634127859026,0.014705686308636019,0.01472019256870813,0.013252531444245198
234x234,task_only,c0_analog,val,3,0.3968253968253968,0.3932960557960558,0.3955779533979953,0.020998026278290383,0.01575573959717258,0.007814923337685511
234x234,task_only,c1_if_beta10,test,3,0.2374429223744292,0.22809528434528434,0.1862608094978592,0.06214912141011964,0.05449730276816124,0.053337903425968815
234x234,task_only,c1_if_beta10,train,3,0.4429145152036718,0.4357709149904625,0.44462664512823963,0.1549276454897602,0.15719972533765555,0.1683174902772685
234x234,task_only,c1_if_beta10,val,3,0.2380952380952381,0.24286916786916782,0.21263454656764771,0.0705412255342507,0.06985399427326343,0.08648858850858805
234x234,task_only,c2_lif_beta05_reuse,test,3,0.4429223744292237,0.43209313834313834,0.4083499100473487,0.03088527227960888,0.03584824802487558,0.04413339182200059
234x234,task_only,c2_lif_beta05_reuse,train,3,0.8284566838783706,0.8253397245126367,0.8260224733846848,0.08813893840830146,0.09356325285621837,0.09553719902720957
234x234,task_only,c2_lif_beta05_reuse,val,3,0.44708994708994704,0.43440155523488855,0.4205446883397423,0.032075014954979206,0.028773771643143188,0.04418275888544219
234x234,task_plus_reg,c0_analog,test,3,0.41780821917808214,0.41127622377622375,0.4001172637607628,0.02985547221603201,0.028578060689342915,0.027502805396718222
234x234,task_plus_reg,c0_analog,train,3,0.8938611589213998,0.8950877459860186,0.8978756438349423,0.01888064563614953,0.01844846633385982,0.01826804919728198
234x234,task_plus_reg,c0_analog,val,3,0.35714285714285715,0.3492243867243867,0.3485771275244853,0.05204316289128572,0.047712289479679176,0.044835749544723545
234x234,task_plus_reg,c1_if_beta10,test,3,0.1917808219178082,0.1823047323047323,0.15542008487788292,0.07718786075057975,0.07775282776453452,0.0785404129194203
234x234,task_plus_reg,c1_if_beta10,train,3,0.37808376362593227,0.37127151304345407,0.3792274062839975,0.23029191289935172,0.22915661658832964,0.2577602227500683
234x234,task_plus_reg,c1_if_beta10,val,3,0.18253968253968253,0.18952020202020203,0.17044117024982178,0.05555555555555555,0.06123706499426412,0.06744193415569667
234x234,task_plus_reg,c2_lif_beta05_reuse,test,3,0.4954337899543379,0.47816627816627816,0.4612547993203411,0.03447412984141895,0.03224374448193048,0.02473760749178321
234x234,task_plus_reg,c2_lif_beta05_reuse,train,3,0.8737808376362594,0.872219529411946,0.8716046931974283,0.029428155142242472,0.030986786146330193,0.031223991864309
234x234,task_plus_reg,c2_lif_beta05_reuse,val,3,0.4603174603174603,0.4470699054032387,0.4342492373150099,0.02861548631320628,0.03092097942316383,0.037196237868529686
