architecture,regularization,seed,block,condition,accuracy,balanced_accuracy,macro_f1
234x234,task_only,11,direction_b,B0_wlin_analog,0.4041095890410959,0.39617535242535246,0.38530929498671446
234x234,task_only,11,direction_b,B1_if_beta1_charge,0.4041095890410959,0.39617535242535246,0.38530929498671446
234x234,task_only,11,direction_b,B2_if_beta1_spike,0.410958904109589,0.40450868575868576,0.39422657820223755
234x234,task_only,11,direction_b,B2a_if_beta1_cap31,0.410958904109589,0.4021277333777334,0.3913513372356532
234x234,task_only,11,direction_b,B2b_if_beta1_bipolar,0.3972602739726027,0.39161186036186035,0.3817399740739542
234x234,task_only,11,direction_b,B3_lif_beta05_spike,0.3493150684931507,0.33769286269286264,0.32115963140689746
234x234,task_only,11,direction_b,B3a_lif_beta05_cap31,0.3493150684931507,0.33769286269286264,0.32115963140689746
234x234,task_only,11,direction_b,B3b_lif_beta05_bipolar,0.3561643835616438,0.34410311910311914,0.32657670537235856
234x234,task_only,11,direction_a,A0_wlif_lif_beta05,0.3835616438356164,0.36598679098679093,0.34215161791888127
234x234,task_only,11,direction_a,A1_wlif_if_beta1_spike,0.3561643835616438,0.34608447108447105,0.3308347981567796
234x234,task_only,11,direction_a,A2_wlif_if_beta1_charge,0.3904109589041096,0.37671217671217666,0.3655452830412225
234x234,task_only,11,direction_a,A3_wlif_analog,0.3904109589041096,0.37671217671217666,0.3655452830412225
234x234,task_only,11,native_control,native_e2e_W_analog,0.4931506849315068,0.48702131202131205,0.4676042211486928
234x234,task_only,11,native_control,native_e2e_W_lif_beta05,0.4726027397260274,0.4662490287490288,0.44546660866164783
234x234,task_only,23,direction_b,B0_wlin_analog,0.3356164383561644,0.3270666833166833,0.3006860366043971
234x234,task_only,23,direction_b,B1_if_beta1_charge,0.3356164383561644,0.3270666833166833,0.3006860366043971
234x234,task_only,23,direction_b,B2_if_beta1_spike,0.3150684931506849,0.3099171661671662,0.2914837405742979
234x234,task_only,23,direction_b,B2a_if_beta1_cap31,0.3287671232876712,0.32111430236430233,0.29556578562501296
234x234,task_only,23,direction_b,B2b_if_beta1_bipolar,0.3150684931506849,0.308751665001665,0.28703226646338104
234x234,task_only,23,direction_b,B3_lif_beta05_spike,0.2808219178082192,0.2702845765345765,0.24226364953138893
234x234,task_only,23,direction_b,B3a_lif_beta05_cap31,0.2808219178082192,0.26998695748695745,0.2370967099797745
234x234,task_only,23,direction_b,B3b_lif_beta05_bipolar,0.3013698630136986,0.2881417193917194,0.2636863136863136
234x234,task_only,23,direction_a,A0_wlif_lif_beta05,0.2808219178082192,0.2599081474081474,0.22523119731739616
234x234,task_only,23,direction_a,A1_wlif_if_beta1_spike,0.22602739726027396,0.21304667554667556,0.17260345185470324
234x234,task_only,23,direction_a,A2_wlif_if_beta1_charge,0.273972602739726,0.2637140637140637,0.21467016170963538
234x234,task_only,23,direction_a,A3_wlif_analog,0.273972602739726,0.2637140637140637,0.21467016170963538
234x234,task_only,23,native_control,native_e2e_W_analog,0.4315068493150685,0.41546162171162165,0.36722705511236936
234x234,task_only,23,native_control,native_e2e_W_lif_beta05,0.410958904109589,0.3947635697635698,0.3595505408054203
234x234,task_only,37,direction_b,B0_wlin_analog,0.4178082191780822,0.41615606615606615,0.39919227416367
234x234,task_only,37,direction_b,B1_if_beta1_charge,0.4178082191780822,0.41615606615606615,0.39919227416367
234x234,task_only,37,direction_b,B2_if_beta1_spike,0.4178082191780822,0.4126075313575313,0.39760802617907604
234x234,task_only,37,direction_b,B2a_if_beta1_cap31,0.4178082191780822,0.4126075313575313,0.39760802617907604
234x234,task_only,37,direction_b,B2b_if_beta1_bipolar,0.4246575342465753,0.42256632256632254,0.40428727175866763
234x234,task_only,37,direction_b,B3_lif_beta05_spike,0.3904109589041096,0.37226870351870356,0.36850593046925023
234x234,task_only,37,direction_b,B3a_lif_beta05_cap31,0.3904109589041096,0.37226870351870356,0.36850593046925023
234x234,task_only,37,direction_b,B3b_lif_beta05_bipolar,0.3904109589041096,0.3767329892329892,0.3717090443262651
234x234,task_only,37,direction_a,A0_wlif_lif_beta05,0.4041095890410959,0.37843267843267836,0.36173083431081277
234x234,task_only,37,direction_a,A1_wlif_if_beta1_spike,0.363013698630137,0.34851953601953595,0.3200661567040877
234x234,task_only,37,direction_a,A2_wlif_if_beta1_charge,0.4041095890410959,0.3892302142302142,0.3510242521001122
234x234,task_only,37,direction_a,A3_wlif_analog,0.4041095890410959,0.3892302142302142,0.3510242521001122
234x234,task_only,37,native_control,native_e2e_W_analog,0.4520547945205479,0.4434738872238872,0.43185983226598007
234x234,task_only,37,native_control,native_e2e_W_lif_beta05,0.4452054794520548,0.4352668165168165,0.4200325806749781
234x234,task_plus_reg,11,direction_b,B0_wlin_analog,0.4589041095890411,0.443235236985237,0.43671235020613514
234x234,task_plus_reg,11,direction_b,B1_if_beta1_charge,0.4589041095890411,0.443235236985237,0.43671235020613514
234x234,task_plus_reg,11,direction_b,B2_if_beta1_spike,0.4315068493150685,0.4186681374181374,0.4140964152386566
234x234,task_plus_reg,11,direction_b,B2a_if_beta1_cap31,0.4589041095890411,0.4408542846042846,0.43604374126045947
234x234,task_plus_reg,11,direction_b,B2b_if_beta1_bipolar,0.4520547945205479,0.4389062326562326,0.4339120339880989
234x234,task_plus_reg,11,direction_b,B3_lif_beta05_spike,0.4452054794520548,0.42795745920745915,0.419712846743246
234x234,task_plus_reg,11,direction_b,B3a_lif_beta05_cap31,0.4589041095890411,0.44148559773559765,0.43496860838966106
234x234,task_plus_reg,11,direction_b,B3b_lif_beta05_bipolar,0.4520547945205479,0.4355332167832167,0.42808448016887907
234x234,task_plus_reg,11,direction_a,A0_wlif_lif_beta05,0.410958904109589,0.394590132090132,0.3883685818841203
234x234,task_plus_reg,11,direction_a,A1_wlif_if_beta1_spike,0.4246575342465753,0.4091082528582528,0.39438873547569203
234x234,task_plus_reg,11,direction_a,A2_wlif_if_beta1_charge,0.4589041095890411,0.439328033078033,0.420673340629481
234x234,task_plus_reg,11,direction_a,A3_wlif_analog,0.4589041095890411,0.439328033078033,0.420673340629481
234x234,task_plus_reg,11,native_control,native_e2e_W_analog,0.5205479452054794,0.4927281052281052,0.46788212683950564
234x234,task_plus_reg,11,native_control,native_e2e_W_lif_beta05,0.5,0.4777861027861028,0.4567977136150287
234x234,task_plus_reg,23,direction_b,B0_wlin_analog,0.4315068493150685,0.4259122821622821,0.4157180806689298
