architecture,regularization,seed,accuracy,balanced_accuracy,beta,macro_f1
234x234,task_only,11,0.410958904109589,0.40450868575868576,1.0,0.39422657820223755
234x234,task_only,11,0.410958904109589,0.40351662226662227,0.95,0.39014444223080424
234x234,task_only,11,0.410958904109589,0.40159354534354536,0.9,0.3925527074840576
234x234,task_only,11,0.4041095890410959,0.39680666555666555,0.8,0.38399996587496593
234x234,task_only,11,0.3972602739726027,0.38910464535464534,0.7,0.3768093018093018
234x234,task_only,11,0.3904109589041096,0.3791479353979354,0.6,0.3661786510582701
234x234,task_only,11,0.3493150684931507,0.33769286269286264,0.5,0.32115963140689746
234x234,task_only,23,0.3150684931506849,0.3099171661671662,1.0,0.2914837405742979
234x234,task_only,23,0.3150684931506849,0.3071262071262071,0.95,0.2884169662897946
234x234,task_only,23,0.2945205479452055,0.28926906426906424,0.9,0.26913399100899105
234x234,task_only,23,0.3150684931506849,0.3071262071262071,0.8,0.2852369195675483
234x234,task_only,23,0.3082191780821918,0.2967095404595404,0.7,0.2733262765134104
234x234,task_only,23,0.3013698630136986,0.2893072205572205,0.6,0.2586805948667594
234x234,task_only,23,0.2808219178082192,0.2702845765345765,0.5,0.24226364953138893
234x234,task_only,37,0.4178082191780822,0.4126075313575313,1.0,0.39760802617907604
234x234,task_only,37,0.4178082191780822,0.4097687035187035,0.95,0.39603349462967824
234x234,task_only,37,0.4178082191780822,0.4057622932622933,0.9,0.3943652739052132
234x234,task_only,37,0.410958904109589,0.3998099123099123,0.8,0.38702600108856094
234x234,task_only,37,0.4246575342465753,0.41617895992895987,0.7,0.4021260415997257
234x234,task_only,37,0.4452054794520548,0.43281857031857035,0.6,0.42302122200195086
234x234,task_only,37,0.3904109589041096,0.37226870351870356,0.5,0.36850593046925023
234x234,task_plus_reg,11,0.4315068493150685,0.4186681374181374,1.0,0.4140964152386566
234x234,task_plus_reg,11,0.4452054794520548,0.4323225385725386,0.95,0.4224901869554388
234x234,task_plus_reg,11,0.4383561643835616,0.42375471750471744,0.9,0.41613143384481943
234x234,task_plus_reg,11,0.4452054794520548,0.431330475080475,0.8,0.42185054811140893
234x234,task_plus_reg,11,0.4246575342465753,0.40847693972693966,0.7,0.3968409730169442
234x234,task_plus_reg,11,0.4178082191780822,0.3999091186591186,0.6,0.38673554305649255
234x234,task_plus_reg,11,0.4452054794520548,0.42795745920745915,0.5,0.419712846743246
234x234,task_plus_reg,23,0.4315068493150685,0.41906704406704404,1.0,0.41116164366514996
234x234,task_plus_reg,23,0.4246575342465753,0.41387223887223884,0.95,0.405952380952381
234x234,task_plus_reg,23,0.4246575342465753,0.4154956154956155,0.9,0.40481311931630315
234x234,task_plus_reg,23,0.4178082191780822,0.4079198579198579,0.8,0.39647885289521706
234x234,task_plus_reg,23,0.4315068493150685,0.43037656787656786,0.7,0.41717191670960546
234x234,task_plus_reg,23,0.3904109589041096,0.39304098679098676,0.6,0.37831177201467386
234x234,task_plus_reg,23,0.410958904109589,0.41252150627150624,0.5,0.39512748145101084
234x234,task_plus_reg,37,0.4041095890410959,0.39614343989343986,1.0,0.3919045055321883
234x234,task_plus_reg,37,0.410958904109589,0.4003461815961815,0.95,0.3999961720923429
234x234,task_plus_reg,37,0.410958904109589,0.39872280497280493,0.9,0.3945994048960581
234x234,task_plus_reg,37,0.410958904109589,0.3894966144966145,0.8,0.377725527831952
234x234,task_plus_reg,37,0.3972602739726027,0.3758422133422133,0.7,0.3585699370305632
234x234,task_plus_reg,37,0.363013698630137,0.3439969752469752,0.6,0.32493203756790706
234x234,task_plus_reg,37,0.3493150684931507,0.33133463758463755,0.5,0.316089648709765
