model_kind,layer,state,mean_state_norm_mean,mean_state_norm_std,mean_state_norm_count,mean_per_neuron_variance_mean,mean_per_neuron_variance_std,mean_per_neuron_variance_count,nonzero_fraction_mean,nonzero_fraction_std,nonzero_fraction_count,firing_rate_per_step_mean,firing_rate_per_step_std,firing_rate_per_step_count
a2,L1,spike50,6.377481778462728,1.033376261410078,6,0.23379628111918763,0.07827235854066562,6,0.09755625477478662,0.021557496348398302,6,0.04688902137180163,0.012147603719307287,6
a2,L1,syn_current,1.8839521209398906,0.22496953333070188,6,0.0123496199958026,0.00422747509044972,6,0.9913613698015847,0.0005093943111841403,6,,,0
a2,L1,pre_reset,3.167099197705587,0.3621113957833463,6,0.03199413294593488,0.010357557960038823,6,0.9913613698015847,0.0005093943111841403,6,,,0
a2,L2,spike50,21.54240544637044,1.4646037420340485,6,2.661381721496582,0.2606337210574279,6,0.44607714330682474,0.021088339012633354,6,0.34678123891353607,0.026621206484646314,6
a2,L2,syn_current,6.657995780309041,1.2801466403748316,6,0.37766443192958826,0.16125842365165677,6,0.8547918791718115,0.01697849858331594,6,,,0
a2,L2,pre_reset,10.782765865325928,2.409253234785835,6,1.1034435431162517,0.5231381616140949,6,0.8547918791718115,0.01697849858331594,6,,,0
random_a2,L1,spike50,0.8879918704430262,0.4616573051532794,6,0.016649074309195017,0.010701980366301237,6,0.008763118204111733,0.004758062226247263,6,0.003092784560673517,0.001893284327793149,6
random_a2,L1,syn_current,0.9416617651780447,0.12926781617070585,6,0.004371249349787784,0.001508112225481012,6,0.9913613698015847,0.0005093943111841403,6,,,0
random_a2,L1,pre_reset,1.7373348871866863,0.22575193158939622,6,0.013492695987224551,0.00455198298055916,6,0.9913613698015847,0.0005093943111841403,6,,,0
random_a2,L2,spike50,2.320590694745382,1.5117174075767217,6,0.16855431968967116,0.11551942455520217,6,0.03117760207122115,0.021123064840284873,6,0.018182460335083268,0.01285410390194303,6
random_a2,L2,syn_current,0.9656989822785059,0.4887548086301573,6,0.01681468845345075,0.011027176960673572,6,0.621044772662917,0.09420883569401248,6,,,0
random_a2,L2,pre_reset,1.7316886285940807,0.8573642368396702,6,0.05239830786983166,0.03430970896068,6,0.621044772662917,0.09420883569401248,6,,,0
c2,L1,spike50,6.425782680511475,1.0116878105455105,6,0.23483207076787949,0.07760192853498485,6,0.09772681194682868,0.021396759945536466,6,0.04710094816982741,0.012022797452423404,6
c2,L1,syn_current,1.9120789567629497,0.23257190406305067,6,0.012766321965803634,0.004383778429818024,6,0.9913613698015847,0.0005093943111841403,6,,,0
c2,L1,pre_reset,3.221439997355143,0.38903665409127103,6,0.03330540346602593,0.01097435768287587,6,0.9913613698015847,0.0005093943111841403,6,,,0
c2,L2,spike50,21.323623975118,1.3934392165701615,6,2.5629172325134277,0.2760101628396943,6,0.4350074797452333,0.02271394563789566,6,0.33792684475580853,0.026464921728296682,6
c2,L2,syn_current,6.90639082590739,1.3809203304322253,6,0.3963077614704768,0.17052855635673875,6,0.8550637278586745,0.01585814166106168,6,,,0
c2,L2,pre_reset,11.343506813049316,2.6548901458125926,6,1.1814781328042347,0.5614041338511607,6,0.8550637278586745,0.01585814166106168,6,,,0
c2,L3,spike50,23.484764734903973,1.378286277850362,6,2.955765962600708,0.3905146731611829,6,0.40212071520053905,0.043013212909774994,6,0.3689432740211487,0.038265157135178376,6
c2,L3,syn_current,28.24956480662028,7.032292742530329,6,5.648962656656901,1.5299948074002263,6,0.8327179236971,0.020031339970963756,6,,,0
c2,L3,pre_reset,53.542704264322914,14.182736365168997,6,20.94631020228068,6.213827123691378,6,0.8327179236971,0.020031339970963756,6,,,0
