seed,accuracy,balanced_accuracy,conditional_early_exit_accuracy,early_exit_coverage,forced_decision_rate,macro_f1,mean_decision_latency_ms,mean_spike_activity_cost,mean_spikes_per_correct_gesture,mean_synops_per_correct_gesture,mean_synops_proxy,median_decision_latency_ms,median_spike_activity_cost,median_synops_proxy,n_samples,p_latency_le_1000ms,p_latency_le_1500ms,p_latency_le_500ms,p_latency_le_750ms,persistence_ms,premature_wrong_decision_rate,split,stability_m,threshold
11,0.5317460317460317,0.5275613275613276,0.5833333333333334,0.47619047619047616,0.5238095238095238,0.532801596669883,1205.4811507936508,2189.753968253968,2436.4328358208954,76857.79104477612,67791.23809523809,1156.25,2197.5,66020.0,126,0.38095238095238093,0.8412698412698413,0.023809523809523808,0.1349206349206349,0.0,0.1984126984126984,val,1,0.5
11,0.5634920634920635,0.5567279942279942,0.5,0.2698412698412698,0.7301587301587301,0.5598602786102785,1324.280753968254,2618.5396825396824,2915.323943661972,90484.1690140845,80089.07936507936,1250.0,2734.5,75056.0,126,0.21428571428571427,0.7777777777777778,0.0,0.015873015873015872,250.0,0.1349206349206349,val,2,0.5
11,0.5873015873015873,0.5789502164502165,0.5384615384615384,0.10317460317460317,0.8968253968253969,0.5826578577579722,1376.2400793650793,2810.4285714285716,3144.8513513513512,97200.75675675676,85790.73015873016,1335.9375,2777.0,78114.0,126,0.1349206349206349,0.7063492063492064,0.0,0.0,500.0,0.047619047619047616,val,3,0.5
11,0.5634920634920635,0.5581168831168831,0.6341463414634146,0.3253968253968254,0.6746031746031746,0.5619859209990788,1281.8700396825398,2466.563492063492,2693.5774647887324,83967.43661971831,75646.15873015873,1250.0,2503.0,72410.0,126,0.24603174603174602,0.8095238095238095,0.007936507936507936,0.03968253968253968,0.0,0.11904761904761904,val,1,0.6
11,0.5793650793650794,0.572005772005772,0.5416666666666666,0.19047619047619047,0.8095238095238095,0.5760702424747047,1352.6785714285713,2721.904761904762,3034.5205479452056,93770.68493150685,83068.53968253969,1304.6875,2777.0,78542.0,126,0.15873015873015872,0.746031746031746,0.0,0.007936507936507936,250.0,0.0873015873015873,val,2,0.6
11,0.5873015873015873,0.5789502164502165,0.6363636363636364,0.0873015873015873,0.9126984126984127,0.5826578577579722,1389.0128968253969,2856.563492063492,3185.0945945945946,98486.27027027027,87228.15873015873,1375.0,2793.5,78542.0,126,0.12698412698412698,0.6984126984126984,0.0,0.0,500.0,0.031746031746031744,val,3,0.6
11,0.5793650793650794,0.572005772005772,0.6551724137931034,0.23015873015873015,0.7698412698412699,0.5760702424747047,1328.4970238095239,2629.5714285714284,2919.178082191781,90627.50684931508,80458.98412698413,1250.0,2625.5,75346.0,126,0.19047619047619047,0.753968253968254,0.0,0.015873015873015872,0.0,0.07936507936507936,val,1,0.7
11,0.5873015873015873,0.5789502164502165,0.6666666666666666,0.11904761904761904,0.8809523809523809,0.5826578577579722,1376.1160714285713,2807.1428571428573,3141.5945945945946,97142.86486486487,85723.68253968254,1351.5625,2793.5,78542.0,126,0.1349206349206349,0.7301587301587301,0.0,0.0,250.0,0.03968253968253968,val,2,0.7
11,0.5873015873015873,0.5789502164502165,0.625,0.06349206349206349,0.9365079365079365,0.5826578577579722,1399.3055555555557,2896.0714285714284,3222.891891891892,99488.48648648648,88335.6507936508,1382.8125,2833.5,79198.0,126,0.11904761904761904,0.6666666666666666,0.0,0.0,500.0,0.023809523809523808,val,3,0.7
11,0.5873015873015873,0.5789502164502165,0.7647058823529411,0.1349206349206349,0.8650793650793651,0.5826578577579722,1367.5595238095239,2765.8571428571427,3070.7027027027025,94856.27027027027,84269.87301587302,1312.5,2768.0,78114.0,126,0.1349206349206349,0.7142857142857143,0.0,0.015873015873015872,0.0,0.031746031746031744,val,1,0.8
11,0.5873015873015873,0.5789502164502165,0.625,0.06349206349206349,0.9365079365079365,0.5826578577579722,1391.3690476190477,2859.3650793650795,3190.162162162162,98589.4054054054,87201.93650793651,1382.8125,2793.5,78542.0,126,0.1349206349206349,0.6825396825396826,0.0,0.0,250.0,0.023809523809523808,val,2,0.8
11,0.5873015873015873,0.5789502164502165,0.6666666666666666,0.047619047619047616,0.9523809523809523,0.5826578577579722,1405.5059523809523,2918.4920634920636,3259.4594594594596,100574.7027027027,88992.28571428571,1382.8125,2833.5,79198.0,126,0.11904761904761904,0.6428571428571429,0.0,0.0,500.0,0.015873015873015872,val,3,0.8
