seed,true_phase,substitute_phase,n_timesteps,mean_evidence_l2
37,0,0,1276,0.0
37,0,1,1276,0.01040469149909298
37,0,2,1276,0.010873711023784972
37,0,3,1276,0.010261875994732578
37,0,4,1276,0.010007407524870176
37,0,5,1276,0.012042084926818793
37,0,6,1276,0.012770651995931121
37,0,7,1276,0.013848652744539405
37,0,8,1276,0.012770235036893103
37,0,9,1276,0.012147235721086731
37,1,0,1198,0.06790228654246841
37,1,1,1198,0.0
37,1,2,1198,0.03971665666984414
37,1,3,1198,0.04776398466494567
37,1,4,1198,0.04365746229091092
37,1,5,1198,0.051718318882058155
37,1,6,1198,0.05688490415229505
37,1,7,1198,0.07167868047001485
37,1,8,1198,0.08523444602786295
37,1,9,1198,0.0678314221381385
37,2,0,1211,0.1848083141568777
37,2,1,1211,0.10351072661958663
37,2,2,1211,0.0
37,2,3,1211,0.06991423078915383
37,2,4,1211,0.08053860897900811
37,2,5,1211,0.11685474914987831
37,2,6,1211,0.12166589245121896
37,2,7,1211,0.17090121327353422
37,2,8,1211,0.20923997528209445
37,2,9,1211,0.17246555724199206
37,3,0,1207,0.2275715277619359
37,3,1,1207,0.15967771153351612
37,3,2,1207,0.09336226173420442
37,3,3,1207,0.0
37,3,4,1207,0.09406431883416581
37,3,5,1207,0.17936072448643192
37,3,6,1207,0.18437635754874945
37,3,7,1207,0.23114238418439992
37,3,8,1207,0.2532349677594821
37,3,9,1207,0.21441213520618518
37,4,0,1179,0.2555128089158953
37,4,1,1179,0.17682447584035785
37,4,2,1179,0.11900552820170494
37,4,3,1179,0.10565553430363524
37,4,4,1179,0.0
37,4,5,1179,0.15887975014338657
37,4,6,1179,0.17994513138160068
37,4,7,1179,0.25019071908251556
37,4,8,1179,0.29341511787321145
37,4,9,1179,0.23817051701311387
37,5,0,1232,0.30323429203875246
37,5,1,1232,0.21592585796625352
37,5,2,1232,0.17839017353996864
37,5,3,1232,0.2177667026967813
37,5,4,1232,0.16490343479265673
37,5,5,1232,0.0
37,5,6,1232,0.14215451089504072
37,5,7,1232,0.25408809256154447
37,5,8,1232,0.33166046561280826
37,5,9,1232,0.2978590458712414
37,6,0,1219,0.3338495493710683
37,6,1,1219,0.2270939303213584
37,6,2,1219,0.17835583794990006
37,6,3,1219,0.22257678088023647
37,6,4,1219,0.18844368976629777
37,6,5,1219,0.14081797339739238
37,6,6,1219,0.0
37,6,7,1219,0.1639663972152064
37,6,8,1219,0.262792603132476
37,6,9,1219,0.26102156126480003
37,7,0,1199,0.3441350795067654
37,7,1,1199,0.22810326030021918
37,7,2,1199,0.22646520935491696
37,7,3,1199,0.25840675075293107
37,7,4,1199,0.2467526816213958
37,7,5,1199,0.24833186643777488
37,7,6,1199,0.1589950166258266
37,7,7,1199,0.0
37,7,8,1199,0.16859223849962157
37,7,9,1199,0.2589942004235477
37,8,0,1210,0.31679455233949744
37,8,1,1210,0.2450992419688537
37,8,2,1210,0.2506588365487452
37,8,3,1210,0.25843033476564775
37,8,4,1210,0.2724238472666977
37,8,5,1210,0.314248541604468
37,8,6,1210,0.25143832198518623
37,8,7,1210,0.16573169613770475
37,8,8,1210,0.0
37,8,9,1210,0.21510215779763822
37,9,0,1141,0.32215418463941675
37,9,1,1141,0.2679682069297515
37,9,2,1141,0.24414549187828302
37,9,3,1141,0.25102800167557227
37,9,4,1141,0.23970186666329857
37,9,5,1141,0.29507298507554014
37,9,6,1141,0.25363230858665947
37,9,7,1141,0.24824957926731472
37,9,8,1141,0.20147959581455496
37,9,9,1141,0.0
