seed,true_phase,substitute_phase,n_timesteps,mean_evidence_l2
53,0,0,1276,0.0
53,0,1,1276,0.008803815600590785
53,0,2,1276,0.010111241364922812
53,0,3,1276,0.008357815097670699
53,0,4,1276,0.009213924962702794
53,0,5,1276,0.010308378831866883
53,0,6,1276,0.011077417840809758
53,0,7,1276,0.009721132784204
53,0,8,1276,0.009553336726320813
53,0,9,1276,0.010279112527701743
53,1,0,1198,0.07058577715449764
53,1,1,1198,0.0
53,1,2,1198,0.04125678451329028
53,1,3,1198,0.046530369053795984
53,1,4,1198,0.04965609068462704
53,1,5,1198,0.055554726845273524
53,1,6,1198,0.05460549336729457
53,1,7,1198,0.05454319493099266
53,1,8,1198,0.07681327729234542
53,1,9,1198,0.06338745105496839
53,2,0,1211,0.20249860890909013
53,2,1,1211,0.10105480304879898
53,2,2,1211,0.0
53,2,3,1211,0.06673056795345901
53,2,4,1211,0.08443560406777531
53,2,5,1211,0.12261206814155555
53,2,6,1211,0.11857026426219322
53,2,7,1211,0.1274105508200437
53,2,8,1211,0.17108460444467674
53,2,9,1211,0.13585249217571088
53,3,0,1207,0.2502844309029199
53,3,1,1207,0.16445880854777992
53,3,2,1207,0.08859101312309402
53,3,3,1207,0.0
53,3,4,1207,0.08840114623462714
53,3,5,1207,0.16788709725569234
53,3,6,1207,0.17894304796737537
53,3,7,1207,0.19265751354531394
53,3,8,1207,0.22909367970554925
53,3,9,1207,0.18819835578698269
53,4,0,1179,0.34201719474243386
53,4,1,1179,0.21846508044545274
53,4,2,1179,0.14210996946548293
53,4,3,1179,0.11007196319432135
53,4,4,1179,0.0
53,4,5,1179,0.17308703147405355
53,4,6,1179,0.19312946107150142
53,4,7,1179,0.250293232627293
53,4,8,1179,0.3083307285677994
53,4,9,1179,0.24761893625477557
53,5,0,1232,0.4190367665590465
53,5,1,1232,0.25255914573091903
53,5,2,1232,0.19985827530504427
53,5,3,1232,0.21922798739388388
53,5,4,1232,0.17954721463241463
53,5,5,1232,0.0
53,5,6,1232,0.15835215794460886
53,5,7,1232,0.27301543700721775
53,5,8,1232,0.3591499507367663
53,5,9,1232,0.29333192047106615
53,6,0,1219,0.43783814568440516
53,6,1,1219,0.24659540840132274
53,6,2,1219,0.18466435472427556
53,6,3,1219,0.22118979029498023
53,6,4,1219,0.19603782791763447
53,6,5,1219,0.15291137260896154
53,6,6,1219,0.0
53,6,7,1219,0.1691008298406741
53,6,8,1219,0.2859059256501384
53,6,9,1219,0.24454711872696575
53,7,0,1199,0.4109550243086231
53,7,1,1199,0.23760915641764682
53,7,2,1199,0.1938022229907325
53,7,3,1199,0.2357492507387702
53,7,4,1199,0.2544368835373746
53,7,5,1199,0.27598969045605787
53,7,6,1199,0.17302084777579468
53,7,7,1199,0.0
53,7,8,1199,0.19694451162383367
53,7,9,1199,0.22229901604178284
53,8,0,1210,0.42903706535720826
53,8,1,1210,0.3152212532206578
53,8,2,1210,0.2774106935136304
53,8,3,1210,0.28545593518945833
53,8,4,1210,0.32227476066257094
53,8,5,1210,0.35754347194084396
53,8,6,1210,0.2929487626779429
53,8,7,1210,0.19754201483197817
53,8,8,1210,0.0
53,8,9,1210,0.19520001022678884
53,9,0,1141,0.46026795921689595
53,9,1,1141,0.28710359706837163
53,9,2,1141,0.2345818305912224
53,9,3,1141,0.24767568385299868
53,9,4,1141,0.2654155957103778
53,9,5,1141,0.3109826651851768
53,9,6,1141,0.2553259184190727
53,9,7,1141,0.22732260159770165
53,9,8,1141,0.19621368064936565
53,9,9,1141,0.0
