architecture,objective,profile,seed,long_shifts,long_neuron_count,valid_firing_rate_hz,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz,tail_firing_rate_hz,tail_to_valid_rate_ratio
short_mid_long,whole_count_ce,none,11,"6,7",42,6.737227429076336,12.552561593657483,12.118219679863515,11.54859752120026,12.086929652899373,1.802036129461278
short_mid_long,whole_count_ce,none,23,"6,7",42,6.011675975890688,10.687540769732548,10.294947062070351,9.777777777777777,10.26593881965187,1.7122952985189859
short_mid_long,whole_count_ce,none,37,"6,7",42,6.999021742560509,12.44578252797431,11.882984595313363,11.273755164166124,11.883132488756136,1.6969856570480677
short_mid_long,whole_count_ce,a1,11,"6,7",42,1.1881725519896496,3.0106879421947914,2.8758091223844646,2.661448140900196,2.8542589350087546,2.3965786384341055
short_mid_long,whole_count_ce,a1,23,"6,7",42,1.0704029789516867,2.4952581664910434,2.4013247026945654,2.289193302891933,2.3980499193188454,2.2617408545915945
short_mid_long,whole_count_ce,a1,37,"6,7",42,1.340906939316482,3.180089317075618,3.0211249937277334,2.877147205914329,3.0300408555635663,2.259815305002935
short_mid_long,whole_count_ce,a1_p2,11,"6,7",42,1.1282148379563885,2.8461036680214757,2.7224647498620103,2.510980647966949,2.6979778212654923,2.38431915129665
short_mid_long,whole_count_ce,a1_p2,23,"6,7",42,1.2607529426614914,3.1857092679010486,3.118269857995885,2.9658621439443356,3.0932124832629517,2.4626744303510435
short_mid_long,whole_count_ce,a1_p2,37,"6,7",42,1.5663479440815427,3.542174720256912,3.340659340659341,3.160687105892585,3.3527654753321663,2.1406594851047367
short_mid_long,whole_count_ce,tail,11,"6,7",42,1.6109059926157339,2.8854433237994885,2.7015906467961264,2.505762122200478,2.7026470285302295,1.6782365497897838
short_mid_long,whole_count_ce,tail,23,"6,7",42,1.9851683549496673,3.682673490892669,3.4498469566962715,3.2320069580343547,3.4607065609228544,1.735452990043435
short_mid_long,whole_count_ce,tail,37,"6,7",42,2.6654043990028087,5.403984143710171,5.159917707862912,4.831485105457708,5.139698561472174,1.9335617442599324
short_mid_long,whole_count_ce,a1_tail,11,"6,7",42,0.6231815456467544,1.8080184655527123,1.7213106528175022,1.6090454446618832,1.7155216809146152,2.759126878408794
short_mid_long,whole_count_ce,a1_tail,23,"6,7",42,1.486067720660166,3.29489688393798,3.1632294645993277,2.994564035659926,3.1550108147080027,2.1411484855707266
short_mid_long,whole_count_ce,a1_tail,37,"6,7",42,2.5384202720186813,4.992122033217924,4.7279843444227,4.427049358556208,4.723315137157964,1.864138322377178
short_mid_long,timestep_ce,none,11,"6,7",42,2.23585471299189,4.54332881730142,4.406844297255257,4.197434224831485,4.387406873347753,1.9706868456861475
short_mid_long,timestep_ce,none,23,"6,7",42,2.8060210167566035,5.051532941943901,4.707110241356817,4.369645575125027,4.718371270642359,1.680361105406478
short_mid_long,timestep_ce,none,37,"6,7",42,4.161822714506611,7.440814892869688,6.952682021175171,6.424874972820178,6.952998935695402,1.6863895308334158
short_mid_long,timestep_ce,a1,11,"6,7",42,1.148789800877276,2.879823372974058,2.7112248482111494,2.5344640139160686,2.7130840800631715,2.3568059989881567
short_mid_long,timestep_ce,a1,23,"6,7",42,1.2957177569503613,3.4169301018616087,3.326208038536806,3.1502500543596432,3.3016788546709237,2.55089228908818
short_mid_long,timestep_ce,a1,37,"6,7",42,0.5176559689482154,1.1320186662652416,0.95378594008731,0.7853881278538812,0.9615820372849933,1.8916679916551544
short_mid_long,timestep_ce,a1_p2,11,"6,7",42,1.141468648426899,2.8685834713231975,2.691956445381103,2.5057621222004784,2.6935832732516216,2.3531704512536322
short_mid_long,timestep_ce,a1_p2,23,"6,7",42,0.6802360440531414,1.7662702594209445,1.698830849515781,1.6160034790171776,1.6957462148521987,2.5094284878272024
short_mid_long,timestep_ce,a1_p2,37,"6,7",42,0.25661901606235604,0.4776958201615736,0.32515429775703747,0.24266144814090015,0.35128918185875646,1.4487610471781736
short_mid_long,timestep_ce,tail,11,"6,7",42,1.0913566221717315,2.7826785087059065,2.6301369863013697,2.4500978473581214,2.6254677790366325,2.3974130885333444
short_mid_long,timestep_ce,tail,23,"6,7",42,0.9886080343336806,1.9067690300567013,1.843343870741131,1.7508153946510108,1.835822432794315,1.8580122255404374
short_mid_long,timestep_ce,tail,37,"6,7",42,0.6070245195493704,1.3696623011691504,1.2484319333634404,1.151554685801261,1.2593126652247055,2.034389655994168
short_mid_long,timestep_ce,a1_tail,11,"6,7",42,1.1304869197513334,2.898288925686186,2.728887550805359,2.544031311154599,2.7284649981117175,2.4058604409739206
short_mid_long,timestep_ce,a1_tail,23,"6,7",42,0.7020732746378869,1.9396858848913643,1.911586130764213,1.82648401826484,1.8943248532289625,2.7338187316182467
short_mid_long,timestep_ce,a1_tail,37,"6,7",42,0.1746978446779639,0.21114958101259468,0.1477244216970244,0.10611002391824305,0.1562811137432622,0.8927540372199423
mid_long,whole_count_ce,none,11,"6,7",42,16.269115465934554,26.294947062070346,26.15364544131667,25.376821048053927,25.95667250317575,1.5950202115381835
mid_long,whole_count_ce,none,23,"6,7",42,14.496134305279432,24.099151989562948,23.438406342515936,22.593607305936075,23.397672262848904,1.6143619597685754
mid_long,whole_count_ce,none,37,"6,7",42,13.051468963993816,24.230819408901603,24.223593757840334,23.41117634268319,23.969512823153774,1.8528003495307335
mid_long,whole_count_ce,a1,11,"6,7",42,12.005680204487362,21.83912890762206,20.961613728737014,19.84431398130028,20.908984790743983,1.7368657616870766
mid_long,whole_count_ce,a1,23,"6,7",42,12.329704313799741,21.15108635656581,20.968839379798286,20.39834746684062,20.85103168881107,1.6932873018721122
mid_long,whole_count_ce,a1,37,"6,7",42,9.602196345735113,20.536103166240153,20.35947614029806,19.3233311589476,20.092697497167578,2.1026011875262323
