decoder,seed,split,accuracy,balanced_accuracy,checkpoint_index,elapsed_ms,macro_f1,n_active
current250,11,val,0.0873015873015873,0.07916666666666666,0,250.0,0.03675213675213675,126
current250,11,val,0.20634920634920634,0.19464285714285715,1,500.0,0.19173913102829063,126
current250,11,val,0.373015873015873,0.36925204425204433,2,750.0,0.3595059661215003,126
current250,11,val,0.4523809523809524,0.45222462722462725,3,1000.0,0.44060371822991473,126
current250,11,val,0.4444444444444444,0.4298100048100048,4,1250.0,0.43227433361088424,111
current250,11,val,0.4603174603174603,0.450012025012025,5,1500.0,0.45150810217760684,80
current250,11,val,0.4365079365079365,0.42282948532948533,6,1750.0,0.42449115782449115,47
current250,11,val,0.42063492063492064,0.4089405964405965,7,2000.0,0.4097129447928054,20
current250,11,val,0.4365079365079365,0.42282948532948533,8,2250.0,0.4258659144624057,6
current250,11,val,0.42063492063492064,0.4089405964405965,9,2500.0,0.40992292308081785,3
current250,11,val,0.42063492063492064,0.4089405964405965,10,2750.0,0.41128534075290496,2
current250,11,val,0.42063492063492064,0.4089405964405965,11,3000.0,0.41128534075290496,0
current250,11,val,0.42063492063492064,0.4089405964405965,12,3250.0,0.41128534075290496,0
current250,11,val,0.42063492063492064,0.4089405964405965,13,3500.0,0.41128534075290496,0
current250,11,val,0.42063492063492064,0.4089405964405965,14,3750.0,0.41128534075290496,0
current250,11,val,0.42063492063492064,0.4089405964405965,15,4000.0,0.41128534075290496,0
current250,11,test,0.07534246575342465,0.08067071817071818,0,250.0,0.0477266268826371,146
current250,11,test,0.18493150684931506,0.1888576701076701,1,500.0,0.18159330530898035,146
current250,11,test,0.3150684931506849,0.302234570984571,2,750.0,0.28470569047543265,146
current250,11,test,0.3972602739726027,0.3819409756909757,3,1000.0,0.37181953186597144,141
current250,11,test,0.4383561643835616,0.4265817515817516,4,1250.0,0.4189211434022117,111
current250,11,test,0.4383561643835616,0.42508463758463755,5,1500.0,0.4158193864578273,82
current250,11,test,0.3904109589041096,0.3746517371517371,6,1750.0,0.3698211847501909,36
current250,11,test,0.363013698630137,0.34846126096126095,7,2000.0,0.3465774380581683,15
current250,11,test,0.363013698630137,0.34846126096126095,8,2250.0,0.3465233255040558,1
current250,11,test,0.363013698630137,0.34846126096126095,9,2500.0,0.3465233255040558,0
current250,11,test,0.363013698630137,0.34846126096126095,10,2750.0,0.3465233255040558,0
current250,11,test,0.363013698630137,0.34846126096126095,11,3000.0,0.3465233255040558,0
current250,11,test,0.363013698630137,0.34846126096126095,12,3250.0,0.3465233255040558,0
current250,11,test,0.363013698630137,0.34846126096126095,13,3500.0,0.3465233255040558,0
current250,11,test,0.363013698630137,0.34846126096126095,14,3750.0,0.3465233255040558,0
current250,11,test,0.363013698630137,0.34846126096126095,15,4000.0,0.3465233255040558,0
current250,23,val,0.09523809523809523,0.08333333333333333,0,250.0,0.03130511463844797,126
current250,23,val,0.19047619047619047,0.177982202982203,1,500.0,0.16084963367800417,126
current250,23,val,0.30158730158730157,0.30863997113997116,2,750.0,0.29436118430683644,126
current250,23,val,0.4126984126984127,0.41590909090909084,3,1000.0,0.40559309794503545,126
current250,23,val,0.42857142857142855,0.412012987012987,4,1250.0,0.40727326685524057,111
current250,23,val,0.4603174603174603,0.4294071669071669,5,1500.0,0.4219703961153827,80
current250,23,val,0.3968253968253968,0.3752405002405002,6,1750.0,0.3731902749022314,47
current250,23,val,0.3888888888888889,0.36333573833573835,7,2000.0,0.3462035077422972,20
current250,23,val,0.3968253968253968,0.37028018278018276,8,2250.0,0.3554483207424384,6
current250,23,val,0.3968253968253968,0.37028018278018276,9,2500.0,0.3560960798460799,3
current250,23,val,0.3888888888888889,0.36333573833573835,10,2750.0,0.3451238576238576,2
current250,23,val,0.3888888888888889,0.36333573833573835,11,3000.0,0.3451238576238576,0
current250,23,val,0.3888888888888889,0.36333573833573835,12,3250.0,0.3451238576238576,0
current250,23,val,0.3888888888888889,0.36333573833573835,13,3500.0,0.3451238576238576,0
current250,23,val,0.3888888888888889,0.36333573833573835,14,3750.0,0.3451238576238576,0
current250,23,val,0.3888888888888889,0.36333573833573835,15,4000.0,0.3451238576238576,0
current250,23,test,0.1095890410958904,0.1131951381951382,0,250.0,0.07614638447971782,146
current250,23,test,0.2191780821917808,0.2157654845154845,1,500.0,0.21562372142082284,146
current250,23,test,0.363013698630137,0.35519341769341767,2,750.0,0.3476443588476388,146
current250,23,test,0.3835616438356164,0.37521020646020636,3,1000.0,0.36790250388648554,141
current250,23,test,0.3972602739726027,0.38473401598401596,4,1250.0,0.37440526207015634,111
current250,23,test,0.3972602739726027,0.38323690198690197,5,1500.0,0.37837599214649664,82
current250,23,test,0.3972602739726027,0.3808559496059496,6,1750.0,0.3755963116851964,36
current250,23,test,0.363013698630137,0.34633214008214,7,2000.0,0.3456416953754682,15
current250,23,test,0.363013698630137,0.34633214008214,8,2250.0,0.3465676213013941,1
current250,23,test,0.363013698630137,0.34633214008214,9,2500.0,0.3465676213013941,0
current250,23,test,0.363013698630137,0.34633214008214,10,2750.0,0.3465676213013941,0
current250,23,test,0.363013698630137,0.34633214008214,11,3000.0,0.3465676213013941,0
current250,23,test,0.363013698630137,0.34633214008214,12,3250.0,0.3465676213013941,0
current250,23,test,0.363013698630137,0.34633214008214,13,3500.0,0.3465676213013941,0
current250,23,test,0.363013698630137,0.34633214008214,14,3750.0,0.3465676213013941,0
current250,23,test,0.363013698630137,0.34633214008214,15,4000.0,0.3465676213013941,0
current250,101,val,0.1111111111111111,0.10496031746031746,0,250.0,0.07371894409937887,126
current250,101,val,0.20634920634920634,0.20440115440115444,1,500.0,0.21753497170348124,126
current250,101,val,0.3412698412698413,0.3431938431938432,2,750.0,0.3272205407195817,126
current250,101,val,0.36507936507936506,0.3794131794131794,3,1000.0,0.3543301066217733,126
current250,101,val,0.4603174603174603,0.4560666185666185,4,1250.0,0.44586915132648075,111
current250,101,val,0.48412698412698413,0.47593795093795094,5,1500.0,0.47784214695979405,80
current250,101,val,0.4365079365079365,0.43010461760461766,6,1750.0,0.43718797010570243,47
current250,101,val,0.3888888888888889,0.3834776334776335,7,2000.0,0.38492742279506986,20
current250,101,val,0.40476190476190477,0.3973665223665223,8,2250.0,0.3999444040078715,6
current250,101,val,0.40476190476190477,0.3973665223665223,9,2500.0,0.40107270368426556,3
current250,101,val,0.3968253968253968,0.3904220779220779,10,2750.0,0.39178076468644424,2
current250,101,val,0.3968253968253968,0.3904220779220779,11,3000.0,0.39178076468644424,0
current250,101,val,0.3968253968253968,0.3904220779220779,12,3250.0,0.39178076468644424,0
current250,101,val,0.3968253968253968,0.3904220779220779,13,3500.0,0.39178076468644424,0
current250,101,val,0.3968253968253968,0.3904220779220779,14,3750.0,0.39178076468644424,0
current250,101,val,0.3968253968253968,0.3904220779220779,15,4000.0,0.39178076468644424,0
current250,101,test,0.06164383561643835,0.06585081585081586,0,250.0,0.02339080459770115,146
current250,101,test,0.22602739726027396,0.23221361971361967,1,500.0,0.22407159397636991,146
current250,101,test,0.3835616438356164,0.3741640304140304,2,750.0,0.3476962531196402,146
current250,101,test,0.4383561643835616,0.426299395049395,3,1000.0,0.4199185575346566,141
current250,101,test,0.4246575342465753,0.4144709457209457,4,1250.0,0.4011289001701303,111
current250,101,test,0.4041095890410959,0.3945936008436008,5,1500.0,0.3868973346914524,82
current250,101,test,0.3835616438356164,0.3734897047397048,6,1750.0,0.3617646909408923,36
current250,101,test,0.3424657534246575,0.3330135142635143,7,2000.0,0.32439744828805717,15
current250,101,test,0.3424657534246575,0.3330135142635143,8,2250.0,0.3254075492981581,1
current250,101,test,0.3424657534246575,0.3330135142635143,9,2500.0,0.3254075492981581,0
current250,101,test,0.3424657534246575,0.3330135142635143,10,2750.0,0.3254075492981581,0
current250,101,test,0.3424657534246575,0.3330135142635143,11,3000.0,0.3254075492981581,0
current250,101,test,0.3424657534246575,0.3330135142635143,12,3250.0,0.3254075492981581,0
current250,101,test,0.3424657534246575,0.3330135142635143,13,3500.0,0.3254075492981581,0
current250,101,test,0.3424657534246575,0.3330135142635143,14,3750.0,0.3254075492981581,0
current250,101,test,0.3424657534246575,0.3330135142635143,15,4000.0,0.3254075492981581,0
cumulative250,11,val,0.10317460317460317,0.09027777777777778,0,250.0,0.027419052966498225,126
cumulative250,11,val,0.16666666666666666,0.15138888888888888,1,500.0,0.1191735201792673,126
cumulative250,11,val,0.2619047619047619,0.25212842712842715,2,750.0,0.2548808571126823,126
cumulative250,11,val,0.373015873015873,0.3649591149591149,3,1000.0,0.35602524055379553,126
cumulative250,11,val,0.42857142857142855,0.4149591149591149,4,1250.0,0.41070542692596157,111
cumulative250,11,val,0.46825396825396826,0.4496813371813371,5,1500.0,0.44484791834508036,80
cumulative250,11,val,0.49206349206349204,0.47051467051467055,6,1750.0,0.4590332781029713,47
cumulative250,11,val,0.5,0.47745911495911497,7,2000.0,0.46440171654469165,20
cumulative250,11,val,0.5079365079365079,0.4844035594035594,8,2250.0,0.4702488891827128,6
cumulative250,11,val,0.5079365079365079,0.4844035594035594,9,2500.0,0.4702488891827128,3
cumulative250,11,val,0.5079365079365079,0.4844035594035594,10,2750.0,0.4702488891827128,2
cumulative250,11,val,0.5079365079365079,0.4844035594035594,11,3000.0,0.4702488891827128,0
cumulative250,11,val,0.5079365079365079,0.4844035594035594,12,3250.0,0.4702488891827128,0
cumulative250,11,val,0.5079365079365079,0.4844035594035594,13,3500.0,0.4702488891827128,0
cumulative250,11,val,0.5079365079365079,0.4844035594035594,14,3750.0,0.4702488891827128,0
cumulative250,11,val,0.5079365079365079,0.4844035594035594,15,4000.0,0.4702488891827128,0
cumulative250,11,test,0.0958904109589041,0.10139860139860139,0,250.0,0.043007293007293,146
cumulative250,11,test,0.1643835616438356,0.16737151737151737,1,500.0,0.13842091550424881,146
cumulative250,11,test,0.2876712328767123,0.27936785436785433,2,750.0,0.2678205456647485,146
