decoder,seed,source_objective,selected_C,val_early_recognition_auc,test_early_recognition_auc,test_final_balanced_accuracy,test_sustained_t90_ms,test_sustained_t95_ms
current250,11,timestep_ce,0.1,0.380768247955748,0.3322608381202131,0.34846126096126095,1000.0,1000.0
current250,23,timestep_ce,0.1,0.3429022366522366,0.33282377344877345,0.34633214008214,750.0,750.0
current250,101,timestep_ce,0.1,0.36967630170755167,0.32988773379398384,0.3330135142635143,750.0,750.0
cumulative250,11,timestep_ce,0.01,0.4091623075998076,0.43995635440947933,0.513860445110445,1500.0,1500.0
cumulative250,23,timestep_ce,0.01,0.42002878487253487,0.4681937420218671,0.5458146020646021,1500.0,1500.0
cumulative250,101,timestep_ce,0.1,0.4352152477152477,0.48702213585026083,0.5636578699078698,1250.0,1500.0
prefix250_uniform,11,timestep_ce,0.01,0.4415407798220298,0.49866253538128535,0.5775620213120213,1250.0,1500.0
prefix250_uniform,23,timestep_ce,0.01,0.44113719035594035,0.5076338591963592,0.5881507381507382,1500.0,1500.0
prefix250_uniform,101,timestep_ce,0.01,0.4414817821067822,0.5127220869408369,0.6054077866577866,1500.0,1750.0
prefix250_weighted,11,timestep_ce,0.01,0.4862877284752285,0.49783649510212014,0.5855214230214231,1250.0,1500.0
prefix250_weighted,23,timestep_ce,0.01,0.4553109217171718,0.5441127882534132,0.6407509157509158,1500.0,1500.0
prefix250_weighted,101,timestep_ce,0.01,0.44696969696969696,0.5276574987512488,0.6227688977688978,1500.0,1500.0
native_timestep,11,timestep_ce,,0.4078594727032227,0.40654553779553776,0.47474123099123094,1500.0,1750.0
native_timestep,23,timestep_ce,,0.4055108375420875,0.4185570505883005,0.487338356088356,1500.0,1500.0
native_timestep,101,timestep_ce,,0.4306709205146705,0.44904717678155176,0.515783522033522,1250.0,1500.0
