epoch,train_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,view,group,sampling_rate_hz,variant,seed
1,2.5205684385801614,0.08611111111111112,0.08450704225352113,0.025793650793650796,common_grid,sr_200,200.0,cnn_s,11
2,2.5183315854323536,0.08611111111111112,0.08450704225352113,0.025793650793650796,common_grid,sr_200,200.0,cnn_s,11
3,2.5162981811322664,0.08611111111111112,0.08450704225352113,0.025966183574879228,common_grid,sr_200,200.0,cnn_s,11
4,2.5143813534786825,0.08611111111111112,0.08450704225352113,0.02507541478129714,common_grid,sr_200,200.0,cnn_s,11
5,2.5124574560868114,0.08611111111111112,0.08450704225352113,0.02507541478129714,common_grid,sr_200,200.0,cnn_s,11
6,2.510571833660728,0.07222222222222223,0.07042253521126761,0.022005772005772004,common_grid,sr_200,200.0,cnn_s,11
7,2.508842003972907,0.07222222222222223,0.07042253521126761,0.022005772005772004,common_grid,sr_200,200.0,cnn_s,11
8,2.507266953116969,0.07222222222222223,0.07042253521126761,0.021367521367521364,common_grid,sr_200,200.0,cnn_s,11
9,2.5056638291007594,0.07222222222222223,0.07042253521126761,0.020833333333333332,common_grid,sr_200,200.0,cnn_s,11
10,2.5040532513668663,0.07222222222222223,0.07042253521126761,0.020833333333333332,common_grid,sr_200,200.0,cnn_s,11
11,2.5025363846829065,0.07222222222222223,0.07042253521126761,0.02099867724867725,common_grid,sr_200,200.0,cnn_s,11
1,2.521264440134952,0.08611111111111112,0.08450704225352113,0.025793650793650796,common_grid,sr_64,64.0,cnn_s,11
2,2.5189730920289692,0.08611111111111112,0.08450704225352113,0.025793650793650796,common_grid,sr_64,64.0,cnn_s,11
3,2.5168959793291594,0.08611111111111112,0.08450704225352113,0.025966183574879228,common_grid,sr_64,64.0,cnn_s,11
4,2.514945424230475,0.08611111111111112,0.08450704225352113,0.02525832376578645,common_grid,sr_64,64.0,cnn_s,11
5,2.5129833698272703,0.08611111111111112,0.08450704225352113,0.02525832376578645,common_grid,sr_64,64.0,cnn_s,11
6,2.5110690618816176,0.08611111111111112,0.08450704225352113,0.02525832376578645,common_grid,sr_64,64.0,cnn_s,11
