epoch,train_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,view,group,sampling_rate_hz,variant,seed
1,2.5146732832256116,0.08333333333333333,0.08450704225352113,0.013513513513513514,native,sr_200,200.0,cnn_s,11
2,2.5129729446611906,0.08333333333333333,0.08450704225352113,0.013333333333333334,native,sr_200,200.0,cnn_s,11
3,2.5114063664486532,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
4,2.50982017015156,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
5,2.5084360850484746,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
6,2.5068539544155723,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
7,2.505677248302259,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
8,2.50426116240652,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
9,2.502941091437089,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
10,2.5016306726556077,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_s,11
11,2.500493328194869,0.08333333333333333,0.08450704225352113,0.013333333333333334,native,sr_200,200.0,cnn_s,11
1,2.5113344794825503,0.05555555555555555,0.056338028169014086,0.010256410256410256,native,sr_64,64.0,cnn_s,11
2,2.509822664762798,0.05555555555555555,0.056338028169014086,0.010416666666666666,native,sr_64,64.0,cnn_s,11
3,2.5084723071048134,0.06944444444444443,0.07042253521126761,0.018504719324391457,native,sr_64,64.0,cnn_s,11
4,2.507076627329776,0.05555555555555555,0.056338028169014086,0.01528735632183908,native,sr_64,64.0,cnn_s,11
5,2.5058704627187627,0.05555555555555555,0.056338028169014086,0.01528735632183908,native,sr_64,64.0,cnn_s,11
6,2.5044707348472195,0.05555555555555555,0.056338028169014086,0.01528735632183908,native,sr_64,64.0,cnn_s,11
7,2.5034619933680484,0.05555555555555555,0.056338028169014086,0.01528735632183908,native,sr_64,64.0,cnn_s,11
8,2.502216921354595,0.05555555555555555,0.056338028169014086,0.01528735632183908,native,sr_64,64.0,cnn_s,11
9,2.501063909028706,0.05555555555555555,0.056338028169014086,0.01528735632183908,native,sr_64,64.0,cnn_s,11
10,2.4999068586449873,0.05555555555555555,0.056338028169014086,0.015043290043290044,native,sr_64,64.0,cnn_s,11
11,2.4988888715442856,0.05555555555555555,0.056338028169014086,0.015006385696040868,native,sr_64,64.0,cnn_s,11
12,2.497873406661184,0.05555555555555555,0.056338028169014086,0.015006385696040868,native,sr_64,64.0,cnn_s,11
13,2.4967323704769737,0.05555555555555555,0.056338028169014086,0.015006385696040868,native,sr_64,64.0,cnn_s,11
1,2.496155382457532,0.08333333333333333,0.09859154929577464,0.015151515151515152,native,sr_200,200.0,cnn_m,11
2,2.4889079495480186,0.08333333333333333,0.09859154929577464,0.014957264957264958,native,sr_200,200.0,cnn_m,11
3,2.4837675019314416,0.09523809523809523,0.11267605633802817,0.03386939571150097,native,sr_200,200.0,cnn_m,11
4,2.479728902013678,0.09523809523809523,0.11267605633802817,0.03091728091728092,native,sr_200,200.0,cnn_m,11
5,2.476044920871132,0.13095238095238096,0.15492957746478872,0.04882154882154882,native,sr_200,200.0,cnn_m,11
6,2.472260392339606,0.12103174603174603,0.14084507042253522,0.061463844797178126,native,sr_200,200.0,cnn_m,11
7,2.4701019487882916,0.16071428571428573,0.18309859154929578,0.0926774483378257,native,sr_200,200.0,cnn_m,11
8,2.4665838567834153,0.17460317460317457,0.19718309859154928,0.08296353629170966,native,sr_200,200.0,cnn_m,11
9,2.464041955847489,0.19047619047619047,0.2112676056338028,0.09018537768537767,native,sr_200,200.0,cnn_m,11
10,2.4613662644436487,0.14285714285714285,0.15492957746478872,0.08230820105820105,native,sr_200,200.0,cnn_m,11
11,2.4580817925302605,0.13095238095238093,0.14084507042253522,0.075998075998076,native,sr_200,200.0,cnn_m,11
12,2.4551845475247034,0.09523809523809523,0.09859154929577464,0.03203203203203203,native,sr_200,200.0,cnn_m,11
13,2.452111507716932,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_m,11
14,2.4487990680493805,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_m,11
15,2.445587158203125,0.08333333333333333,0.08450704225352113,0.013157894736842105,native,sr_200,200.0,cnn_m,11
16,2.4421437363875538,0.08333333333333333,0.08450704225352113,0.0136986301369863,native,sr_200,200.0,cnn_m,11
17,2.438786150279798,0.09523809523809523,0.09859154929577464,0.0328042328042328,native,sr_200,200.0,cnn_m,11
18,2.435213033776534,0.1119047619047619,0.11267605633802817,0.045574795574795574,native,sr_200,200.0,cnn_m,11
19,2.431155927557694,0.1119047619047619,0.11267605633802817,0.0429563492063492,native,sr_200,200.0,cnn_m,11
1,2.495600361573069,0.10416666666666667,0.11267605633802817,0.04312865497076023,native,sr_64,64.0,cnn_m,11
2,2.488010976189061,0.08333333333333333,0.09859154929577464,0.014957264957264958,native,sr_64,64.0,cnn_m,11
3,2.4825164920405336,0.09523809523809523,0.11267605633802817,0.03222222222222223,native,sr_64,64.0,cnn_m,11
4,2.4783048654857436,0.09523809523809523,0.11267605633802817,0.03222222222222223,native,sr_64,64.0,cnn_m,11
5,2.4743502140045166,0.12103174603174603,0.14084507042253522,0.0655099286678234,native,sr_64,64.0,cnn_m,11
6,2.4703378677368164,0.1488095238095238,0.16901408450704225,0.07981492192018508,native,sr_64,64.0,cnn_m,11
7,2.4680196209957725,0.16468253968253968,0.18309859154929578,0.07112184648416532,native,sr_64,64.0,cnn_m,11
