group,sampling_rate_hz,seed,n_bins,feature_dim,accuracy,balanced_accuracy,macro_f1
sr_200,200.0,11,10,300,0.6153846153846154,0.6440476190476191,0.6311848239479818
sr_200,200.0,23,10,300,0.6153846153846154,0.6440476190476191,0.6311848239479818
sr_200,200.0,37,10,300,0.6153846153846154,0.6440476190476191,0.6311848239479818
sr_200,200.0,53,10,300,0.6153846153846154,0.6440476190476191,0.6311848239479818
sr_200,200.0,71,10,300,0.6153846153846154,0.6440476190476191,0.6311848239479818
sr_64,64.0,11,10,300,0.5846153846153846,0.6142857142857142,0.601518198577022
sr_64,64.0,23,10,300,0.5846153846153846,0.6142857142857142,0.601518198577022
sr_64,64.0,37,10,300,0.5846153846153846,0.6142857142857142,0.601518198577022
sr_64,64.0,53,10,300,0.5846153846153846,0.6142857142857142,0.601518198577022
sr_64,64.0,71,10,300,0.5846153846153846,0.6142857142857142,0.601518198577022
