evidence,sampling_rate_hz,reference_rate_hz,mean_metric,sd_metric,mean_paired_delta,sd_paired_delta,within_3pt_like_margin
native: CNN-L test BA,64.0,200.0,0.6038095238095238,0.022929504066039844,0.11619047619047615,0.08470591084941725,True
native: CNN-L linear-probe BA,64.0,200.0,0.5956349206349206,0.014776085525326093,0.06857142857142852,0.0455030876993402,True
native: CNN-L kNN BA,64.0,200.0,0.59984126984127,0.01822936575315107,0.06714285714285716,0.05528519817103196,True
native: CNN-L macro-F1,64.0,200.0,0.5911400401284304,0.01136260981128322,0.1291687769574767,0.08393927453463015,
native: CNN-L test BA,200.0,200.0,0.4876190476190477,0.07261059019187273,0.0,0.0,True
native: CNN-L linear-probe BA,200.0,200.0,0.5270634920634921,0.042364154568935296,0.0,0.0,True
native: CNN-L kNN BA,200.0,200.0,0.5326984126984126,0.05585280456050414,0.0,0.0,True
native: CNN-L macro-F1,200.0,200.0,0.4619712631709535,0.08535247687932981,0.0,0.0,
common_grid: CNN-L test BA,64.0,200.0,0.49738095238095237,0.05412020508682002,-0.0837301587301587,0.05508373913376266,False
common_grid: CNN-L linear-probe BA,64.0,200.0,0.45619047619047615,0.08509504045952833,-0.08365079365079373,0.07046830268314672,False
common_grid: CNN-L kNN BA,64.0,200.0,0.5065079365079365,0.03383340873286731,-0.07492063492063486,0.036410108749472286,False
common_grid: CNN-L macro-F1,64.0,200.0,0.4742931329450376,0.052002390614135446,-0.059622985479594694,0.0609459014961712,
common_grid: CNN-L test BA,200.0,200.0,0.5811111111111111,0.018986757926734273,0.0,0.0,True
common_grid: CNN-L linear-probe BA,200.0,200.0,0.5398412698412699,0.0778473935290341,0.0,0.0,True
common_grid: CNN-L kNN BA,200.0,200.0,0.5814285714285715,0.033252216114767634,0.0,0.0,True
common_grid: CNN-L macro-F1,200.0,200.0,0.5339161184246323,0.0380142548515149,0.0,0.0,
event_10bin: linear-probe BA,64.0,200.0,0.6142857142857142,0.0,-0.029761904761904878,0.0,True
event_10bin: linear-probe BA,200.0,200.0,0.6440476190476191,0.0,0.0,0.0,True
