variant,stage,l1_mem_shift,l1_beta,l1_tau_mem_ms,coding,objective,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,input__events__whole_count,input,events,whole_count,30,0.1,0.4598096348096348,733928576,"[{""C"": 0.001, ""val_ba"": 0.3034188034188034}, {""C"": 0.01, ""val_ba"": 0.38593940781440783}, {""C"": 0.1, ""val_ba"": 0.4598096348096348}, {""C"": 1.0, ""val_ba"": 0.4502608502608502}, {""C"": 10.0, ""val_ba"": 0.3973228160728161}]",0.6588235294117647,0.6484503504004652,0.6501724821191205,0.48520710059171596,0.4598096348096348,0.4492913742726336,0.41379310344827586,0.4066306446821153,0.4024094173835049,0.3894736842105263,0.3770833333333334,0.36400133682742375,0.4430379746835443,0.4459325396825396,0.4354377104377105
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5976662226662227,2227490530,"[{""C"": 0.001, ""val_ba"": 0.4389003357753358}, {""C"": 0.01, ""val_ba"": 0.5629079254079254}, {""C"": 0.1, ""val_ba"": 0.5976662226662227}, {""C"": 1.0, ""val_ba"": 0.5884646603396603}, {""C"": 10.0, ""val_ba"": 0.5657960095460095}]",1.0,1.0,1.0,0.6035502958579881,0.5976662226662227,0.5919785147108986,0.6666666666666666,0.6578262831939302,0.6593279579800227,0.6,0.586574074074074,0.5890929790310594,0.7468354430379747,0.7513888888888888,0.7457403163285518
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,10.0,0.5522810522810523,128395802,"[{""C"": 0.001, ""val_ba"": 0.30515109890109887}, {""C"": 0.01, ""val_ba"": 0.42089819902319897}, {""C"": 0.1, ""val_ba"": 0.46195609945609944}, {""C"": 1.0, ""val_ba"": 0.5002473221223221}, {""C"": 10.0, ""val_ba"": 0.5522810522810523}]",0.8901960784313725,0.8920694406075098,0.892868282921455,0.5621301775147929,0.5522810522810523,0.5604138120939196,0.4827586206896552,0.4770114893276658,0.47491395638254724,0.4631578947368421,0.46041666666666664,0.4596949891067537,0.5063291139240507,0.5019841269841271,0.4907322209953789
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,1.0,0.6993926212676213,3039617022,"[{""C"": 0.001, ""val_ba"": 0.6206533050283051}, {""C"": 0.01, ""val_ba"": 0.68439165001665}, {""C"": 0.1, ""val_ba"": 0.6980800449550449}, {""C"": 1.0, ""val_ba"": 0.6993926212676213}, {""C"": 10.0, ""val_ba"": 0.6366962898212899}]",1.0,1.0,1.0,0.7100591715976331,0.6993926212676213,0.6997358275869562,0.6839080459770115,0.6872503313679784,0.683558094204646,0.6526315789473685,0.6537037037037037,0.6508870214752568,0.7215189873417721,0.735813492063492,0.7337121212121213
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,10.0,0.47747564935064934,1512930536,"[{""C"": 0.001, ""val_ba"": 0.3584592490842491}, {""C"": 0.01, ""val_ba"": 0.43242694805194803}, {""C"": 0.1, ""val_ba"": 0.4656569125319125}, {""C"": 1.0, ""val_ba"": 0.47037094849594846}, {""C"": 10.0, ""val_ba"": 0.47747564935064934}]",1.0,1.0,1.0,0.48520710059171596,0.47747564935064934,0.475207829630639,0.4540229885057471,0.4388113316422139,0.4271117819348002,0.4842105263157895,0.4587962962962962,0.44668767328950393,0.4177215189873418,0.4156746031746032,0.38730383107318095
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,0.01,0.6604808386058386,726057870,"[{""C"": 0.001, ""val_ba"": 0.5681734931734932}, {""C"": 0.01, ""val_ba"": 0.6604808386058386}, {""C"": 0.1, ""val_ba"": 0.6445696664446664}, {""C"": 1.0, ""val_ba"": 0.6494307775557775}, {""C"": 10.0, ""val_ba"": 0.6594103812853812}]",0.9980392156862745,0.99822695035461,0.9981881917365788,0.6686390532544378,0.6604808386058386,0.6621238533398558,0.7068965517241379,0.7068506044608985,0.6987654893586505,0.6736842105263158,0.6733796296296296,0.6644730699297262,0.7468354430379747,0.7549603174603176,0.7422355851922416
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__spike__whole_mean,l1,spike,whole_mean,128,0.1,0.5005699161949162,132802751,"[{""C"": 0.001, ""val_ba"": 0.363373778998779}, {""C"": 0.01, ""val_ba"": 0.47301552614052617}, {""C"": 0.1, ""val_ba"": 0.5005699161949162}, {""C"": 1.0, ""val_ba"": 0.45656045343545343}, {""C"": 10.0, ""val_ba"": 0.4467615717615718}]",0.7823529411764706,0.7812396934794874,0.7845922505254869,0.514792899408284,0.5005699161949162,0.4908548106080675,0.5,0.48718805704099816,0.4886460271357676,0.49473684210526314,0.48356481481481484,0.5041215375038904,0.5063291139240507,0.4985119047619048,0.4769872556637263
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,1.0,0.6917804417804417,3695663858,"[{""C"": 0.001, ""val_ba"": 0.5890963203463203}, {""C"": 0.01, ""val_ba"": 0.6687302281052282}, {""C"": 0.1, ""val_ba"": 0.6697451853701853}, {""C"": 1.0, ""val_ba"": 0.6917804417804417}, {""C"": 10.0, ""val_ba"": 0.6750277500277501}]",1.0,1.0,1.0,0.6982248520710059,0.6917804417804417,0.688605493728912,0.6724137931034483,0.6743258375611316,0.6664082930211963,0.631578947368421,0.6236111111111112,0.612595829859257,0.7215189873417721,0.735813492063492,0.7233197358197359
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.462819819069819,812873048,"[{""C"": 0.001, ""val_ba"": 0.3527434371184371}, {""C"": 0.01, ""val_ba"": 0.4518578643578643}, {""C"": 0.1, ""val_ba"": 0.462819819069819}, {""C"": 1.0, ""val_ba"": 0.4307647213897214}, {""C"": 10.0, ""val_ba"": 0.45955745643245643}]",0.9117647058823529,0.9114223636904385,0.9119709016324641,0.46745562130177515,0.462819819069819,0.4553618353368621,0.4885057471264368,0.48219311325928965,0.4777015740343415,0.5263157894736842,0.5090277777777777,0.5091921533619609,0.4430379746835443,0.4608134920634921,0.4360479797979797
postencode_mask,frozen_replay,4,0.9375,242.10347130039656,bb,l2_wcce,0,37,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,1.0,0.6297993672993673,3751458926,"[{""C"": 0.001, ""val_ba"": 0.560173853923854}, {""C"": 0.01, ""val_ba"": 0.6045055638805638}, {""C"": 0.1, ""val_ba"": 0.6289446664446664}, {""C"": 1.0, ""val_ba"": 0.6297993672993673}, {""C"": 10.0, ""val_ba"": 0.6205846237096236}]",1.0,1.0,1.0,0.6331360946745562,0.6297993672993673,0.625822146863706,0.6839080459770115,0.6864474781754194,0.6815088783695131,0.6736842105263158,0.6722222222222222,0.6679394092319789,0.6962025316455697,0.7103174603174603,0.6981860731860731
