condition,seed,delta_val_balanced_accuracy_vs_what,candidate
additive_spike,11,0.005423280423280441,False
additive_spike,23,0.014520202020201989,False
additive_spike,37,0.019017556517556433,False
additive_spike,53,0.036940836940836774,False
additive_spike,71,0.02876984126984128,False
additive_mem,11,0.0,False
additive_mem,23,0.030297017797017656,False
additive_mem,37,0.0012626262626262985,False
additive_mem,53,0.05050505050505055,False
additive_mem,71,0.009595959595959713,False
bilinear_spike,11,0.028571428571428692,True
bilinear_spike,23,0.027020202020201944,True
bilinear_spike,37,0.0403138528138528,True
bilinear_spike,53,0.01766474266474255,True
bilinear_spike,71,0.0,True
bilinear_mem,11,0.019606782106782128,True
bilinear_mem,23,0.005982443482443367,True
bilinear_mem,37,0.0,True
bilinear_mem,53,0.02146464646464641,True
bilinear_mem,71,0.0,True
bank_spike,11,0.013161375661375652,True
bank_spike,23,0.0,True
bank_spike,37,0.05714886964886967,True
bank_spike,53,0.020905483405483483,True
bank_spike,71,0.009920634920634885,True
bank_mem,11,0.0,True
bank_mem,23,0.0,True
bank_mem,37,0.009132996632996548,True
bank_mem,53,0.018849206349206338,True
bank_mem,71,0.0,True
bank_mean_when,11,0.007239057239057267,False
bank_mean_when,23,0.0,False
bank_mean_when,37,0.006186868686868741,False
bank_mean_when,53,0.0452741702741703,False
bank_mean_when,71,0.04570105820105819,False
bank_elapsed,11,0.04788961038961048,False
bank_elapsed,23,0.08294252044252026,False
bank_elapsed,37,0.060485810485810476,False
bank_elapsed,53,0.0006313131313132048,False
bank_elapsed,71,0.037073112073112036,False
bank_relphase_oracle,11,0.010317460317460392,False
bank_relphase_oracle,23,0.02179533429533409,False
bank_relphase_oracle,37,0.0015211640211639232,False
bank_relphase_oracle,53,0.047264309764309786,False
bank_relphase_oracle,71,0.06237974987974981,False
