epoch,train_objective_loss,val_native_ba,val_native_loss
1,2.481814161635512,0.041666666666666664,2.4810361862182617
2,2.4666977585285337,0.06944444444444445,2.4714138507843018
3,2.4522223349487513,0.06944444444444445,2.459278106689453
4,2.4364701786468035,0.08333333333333333,2.443843364715576
5,2.425422560122255,0.08333333333333333,2.4248011112213135
6,2.4155942388327727,0.08333333333333333,2.414400339126587
7,2.4069060122084496,0.08333333333333333,2.4123823642730713
8,2.396975335073553,0.08333333333333333,2.409376382827759
9,2.388112973428224,0.08333333333333333,2.4040138721466064
10,2.377514164952526,0.07638888888888888,2.3950304985046387
11,2.3655383714094835,0.08333333333333333,2.3836426734924316
12,2.3526662405509753,0.09722222222222221,2.3681681156158447
13,2.3383690227534806,0.13888888888888887,2.3523871898651123
14,2.320553992578372,0.16607142857142856,2.336280107498169
15,2.2992112464215384,0.18273809523809523,2.3079233169555664
16,2.280906722795943,0.21051587301587302,2.2776429653167725
17,2.2596966452935066,0.23769841269841271,2.2456514835357666
18,2.24820588829185,0.2613095238095238,2.222651720046997
19,2.2187554528503943,0.24186507936507937,2.2089345455169678
20,2.2066567522728504,0.2640873015873016,2.173283576965332
21,2.19022278120924,0.2924603174603175,2.1536972522735596
22,2.1790705584823162,0.27103174603174607,2.1441192626953125
23,2.157898009541523,0.28630952380952385,2.1249430179595947
24,2.1392038365034147,0.298015873015873,2.0950748920440674
25,2.121692126876516,0.3102513227513228,2.0947372913360596
26,2.1128270195191163,0.3241402116402117,2.0827081203460693
27,2.08909857211548,0.3058862433862434,2.053473711013794
28,2.0820326472723956,0.3191798941798942,2.0508923530578613
29,2.0709158791527282,0.3241402116402117,2.042734384536743
30,2.0569216060146,0.30033068783068784,2.019453763961792
31,2.0363670577280697,0.3171957671957672,2.031440258026123
32,2.0299864832997936,0.31223544973544975,2.0006659030914307
33,2.015907381569867,0.29338624338624336,1.9957576990127563
34,2.0052351613052948,0.34699374699374697,1.990378975868225
35,1.9840662725616034,0.30033068783068784,1.97463858127594
36,1.9709685733109046,0.327982202982203,1.96280038356781
37,1.9623419296720968,0.32937109187109187,1.9591223001480103
38,1.951153500355049,0.36131553631553626,1.945690393447876
39,1.9401000522705445,0.3879028379028378,1.9331879615783691
40,1.9322752158531018,0.33433140933140937,1.9504704475402832
41,1.9085019490394657,0.33631553631553635,1.9212185144424438
42,1.8968870672629745,0.3607563732563732,1.9111533164978027
43,1.888211867074753,0.3517917267917267,1.9205434322357178
44,1.8717892420271383,0.36488696488696487,1.8860785961151123
45,1.8601851473576847,0.37603415103415094,1.9032344818115234
46,1.845138860241271,0.35794252044252045,1.8858104944229126
47,1.8421479170170585,0.35718494468494466,1.8776209354400635
48,1.828094198453447,0.35318061568061565,1.8885928392410278
49,1.8207767957664398,0.3522246272246272,1.8618947267532349
50,1.8099739225308784,0.34885161135161136,1.874852180480957
51,1.7944458554821048,0.36488696488696487,1.8520188331604004
52,1.7810123479715108,0.3849627224627224,1.8346312046051025
53,1.7767545378762144,0.3696849446849446,1.822227954864502
54,1.764061508408512,0.36862674362674364,1.8445627689361572
55,1.7542217805750808,0.37464526214526206,1.8199617862701416
56,1.74754105603223,0.3954785954785955,1.7985332012176514
57,1.738054519471121,0.3839045214045214,1.8101372718811035
58,1.7298141584544091,0.3892917267917268,1.7926124334335327
59,1.7136040765939604,0.36968494468494467,1.794060468673706
60,1.7062739369791264,0.3888648388648388,1.809609055519104
61,1.6927704324820776,0.38992303992303984,1.7735555171966553
62,1.6875716757651245,0.3746452621452621,1.7932326793670654
63,1.6745414034224624,0.37077320827320825,1.7838071584701538
64,1.664200093988297,0.39977753727753723,1.7733875513076782
65,1.6511505163064717,0.40751563251563244,1.769939661026001
66,1.6445313880858035,0.3928330928330928,1.768144965171814
67,1.6403378397995756,0.3706108706108706,1.7601170539855957
68,1.6336558218051562,0.41214526214526215,1.746025800704956
69,1.6252002699650092,0.36534992784992787,1.746605634689331
70,1.6156736522040966,0.36029341029341033,1.7554787397384644
71,1.6034412236303963,0.3858886483886484,1.7303550243377686
72,1.5925055438598135,0.3547017797017797,1.7358028888702393
73,1.587768358946257,0.3666065416065416,1.7396329641342163
74,1.5795392382780984,0.3719997594997595,1.7124918699264526
75,1.5705983234559813,0.3650553150553151,1.7176471948623657
76,1.558757029589195,0.36442400192400193,1.701392650604248
77,1.5498008664421699,0.36243987493987495,1.7030519247055054
78,1.5517830653773323,0.3700156325156325,1.708094596862793
79,1.5308212072631784,0.3868446368446368,1.6827363967895508
80,1.5352138229573655,0.378944203944204,1.686265468597412
81,1.5239687242934707,0.3806277056277056,1.7001664638519287
82,1.5161430962935167,0.37464526214526206,1.680501937866211
83,1.5099276915679904,0.3783128908128908,1.6734254360198975
84,1.4972798210823597,0.4027537277537278,1.6979806423187256
85,1.491409458309771,0.3719997594997595,1.6807101964950562
86,1.4928232698145094,0.38128908128908123,1.6767774820327759
87,1.4828073042805552,0.4134018759018758,1.667345643043518
88,1.471697637628565,0.3958092833092833,1.6620444059371948
89,1.464894018361983,0.3895923520923521,1.6697211265563965
90,1.4626389940921698,0.37696007696007694,1.6695489883422852
91,1.4530672099627233,0.40443722943722943,1.6529631614685059
92,1.4452875778720218,0.37338864838864844,1.6639574766159058
93,1.4406973246658115,0.3951479076479076,1.637651801109314
94,1.4360181413295963,0.41307118807118814,1.6395174264907837
95,1.4272871161081704,0.4047378547378548,1.6433513164520264
96,1.4172330432012037,0.4001082251082251,1.647308349609375
97,1.4133450987006628,0.39084896584896583,1.6389433145523071
98,1.4069924654115293,0.3855880230880231,1.637399435043335
99,1.3983962468148918,0.3786435786435786,1.6365209817886353
100,1.392100189105574,0.3716991341991342,1.6395833492279053
