representation_family,condition,requested_duration_ms,samples_per_bin,actual_duration_ms,n_bins,classifier,n_splits,mean_delta_balanced_accuracy_combined60_minus_accel30,sd_delta_balanced_accuracy_combined60_minus_accel30,mean_delta_balanced_accuracy_combined60_minus_angular30,sd_delta_balanced_accuracy_combined60_minus_angular30,mean_delta_balanced_accuracy_angular30_minus_accel30,sd_delta_balanced_accuracy_angular30_minus_accel30,mean_delta_accuracy_combined60_minus_accel30,sd_delta_accuracy_combined60_minus_accel30,mean_delta_accuracy_combined60_minus_angular30,sd_delta_accuracy_combined60_minus_angular30,mean_delta_accuracy_angular30_minus_accel30,sd_delta_accuracy_angular30_minus_accel30,mean_delta_macro_f1_combined60_minus_accel30,sd_delta_macro_f1_combined60_minus_accel30,mean_delta_macro_f1_combined60_minus_angular30,sd_delta_macro_f1_combined60_minus_angular30,mean_delta_macro_f1_angular30_minus_accel30,sd_delta_macro_f1_angular30_minus_accel30
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5nn,5,-0.022804232804232796,0.023887665257645522,-0.0041600529100529055,0.017866730230536403,-0.01864417989417989,0.01734676593030558,-0.016994416035704677,0.017939165958027515,-0.0034542871275673017,0.02022323390489025,-0.013540128908137375,0.01292696337995025,-0.03652917302465314,0.028606661495604545,-0.009835002454188746,0.02778960445206678,-0.026694170570464394,0.03289798605561982
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,5nn,5,-0.008763227513227534,0.03418279813300278,-0.019318783068783076,0.047084091182545,0.01055555555555554,0.03740371300457553,-0.00851951205179564,0.038865636039538146,-0.019144908471453604,0.04556758726372699,0.010625396419657962,0.04340447969794504,-0.012548907244059482,0.01904743474263063,-0.02661439665361407,0.04048159599121812,0.014065489409554589,0.032427924215437824
fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,5nn,5,0.05905423280423276,0.031111525171136942,0.029708994708994695,0.017682456861964402,0.02934523809523807,0.018050612731191316,0.05744069489222524,0.02614913227326626,0.02897566659504879,0.01980027280167181,0.028465028297176453,0.01939127509663858,0.0674033805757516,0.041978117916648794,0.028899271847488483,0.0306861307931138,0.03850410872826312,0.027788779160286863
fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,5nn,5,0.059212962962962946,0.0710349042766399,-0.02017857142857139,0.03081631261145437,0.07939153439153433,0.07549261108460394,0.05779403847482515,0.056368859874910464,-0.0137776967429181,0.034328428726871904,0.07157173521774325,0.06051984623187201,0.05366606949330717,0.0727500058666822,-0.01648986191438186,0.041319729582864895,0.07015593140768903,0.08594662404453927
fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,5nn,5,0.06636904761904763,0.037669299477344334,-0.016349206349206356,0.05184745233603104,0.082718253968254,0.043667291104444214,0.060930223260762154,0.04176965307640343,-0.018571110717896522,0.057272119892824075,0.07950133397865868,0.05206473919383996,0.06717315761277487,0.04278903686818161,-0.01353169471571456,0.05495086935573553,0.08070485232848942,0.055944050170134624
fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,5nn,5,0.08823412698412698,0.05634701045383538,0.0068650793650793405,0.01748151433504634,0.08136904761904765,0.05656208043989002,0.08056591956779549,0.0491067839030159,0.0029037243936615997,0.016677726888540627,0.07766219517413389,0.055312429927893814,0.08975821258296465,0.06998326147041671,0.007027522014005161,0.01774337996696298,0.0827306905689595,0.06961524754538487
fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,5nn,5,0.11113756613756613,0.020263844950391584,0.019616402116402133,0.05014182512415326,0.09152116402116402,0.05738739597237619,0.1100370525759983,0.014911367017852874,0.02712326629846242,0.048472865206729145,0.08291378627753586,0.05246146481779944,0.11125420062916698,0.015185954412909567,0.024229227572106816,0.0551788041429193,0.08702497305706017,0.05519479250873101
fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,5nn,5,0.05386243386243389,0.04452681493855434,-0.03492063492063494,0.044447882825157436,0.08878306878306882,0.029028076517924013,0.04787962267436281,0.04325432799644697,-0.030700272130804018,0.044302292985861524,0.07857989480516683,0.03179507960837055,0.05360633542392684,0.05639904839611971,-0.038208826972095475,0.04759943236874024,0.09181516239602232,0.031115419367276246
fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,5nn,5,0.06414021164021169,0.05946537126230427,-0.011825396825396784,0.05161615768885656,0.07596560846560847,0.08842914865136803,0.06386187516651624,0.05732219383895601,-0.009852678718719709,0.04795880451464841,0.07371455388523596,0.08253823913472699,0.06719128002155106,0.06505106760274222,-0.009185333345953828,0.05725611169424245,0.07637661336750488,0.09515992519085159
fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,5nn,5,0.10972222222222217,0.03126690599780848,0.05031084656084652,0.03504466996588938,0.059411375661375644,0.03150766683377191,0.109079090558624,0.034157752126741305,0.05387201526691763,0.03685738492345274,0.055207075291706376,0.023711521253526675,0.09732853112772966,0.06309099673828279,0.0485742001384548,0.04192754737159601,0.048754330989274855,0.04553636593742673
