channel_set,channel_start,channel_stop,channel_count,representation_family,condition,requested_duration_ms,samples_per_bin,actual_duration_ms,n_bins,feature_dim,classifier,n_splits,mean_test_balanced_accuracy,sd_test_balanced_accuracy,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1
accel30,0,30,30,fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,2580,5nn,5,0.1230026455026455,0.03303624887683085,0.12228251687930283,0.026228169944961327,0.07079069515237076,0.03047749608337411
accel30,0,30,30,fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,780,5nn,5,0.2823280423280423,0.05033078886201959,0.2876865525245117,0.046096024482855345,0.27202392809820386,0.053007780384824565
accel30,0,30,30,fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,480,5nn,5,0.3519510582010582,0.08623162814542464,0.35797969449660305,0.08419344953434732,0.34233589087540206,0.08153031483291326
accel30,0,30,30,fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,360,5nn,5,0.37494708994709,0.104082897050749,0.37957102506034757,0.10008270250922117,0.3736735442854987,0.10523082740129706
accel30,0,30,30,fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,270,5nn,5,0.3841137566137566,0.08070112012708697,0.3896510992222198,0.0771443659352427,0.3729773171237478,0.0911981555086672
accel30,0,30,30,fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,240,5nn,5,0.38070767195767197,0.07974673856839093,0.37990651487044536,0.08113143304135391,0.37027817533767193,0.08782704710681696
accel30,0,30,30,fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,210,5nn,5,0.3595568783068783,0.11516175572651444,0.36564271348701116,0.1104690882434535,0.3463626523408291,0.11139598465531766
accel30,0,30,30,fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,180,5nn,5,0.3693121693121693,0.0889064211193564,0.3802951685195669,0.09013410340603724,0.3491138543304099,0.09555631736132864
accel30,0,30,30,fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,150,5nn,5,0.3579761904761905,0.043700727762211206,0.36428435467129805,0.045234205392079015,0.34199670359005396,0.04859243722335485
accel30,0,30,30,fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,150,5nn,5,0.3667592592592593,0.07268892150056241,0.37403617575219333,0.07582913977601632,0.35604464392379354,0.08309022576394842
accel30,0,30,30,fixed_duration,fixed_1050ms,1050.0,67.0,1046.875,4,120,5nn,5,0.3748346560846561,0.04767910192981788,0.38141810831784717,0.04699182654957989,0.364237701381279,0.05054985932809223
angular30,30,60,30,fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,2580,5nn,5,0.1043584656084656,0.023091109810309526,0.10874238797116546,0.02977484734068533,0.04409652458190637,0.023476578836597012
angular30,30,60,30,fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,780,5nn,5,0.29288359788359786,0.06911513077416723,0.29831194894416974,0.0750472348886364,0.28608941750775846,0.07998489995702508
angular30,30,60,30,fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,480,5nn,5,0.3812962962962963,0.0894358874508312,0.38644472279377956,0.08906033523087824,0.3808399996036652,0.08578406429987954
angular30,30,60,30,fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,360,5nn,5,0.45433862433862426,0.10447910594713207,0.4511427602780908,0.10179965242741046,0.4438294756931878,0.10123959529368375
angular30,30,60,30,fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,270,5nn,5,0.4668320105820106,0.08711232327824817,0.4691524332008784,0.09032775389906827,0.45368216945223716,0.0801929016188745
angular30,30,60,30,fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,240,5nn,5,0.4620767195767196,0.08020847955571025,0.4575687100445792,0.09148100836960815,0.4530088659066315,0.08240106020582767
angular30,30,60,30,fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,210,5nn,5,0.4510780423280424,0.07235032056200265,0.44855649976454703,0.07086750714581057,0.4333876253978892,0.07808585184398696
angular30,30,60,30,fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,180,5nn,5,0.45809523809523817,0.06338814936716262,0.4588750633247337,0.06369995339866913,0.4409290167264322,0.06527391076302808
angular30,30,60,30,fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,150,5nn,5,0.43394179894179896,0.0625442798617878,0.437998908556534,0.05855531376159649,0.41837331695755886,0.065550929253201
angular30,30,60,30,fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,150,5nn,5,0.42617063492063495,0.06654363026493204,0.42924325104389977,0.07317865685730125,0.4047989749130684,0.05866499707696675
angular30,30,60,30,fixed_duration,fixed_1050ms,1050.0,67.0,1046.875,4,120,5nn,5,0.39175925925925925,0.05969706011036608,0.3928531788271449,0.06499600709250841,0.36785849866520215,0.0625391242375686
combined60,0,60,60,fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5160,5nn,5,0.1001984126984127,0.013379582224962905,0.10528810084359816,0.016685532004690057,0.03426152212771762,0.014769741955258089
combined60,0,60,60,fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,1560,5nn,5,0.27356481481481476,0.060547928596182576,0.2791670404727161,0.061681657927030765,0.25947502085414437,0.0558624218430346
combined60,0,60,60,fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,960,5nn,5,0.411005291005291,0.08127064820550017,0.4154203893888283,0.07873862671151019,0.40973927145115363,0.06296392688492478
combined60,0,60,60,fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,720,5nn,5,0.43416005291005294,0.10383648434480801,0.43736506353517274,0.10163839908712294,0.4273396137788059,0.1101909543867827
combined60,0,60,60,fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,540,5nn,5,0.45048280423280423,0.09464757874352912,0.45058132248298194,0.09224831250770268,0.4401504747365227,0.10671068747815723
combined60,0,60,60,fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,480,5nn,5,0.468941798941799,0.09036775270981784,0.4604724344382408,0.09252223477886487,0.4600363879206366,0.09256571585746881
combined60,0,60,60,fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,420,5nn,5,0.47069444444444447,0.11641262466096226,0.47567976606300943,0.11268560103718847,0.45761685296999605,0.12000180858957514
combined60,0,60,60,fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,360,5nn,5,0.4231746031746032,0.06855634645690194,0.42817479119392976,0.06710546931664835,0.40272018975433677,0.08358029640110529
combined60,0,60,60,fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,300,5nn,5,0.42211640211640217,0.06200889927482356,0.4281462298378143,0.06120748038249109,0.40918798361160497,0.06669638120583368
combined60,0,60,60,fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,300,5nn,5,0.4764814814814814,0.05004091134938458,0.4831152663108173,0.05096277408388459,0.4533731750515232,0.06223792326195169
combined60,0,60,60,fixed_duration,fixed_1050ms,1050.0,67.0,1046.875,4,240,5nn,5,0.4519047619047619,0.05411983228771674,0.4581999106172602,0.06175633220785705,0.4326819074310719,0.060541686301055254
accel30,0,30,30,fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,2580,linear,5,0.3356746031746032,0.03787744663673648,0.3417337476656524,0.03473611046074089,0.3309647753646988,0.03139433595065639
accel30,0,30,30,fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,780,linear,5,0.45437830687830694,0.09652314021986956,0.45690839127151606,0.09029706187994754,0.4551573581902361,0.09410322614059713
accel30,0,30,30,fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,480,linear,5,0.5239748677248677,0.10768540372083484,0.5254484993853513,0.101598176446688,0.5184735726169072,0.10455001210591341
accel30,0,30,30,fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,360,linear,5,0.49898809523809523,0.11790008919193438,0.5024981915119031,0.10868659090945991,0.49349197183450333,0.11589260044051712
accel30,0,30,30,fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,270,linear,5,0.5202711640211641,0.09276227778936345,0.5213951688799183,0.08926815591191253,0.5138924612249494,0.09434466973612997
accel30,0,30,30,fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,240,linear,5,0.5083531746031746,0.08763534361204613,0.5036667375045705,0.08042360202064534,0.5040779843539299,0.08016387754808217
accel30,0,30,30,fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,210,linear,5,0.45525793650793644,0.0950441439591962,0.46125686290357193,0.08725251502396393,0.44666778672575863,0.08771763301758705
accel30,0,30,30,fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,180,linear,5,0.4717791005291005,0.04210612321100065,0.47921976103275393,0.03420374621835526,0.461785590320666,0.04296949372201173
accel30,0,30,30,fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,150,linear,5,0.4649735449735449,0.0681171877523342,0.47445620705159586,0.056373335377910186,0.4600311956586644,0.06989230391464972
accel30,0,30,30,fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,150,linear,5,0.4732275132275133,0.09771560898935157,0.4776714742687515,0.09240186104103294,0.47536814549972445,0.09382728159181052
accel30,0,30,30,fixed_duration,fixed_1050ms,1050.0,67.0,1046.875,4,120,linear,5,0.47131613756613755,0.05932845938754402,0.4750564428025109,0.05676050910696035,0.4646275279077473,0.0531513197971061
angular30,30,60,30,fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,2580,linear,5,0.3451587301587301,0.0858937963400504,0.34656996826365194,0.08946602652772383,0.34056537001089693,0.09225864436683973
angular30,30,60,30,fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,780,linear,5,0.526223544973545,0.07877327371252595,0.528569174710653,0.07662739501869457,0.5164736847114804,0.07664629236445461
