representation_family,condition,requested_duration_ms,samples_per_bin,actual_duration_ms,n_bins,classifier,split_seed,delta_balanced_accuracy_combined60_minus_accel30,delta_balanced_accuracy_combined60_minus_angular30,delta_balanced_accuracy_angular30_minus_accel30,delta_accuracy_combined60_minus_accel30,delta_accuracy_combined60_minus_angular30,delta_accuracy_angular30_minus_accel30,delta_macro_f1_combined60_minus_accel30,delta_macro_f1_combined60_minus_angular30,delta_macro_f1_angular30_minus_accel30
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5nn,11,-0.03449074074074074,-0.025925925925925908,-0.00856481481481483,-0.03669724770642202,-0.027522935779816515,-0.009174311926605505,-0.07343000917399427,-0.03551773662105234,-0.037912272552941925
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,linear,11,0.12708333333333333,0.0013888888888888284,0.1256944444444445,0.12844036697247707,0.0,0.12844036697247707,0.12996629550551125,0.010890476482581679,0.11907581902292957
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5nn,23,0.009259259259259273,0.005456349206349215,0.003802910052910058,0.010638297872340427,0.010638297872340427,0.0,0.004761904761904766,-0.021471323246846388,0.026233228008751153
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,linear,23,-0.028141534391534384,0.033564814814814825,-0.06170634920634921,-0.05319148936170215,0.03191489361702127,-0.08510638297872342,-0.04267011101776774,0.0393586927309037,-0.08202880374867144
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5nn,37,-0.052579365079365045,-0.011904761904761904,-0.04067460317460314,-0.026666666666666672,-0.013333333333333336,-0.013333333333333336,-0.044469520195473004,-0.014962370831637338,-0.029507149363835666
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,linear,37,0.09623015873015883,0.08353174603174612,0.012698412698412709,0.09333333333333332,0.08000000000000002,0.013333333333333308,0.0864634412428531,0.05677554801006818,0.029687893232784923
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5nn,53,-0.00843253968253968,0.020833333333333343,-0.029265873015873023,-0.011627906976744193,0.023255813953488372,-0.034883720930232565,-0.02646591247337516,0.03753110818328209,-0.06399702065665724
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,linear,53,0.013888888888888895,0.11061507936507942,-0.09672619047619052,0.011627906976744207,0.1162790697674419,-0.1046511627906977,0.011155252699370344,0.09910863918216856,-0.08795338648279821
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5nn,71,-0.02777777777777779,-0.009259259259259273,-0.018518518518518517,-0.020618556701030924,-0.010309278350515455,-0.010309278350515469,-0.043042328042328035,-0.014754689754689758,-0.028287638287638275
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,linear,71,0.07787698412698413,0.010416666666666685,0.06746031746031744,0.08247422680412375,0.010309278350515483,0.07216494845360827,0.07401673761967875,0.004795286412933475,0.06922145120674528
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,5nn,11,-0.021527777777777868,-0.058101851851851904,0.03657407407407404,-0.009174311926605505,-0.06422018348623854,0.05504587155963303,-0.011497588817141802,-0.07337272460731531,0.06187513579017351
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,linear,11,0.07314814814814796,0.04097222222222219,0.032175925925925775,0.07339449541284404,0.03669724770642202,0.03669724770642202,0.0827063272648142,0.049361368273570405,0.03334495899124379
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,5nn,23,-0.043650793650793634,-0.023644179894179856,-0.020006613756613778,-0.05319148936170215,-0.021276595744680854,-0.031914893617021295,-0.03491137069660308,-0.0281292479662045,-0.0067821227303985765
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,linear,23,0.14047619047619037,0.004761904761904634,0.13571428571428573,0.12765957446808507,0.0,0.12765957446808507,0.12526849038997384,0.018166047822910536,0.1071024425670633
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,5nn,37,0.047817460317460314,0.04484126984126979,0.002976190476190521,0.05333333333333329,0.03999999999999998,0.013333333333333308,0.012671216812083691,0.013903978145464263,-0.001232761333380572
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,linear,37,0.04742063492063492,-0.00436507936507935,0.05178571428571427,0.03999999999999998,-0.013333333333333308,0.05333333333333329,0.026776814404691596,-0.004154247168953185,0.03093106157364478
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,5nn,53,-0.01835317460317462,0.008928571428571452,-0.027281746031746074,-0.023255813953488358,0.011627906976744179,-0.03488372093023254,-0.002127223621788854,0.01396855867444105,-0.016095782296229905
