accuracy,actual_duration_ms,balanced_accuracy,channel_count,channel_set,channel_start,channel_stop,classifier,condition,eval_split,experiment,feature_dim,macro_f1,n_bins,protocol_version,representation_family,requested_duration_ms,samples_per_bin,split_seed
0.13761467889908258,46.875,0.1363425925925926,30,accel30,0,30,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,2580,0.10199036068601287,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.13253012048192772,46.875,0.125,30,accel30,0,30,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,2580,0.07698412698412699,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.29357798165137616,46.875,0.28703703703703703,30,accel30,0,30,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,2580,0.2867118874226717,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.25301204819277107,46.875,0.2400793650793651,30,accel30,0,30,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,2580,0.20923009738799211,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.12844036697247707,46.875,0.12777777777777777,30,angular30,30,60,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,2580,0.06407808813307095,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.13253012048192772,46.875,0.11458333333333333,30,angular30,30,60,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,2580,0.05222854433380749,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.42201834862385323,46.875,0.41273148148148153,30,angular30,30,60,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,2580,0.40578770644560125,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.26506024096385544,46.875,0.25744047619047616,30,angular30,30,60,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,2580,0.23634965252612314,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.10091743119266056,46.875,0.10185185185185186,60,combined60,0,60,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.028560351512018606,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.13253012048192772,46.875,0.11805555555555557,60,combined60,0,60,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.062495983548615124,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.42201834862385323,46.875,0.41412037037037036,60,combined60,0,60,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.4166781829281829,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.21686746987951808,46.875,0.2073412698412698,60,combined60,0,60,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.19562912765245422,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,11
0.09574468085106383,46.875,0.08333333333333333,30,accel30,0,30,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,2580,0.025925925925925925,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,23
0.10344827586206896,46.875,0.09375,30,accel30,0,30,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,2580,0.03583453583453584,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,23
0.3191489361702128,46.875,0.3046957671957672,30,accel30,0,30,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,2580,0.310423191270848,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,23
0.2413793103448276,46.875,0.25297619047619047,30,accel30,0,30,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,2580,0.24548890651831826,86,linear_angular_accel_channel_ablation_v3,fixed_duration,50.0,3.0,23
