seed,model_kind,history_ms,history_steps,split,anchor_type,anchor_value,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
23,c2,250,16,train,phase,0.25,L1,spike50,0.8824217889111504,0.11847547165393546,0.889079917459661,0.11583071178300182,0.42141436553590517,0.2872596948257415,505
23,c2,250,16,train,phase,0.25,L1,syn_current,0.9809641263261542,0.030849721937231032,0.981842336698701,0.029567887072919248,0.17067946261082012,0.13184692037902834,581
23,c2,250,16,train,phase,0.25,L1,pre_reset,0.9736298698612921,0.03456748756645767,0.9746976752827149,0.03342706833658804,0.2019372154221904,0.13363751932352216,581
23,c2,250,16,train,phase,0.25,L2,spike50,0.7409229841418923,0.229899267069171,0.8146474833131744,0.18821641458031255,0.5169059660482116,0.32449902455871843,473
23,c2,250,16,train,phase,0.25,L2,syn_current,0.8273583981023085,0.20845507069064295,0.8457817456162744,0.1790597887496396,0.48072799486598816,0.3149211562135517,517
23,c2,250,16,train,phase,0.25,L2,pre_reset,0.8157005717035413,0.21784016961145647,0.8291675797790863,0.19288876812979064,0.4949184950530719,0.32099466972121515,517
23,c2,250,16,train,phase,0.25,L3,spike50,0.6195807628686368,0.277980225966228,0.7743119661749875,0.18365770601089287,0.579538725574276,0.33455074281097236,451
23,c2,250,16,train,phase,0.25,L3,syn_current,0.7488955186681729,0.2496961694782548,0.7535936064231219,0.24441389503385746,0.5696507605899188,0.3503748621639359,473
23,c2,250,16,train,phase,0.25,L3,pre_reset,0.7388752942171493,0.2567210848690417,0.7400487069686421,0.25472855063453154,0.5819971844200332,0.35362250963722575,473
23,c2,250,16,train,phase,0.5,L1,spike50,0.8213395184797001,0.11797952670449245,0.8310573713427921,0.11757093243363556,0.609070277443733,0.22284847887367634,510
23,c2,250,16,train,phase,0.5,L1,syn_current,0.968346818103855,0.02302635638060406,0.9701210798968777,0.021992182822383223,0.2993783498140208,0.0936656094782226,581
23,c2,250,16,train,phase,0.5,L1,pre_reset,0.9568099875061805,0.026714809877463812,0.9585709106320094,0.025716728406096404,0.32502530920894007,0.08916752752094584,581
23,c2,250,16,train,phase,0.5,L2,spike50,0.5120407982505635,0.2164227081389478,0.6601751101000636,0.19719792169291714,0.7510139344554464,0.21412683432111929,481
23,c2,250,16,train,phase,0.5,L2,syn_current,0.6691937234189465,0.22968032239982616,0.7133151865474239,0.18320530409769517,0.7351943381143058,0.19517940957681465,527
23,c2,250,16,train,phase,0.5,L2,pre_reset,0.6401242729714036,0.23566082969400726,0.6728921827283101,0.19582973125514405,0.7636176112662921,0.19124355387293518,527
23,c2,250,16,train,phase,0.5,L3,spike50,0.35930367953508413,0.22914837267470703,0.6271027949725763,0.1737542698295834,0.8058299031651612,0.19390996180215872,449
23,c2,250,16,train,phase,0.5,L3,syn_current,0.532921496803596,0.25112023437195796,0.5412567727404223,0.245590936613805,0.8386606973225122,0.189480005161466,486
23,c2,250,16,train,phase,0.5,L3,pre_reset,0.5168691634931796,0.2524117919269744,0.5190739393239548,0.24902358079316078,0.8547223443356821,0.18325094825997232,486
23,c2,250,16,train,phase,0.75,L1,spike50,0.8062346974019804,0.143386872205131,0.8165892215625179,0.14227803687355361,0.6421651436237846,0.23449989923664694,483
23,c2,250,16,train,phase,0.75,L1,syn_current,0.9641931852665843,0.029839802890013412,0.9658308324797084,0.029076772753171297,0.3262626280137975,0.10280971529303307,581
23,c2,250,16,train,phase,0.75,L1,pre_reset,0.9527004993578515,0.03348232701252831,0.9539970644159024,0.032914472607541295,0.3492963282612552,0.09462734358967775,581
23,c2,250,16,train,phase,0.75,L2,spike50,0.4651466045409238,0.23589810150488744,0.6368652540538097,0.20903822861006965,0.7840720683547581,0.20848029743586632,445
23,c2,250,16,train,phase,0.75,L2,syn_current,0.6061355209202902,0.26205972659216853,0.6569944116277906,0.2154278360032494,0.7869289368915761,0.18139380436493818,500
23,c2,250,16,train,phase,0.75,L2,pre_reset,0.5742364783276873,0.2667245974973226,0.6136194913125875,0.22682199979602818,0.8159191732701112,0.16997200000485954,500
23,c2,250,16,train,phase,0.75,L3,spike50,0.3278598509484929,0.2441181587476157,0.6144259532601933,0.18303882627516616,0.8314182649679117,0.17975117959715511,419
23,c2,250,16,train,phase,0.75,L3,syn_current,0.49240121874689075,0.2586345168684683,0.5014210604974265,0.25431703884530804,0.8761577177505125,0.15573364982953833,448
23,c2,250,16,train,phase,0.75,L3,pre_reset,0.47551285699933127,0.2574645030741082,0.47826337462319274,0.25542187429861324,0.8910623811079232,0.14654394193974418,448
23,c2,250,16,train,phase,1.0,L1,spike50,0.8060856523721297,0.13408534864706065,0.8176396023601507,0.1335049757452194,0.6139101555222115,0.21773213490875823,532
23,c2,250,16,train,phase,1.0,L1,syn_current,0.9700499574169347,0.020512472829576578,0.9715400351022813,0.019768454564152813,0.29928614692417566,0.1018079897078135,581
23,c2,250,16,train,phase,1.0,L1,pre_reset,0.9615976056373371,0.022134626212360228,0.9623797479406153,0.021902734681515646,0.31369148149991133,0.09280258019008035,581
23,c2,250,16,train,phase,1.0,L2,spike50,0.4190910723767164,0.2667085792861705,0.6111072034167435,0.21360810170974703,0.7846313649864411,0.19647809555436138,494
23,c2,250,16,train,phase,1.0,L2,syn_current,0.5533892304295275,0.2909063846049632,0.5876575149434815,0.2510114898947602,0.8024869453449273,0.19321616896377206,547
23,c2,250,16,train,phase,1.0,L2,pre_reset,0.5310114421052806,0.29644873952656703,0.5476807130814497,0.26418735965174156,0.827033041906914,0.1922281487525906,547
23,c2,250,16,train,phase,1.0,L3,spike50,0.2854825708443904,0.25406539361867087,0.6022427475930908,0.17681188840124965,0.833621149700744,0.16321693908736318,473
23,c2,250,16,train,phase,1.0,L3,syn_current,0.4597418113492763,0.2649087877928124,0.4693379517223531,0.25892236689999404,0.8733817225356972,0.15004982172859974,498
23,c2,250,16,train,phase,1.0,L3,pre_reset,0.4462460191333268,0.2634551009818333,0.4486253026306514,0.2604829587824295,0.8854589815409089,0.14105747999808058,498
23,c2,250,16,val,phase,0.25,L1,spike50,0.904212665124387,0.09800280566382404,0.9086582368032402,0.096090967150833,0.3367957534768899,0.26570501409462216,108
23,c2,250,16,val,phase,0.25,L1,syn_current,0.9907479183474872,0.011377724385162772,0.9913431012206242,0.010779484125866663,0.12141496006671475,0.09999540114010913,126
23,c2,250,16,val,phase,0.25,L1,pre_reset,0.9855575020305816,0.014465345072313665,0.9864524576533993,0.013732769811205687,0.1474271608757553,0.1033969961155159,126
23,c2,250,16,val,phase,0.25,L2,spike50,0.7537825115637339,0.2273819222704255,0.8093820200825614,0.1926635832381529,0.44471741970140805,0.3367899255299567,98
