group,representation,snn_seed,split,feature_dim,accuracy,balanced_accuracy,macro_f1
A_layer_probe,raw_input_250ms_count,,train,480,1.0,1.0,1.0
A_layer_probe,raw_input_250ms_count,,val,480,0.7142857142857143,0.7077050264550264,0.7066720517807474
A_layer_probe,raw_input_250ms_count,,test,480,0.5473684210526316,0.5562169312169313,0.548820612365504
A_layer_probe,l1_spike_250ms_count,11.0,train,2048,0.9873417721518988,0.9869437678575186,0.9875789003153063
A_layer_probe,l1_spike_250ms_count,11.0,val,2048,0.5,0.500760582010582,0.49691850121947573
A_layer_probe,l1_spike_250ms_count,11.0,test,2048,0.4631578947368421,0.4545304232804233,0.45191338732360403
A_layer_probe,l2_spike_250ms_count,11.0,train,2048,0.9873417721518988,0.98779659436824,0.9880518396328267
A_layer_probe,l2_spike_250ms_count,11.0,val,2048,0.5476190476190477,0.549834656084656,0.5281369459001038
A_layer_probe,l2_spike_250ms_count,11.0,test,2048,0.3894736842105263,0.3994708994708995,0.3774613050348345
A_layer_probe,l3_spike_250ms_count,11.0,train,1024,0.9857594936708861,0.9863598127590446,0.9866640719781925
A_layer_probe,l3_spike_250ms_count,11.0,val,1024,0.6031746031746031,0.5933531746031746,0.5782099177154355
A_layer_probe,l3_spike_250ms_count,11.0,test,1024,0.43157894736842106,0.4226190476190476,0.40278429287717205
B_temporal_resolution,l3_spike_250ms_count,11.0,train,1024,0.9857594936708861,0.9863598127590446,0.9866640719781925
B_temporal_resolution,l3_spike_250ms_count,11.0,val,1024,0.6031746031746031,0.5933531746031746,0.5782099177154355
B_temporal_resolution,l3_spike_250ms_count,11.0,test,1024,0.43157894736842106,0.4226190476190476,0.40278429287717205
B_temporal_resolution,l3_spike_125ms_count,11.0,train,2048,0.9873417721518988,0.987821801063138,0.9880778340629188
B_temporal_resolution,l3_spike_125ms_count,11.0,val,2048,0.5873015873015873,0.5800595238095237,0.5536579342951892
B_temporal_resolution,l3_spike_125ms_count,11.0,test,2048,0.4421052631578947,0.43452380952380953,0.4136292544893971
B_temporal_resolution,l3_spike_62.5ms_count,11.0,train,4096,0.9873417721518988,0.987821801063138,0.9880778340629188
B_temporal_resolution,l3_spike_62.5ms_count,11.0,val,4096,0.5793650793650794,0.5731150793650793,0.5397780675983487
B_temporal_resolution,l3_spike_62.5ms_count,11.0,test,4096,0.4105263157894737,0.40558862433862436,0.38350389427755155
C_state_readout,l3_spike_250ms_count,11.0,train,1024,0.9857594936708861,0.9863598127590446,0.9866640719781925
C_state_readout,l3_spike_250ms_count,11.0,val,1024,0.6031746031746031,0.5933531746031746,0.5782099177154355
C_state_readout,l3_spike_250ms_count,11.0,test,1024,0.43157894736842106,0.4226190476190476,0.40278429287717205
