group,representation,snn_seed,split,feature_dim,accuracy,balanced_accuracy,macro_f1
C_state_readout,l3_mem_250ms_end,11.0,train,1024,0.9857594936708861,0.9861626074401353,0.9865165988978606
C_state_readout,l3_mem_250ms_end,11.0,val,1024,0.5,0.500297619047619,0.46913930128234743
C_state_readout,l3_mem_250ms_end,11.0,test,1024,0.47368421052631576,0.4679232804232804,0.435661355185349
C_state_readout,l3_mem_250ms_mean,11.0,train,1024,0.9889240506329114,0.9892585826723335,0.989477134412744
C_state_readout,l3_mem_250ms_mean,11.0,val,1024,0.5476190476190477,0.5390873015873016,0.5192642796564365
C_state_readout,l3_mem_250ms_mean,11.0,test,1024,0.45263157894736844,0.4426256613756614,0.41924210569048365
A_layer_probe,l1_spike_250ms_count,23.0,train,2048,0.9873417721518988,0.9859806026068658,0.9870103599388967
A_layer_probe,l1_spike_250ms_count,23.0,val,2048,0.6031746031746031,0.6017857142857143,0.594848170835013
A_layer_probe,l1_spike_250ms_count,23.0,test,2048,0.3894736842105263,0.3862433862433862,0.3840136335685871
A_layer_probe,l2_spike_250ms_count,23.0,train,2048,0.990506329113924,0.9906393494039775,0.9909488958012682
A_layer_probe,l2_spike_250ms_count,23.0,val,2048,0.6190476190476191,0.6222552910052911,0.6123168956027663
A_layer_probe,l2_spike_250ms_count,23.0,test,2048,0.5263157894736842,0.5509259259259259,0.5078219166454461
A_layer_probe,l3_spike_250ms_count,23.0,train,1024,0.990506329113924,0.9906393494039775,0.9909488958012682
A_layer_probe,l3_spike_250ms_count,23.0,val,1024,0.6111111111111112,0.6099867724867725,0.6001382107935256
A_layer_probe,l3_spike_250ms_count,23.0,test,1024,0.5157894736842106,0.5390211640211641,0.493986568986569
B_temporal_resolution,l3_spike_250ms_count,23.0,train,1024,0.990506329113924,0.9906393494039775,0.9909488958012682
B_temporal_resolution,l3_spike_250ms_count,23.0,val,1024,0.6111111111111112,0.6099867724867725,0.6001382107935256
B_temporal_resolution,l3_spike_250ms_count,23.0,test,1024,0.5157894736842106,0.5390211640211641,0.493986568986569
B_temporal_resolution,l3_spike_125ms_count,23.0,train,2048,0.990506329113924,0.9906393494039775,0.9909488958012682
B_temporal_resolution,l3_spike_125ms_count,23.0,val,2048,0.6190476190476191,0.6154431216931217,0.6024482212003526
B_temporal_resolution,l3_spike_125ms_count,23.0,test,2048,0.5578947368421052,0.5848214285714286,0.5453378006009585
B_temporal_resolution,l3_spike_62.5ms_count,23.0,train,4096,0.990506329113924,0.9906393494039775,0.9909488958012682
B_temporal_resolution,l3_spike_62.5ms_count,23.0,val,4096,0.6349206349206349,0.6369378306878307,0.6184475232780858
B_temporal_resolution,l3_spike_62.5ms_count,23.0,test,4096,0.5473684210526316,0.5747354497354497,0.5263601279468152
C_state_readout,l3_spike_250ms_count,23.0,train,1024,0.990506329113924,0.9906393494039775,0.9909488958012682
C_state_readout,l3_spike_250ms_count,23.0,val,1024,0.6111111111111112,0.6099867724867725,0.6001382107935256
C_state_readout,l3_spike_250ms_count,23.0,test,1024,0.5157894736842106,0.5390211640211641,0.493986568986569
C_state_readout,l3_mem_250ms_end,23.0,train,1024,0.9889240506329114,0.9883245345891626,0.9891099207746379
C_state_readout,l3_mem_250ms_end,23.0,val,1024,0.5476190476190477,0.5471560846560847,0.527128933444723
C_state_readout,l3_mem_250ms_end,23.0,test,1024,0.4,0.4393187830687831,0.3782141061552826
C_state_readout,l3_mem_250ms_mean,23.0,train,1024,0.990506329113924,0.9906393494039775,0.9909488958012682
C_state_readout,l3_mem_250ms_mean,23.0,val,1024,0.5873015873015873,0.5791005291005291,0.5765898875307949
C_state_readout,l3_mem_250ms_mean,23.0,test,1024,0.45263157894736844,0.48296957671957674,0.4402804396612446
A_layer_probe,l1_spike_250ms_count,101.0,train,2048,0.9857594936708861,0.9852526054005404,0.9859516329992551
A_layer_probe,l1_spike_250ms_count,101.0,val,2048,0.48412698412698413,0.4753306878306878,0.4650503666081403
A_layer_probe,l1_spike_250ms_count,101.0,test,2048,0.4631578947368421,0.4775132275132275,0.4650654041520914
A_layer_probe,l2_spike_250ms_count,101.0,train,2048,0.9810126582278481,0.9818766148432134,0.9823514787615242
A_layer_probe,l2_spike_250ms_count,101.0,val,2048,0.5476190476190477,0.5522486772486771,0.5382293342180272
A_layer_probe,l2_spike_250ms_count,101.0,test,2048,0.4105263157894737,0.4108796296296296,0.3689495202653097
A_layer_probe,l3_spike_250ms_count,101.0,train,1024,0.9794303797468354,0.9804146265391198,0.9810615290782189
A_layer_probe,l3_spike_250ms_count,101.0,val,1024,0.6031746031746031,0.5977513227513228,0.5787487650522851
A_layer_probe,l3_spike_250ms_count,101.0,test,1024,0.4631578947368421,0.4765211640211641,0.4577036117477294
B_temporal_resolution,l3_spike_250ms_count,101.0,train,1024,0.9794303797468354,0.9804146265391198,0.9810615290782189
B_temporal_resolution,l3_spike_250ms_count,101.0,val,1024,0.6031746031746031,0.5977513227513228,0.5787487650522851
B_temporal_resolution,l3_spike_250ms_count,101.0,test,1024,0.4631578947368421,0.4765211640211641,0.4577036117477294
B_temporal_resolution,l3_spike_125ms_count,101.0,train,2048,0.9810126582278481,0.9818766148432134,0.9824455208031195
B_temporal_resolution,l3_spike_125ms_count,101.0,val,2048,0.5634920634920635,0.5602513227513227,0.5410405798198336
B_temporal_resolution,l3_spike_125ms_count,101.0,test,2048,0.43157894736842106,0.4267526455026455,0.42071753729362427
B_temporal_resolution,l3_spike_62.5ms_count,101.0,train,4096,0.9825949367088608,0.9833133964524089,0.9838004105851192
B_temporal_resolution,l3_spike_62.5ms_count,101.0,val,4096,0.5555555555555556,0.5533068783068783,0.5355317907401241
B_temporal_resolution,l3_spike_62.5ms_count,101.0,test,4096,0.4,0.39897486772486773,0.3966617804853099
C_state_readout,l3_spike_250ms_count,101.0,train,1024,0.9794303797468354,0.9804146265391198,0.9810615290782189
C_state_readout,l3_spike_250ms_count,101.0,val,1024,0.6031746031746031,0.5977513227513228,0.5787487650522851
C_state_readout,l3_spike_250ms_count,101.0,test,1024,0.4631578947368421,0.4765211640211641,0.4577036117477294
C_state_readout,l3_mem_250ms_end,101.0,train,1024,0.9810126582278481,0.9818766148432134,0.9823514787615242
C_state_readout,l3_mem_250ms_end,101.0,val,1024,0.5555555555555556,0.5488095238095239,0.5291702085399083
C_state_readout,l3_mem_250ms_end,101.0,test,1024,0.3894736842105263,0.3900462962962963,0.375074061583013
C_state_readout,l3_mem_250ms_mean,101.0,train,1024,0.9810126582278481,0.9818766148432134,0.9823514787615242
C_state_readout,l3_mem_250ms_mean,101.0,val,1024,0.5873015873015873,0.5860449735449736,0.5646851990601991
C_state_readout,l3_mem_250ms_mean,101.0,test,1024,0.37894736842105264,0.3796296296296297,0.3566904629598128
