representation,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,feature_dim
l3_spike_250ms_count,3,0.4793871252204586,0.0582539567404641,0.4701754385964912,0.4514914912038235,1024
l3_spike_125ms_count,3,0.48203262786596124,0.08910247421038418,0.47719298245614034,0.45989486412799324,2048
l3_spike_62.5ms_count,3,0.45976631393298056,0.09962109256834838,0.4526315789473685,0.4355086009032256,4096
