group,snn_seed,representation,shape_per_sample,feature_dim
A_layer_probe,11,l1_spike_250ms_count,"(16, 128)",2048
A_layer_probe,11,l2_spike_250ms_count,"(16, 128)",2048
A_layer_probe,11,l3_spike_250ms_count,"(16, 64)",1024
B_temporal_resolution,11,l3_spike_250ms_count,"(16, 64)",1024
B_temporal_resolution,11,l3_spike_125ms_count,"(32, 64)",2048
B_temporal_resolution,11,l3_spike_62.5ms_count,"(64, 64)",4096
C_state_readout,11,l3_spike_250ms_count,"(16, 64)",1024
C_state_readout,11,l3_mem_250ms_end,"(16, 64)",1024
C_state_readout,11,l3_mem_250ms_mean,"(16, 64)",1024
A_layer_probe,23,l1_spike_250ms_count,"(16, 128)",2048
A_layer_probe,23,l2_spike_250ms_count,"(16, 128)",2048
A_layer_probe,23,l3_spike_250ms_count,"(16, 64)",1024
B_temporal_resolution,23,l3_spike_250ms_count,"(16, 64)",1024
B_temporal_resolution,23,l3_spike_125ms_count,"(32, 64)",2048
B_temporal_resolution,23,l3_spike_62.5ms_count,"(64, 64)",4096
C_state_readout,23,l3_spike_250ms_count,"(16, 64)",1024
C_state_readout,23,l3_mem_250ms_end,"(16, 64)",1024
C_state_readout,23,l3_mem_250ms_mean,"(16, 64)",1024
A_layer_probe,101,l1_spike_250ms_count,"(16, 128)",2048
A_layer_probe,101,l2_spike_250ms_count,"(16, 128)",2048
A_layer_probe,101,l3_spike_250ms_count,"(16, 64)",1024
B_temporal_resolution,101,l3_spike_250ms_count,"(16, 64)",1024
B_temporal_resolution,101,l3_spike_125ms_count,"(32, 64)",2048
B_temporal_resolution,101,l3_spike_62.5ms_count,"(64, 64)",4096
C_state_readout,101,l3_spike_250ms_count,"(16, 64)",1024
C_state_readout,101,l3_mem_250ms_end,"(16, 64)",1024
C_state_readout,101,l3_mem_250ms_mean,"(16, 64)",1024
