representation,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,feature_dim
l3_spike_250ms_count,3,0.4793871252204586,0.0582539567404641,0.4701754385964912,0.4514914912038235,1024
l3_mem_250ms_end,3,0.4324294532627866,0.03939293481146687,0.42105263157894735,0.3963165076412149,1024
l3_mem_250ms_mean,3,0.4350749559082893,0.05208210854918909,0.4280701754385965,0.405404336103847,1024
