representation,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,feature_dim
raw_input_250ms_count,1,0.5562169312169313,,0.5473684210526316,0.548820612365504,480
l1_spike_250ms_count,3,0.439429012345679,0.04747194371963841,0.4385964912280702,0.43366414168142753,2048
l2_spike_250ms_count,3,0.45375881834215165,0.08434230775895482,0.4421052631578947,0.4180775806485301,2048
l3_spike_250ms_count,3,0.4793871252204586,0.0582539567404641,0.4701754385964912,0.4514914912038235,1024
