seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
11,reset_l1,0.25,0,0.0,L1,spike50,0.9325616526285949,0.06134683394090205,0.9374155544373823,0.05992776746732314,0.3714085603399555,0.21477157190862609,113
11,reset_l1,0.25,0,0.0,L1,syn_current,0.5523952330583599,0.19983390030418727,0.5770110820958645,0.18485836425658764,0.867540647282012,0.15123223912004874,90
11,reset_l1,0.25,0,0.0,L1,pre_reset,0.43207931676455885,0.16973500018999602,0.4640849742550702,0.15898868714916325,0.9300622108697296,0.08672099887805419,90
11,reset_l1,0.25,0,0.0,L2,spike50,0.9545935246870941,0.11480369560561515,0.9618833267374233,0.11160190552482153,0.17880657972883268,0.2135296862236363,107
11,reset_l1,0.25,0,0.0,L2,syn_current,0.9195692775338282,0.10872617738340555,0.9261795541599739,0.09677174151295295,0.33832499077888006,0.25108449866518195,114
11,reset_l1,0.25,0,0.0,L2,pre_reset,0.9587061548880292,0.07066897011513451,0.9609356378394279,0.06455164806462088,0.24714658297415054,0.22969799806162597,114
11,reset_l1,0.25,1,15.625,L1,spike50,0.8733653572024795,0.11153724738153808,0.8815163419523155,0.10969988676046911,0.5658548752269211,0.20605461687677942,113
11,reset_l1,0.25,1,15.625,L1,syn_current,0.6406666206111786,0.18785243077198138,0.6599988734808556,0.17275654541577706,0.7620393899626803,0.16639000730378287,120
11,reset_l1,0.25,1,15.625,L1,pre_reset,0.5411571089895795,0.1810116665357529,0.5675642540753647,0.16842633389787057,0.8390336150339639,0.1267774996691331,120
11,reset_l1,0.25,1,15.625,L2,spike50,0.9131171784002698,0.141333838964639,0.930367861795375,0.13508034236022476,0.28094900957927404,0.24756489703806736,108
11,reset_l1,0.25,1,15.625,L2,syn_current,0.8842133599292907,0.1588451022220136,0.8935455656722114,0.13975367574923653,0.4596672915409662,0.2518407967005479,114
11,reset_l1,0.25,1,15.625,L2,pre_reset,0.9181663699059847,0.12646388364516714,0.9231089329271328,0.10714121090194102,0.38414873048997233,0.2497222950711281,114
11,reset_l1,0.25,2,31.25,L1,spike50,0.7172619724833034,0.1500821137736485,0.7338761033539779,0.14646542143180596,0.7639398353604627,0.17309651689789757,112
11,reset_l1,0.25,2,31.25,L1,syn_current,0.7311113815765209,0.14783052537299546,0.745710376541197,0.13858720270445618,0.6803465238058808,0.16862268642310063,124
11,reset_l1,0.25,2,31.25,L1,pre_reset,0.6549140902030562,0.15406687775554273,0.6758464195186122,0.14459037838617317,0.7496270218207477,0.14185860189912325,124
11,reset_l1,0.25,2,31.25,L2,spike50,0.8516756735924373,0.15244103608039045,0.8866855896940742,0.14583828090102793,0.3962367851901284,0.25327263416359125,110
11,reset_l1,0.25,2,31.25,L2,syn_current,0.8527033791892588,0.17814649392054194,0.8652648626436421,0.14823397033067995,0.5435616171585543,0.22405128762142704,116
11,reset_l1,0.25,2,31.25,L2,pre_reset,0.884147366403901,0.15212990490426687,0.8911337038734392,0.1269522611369191,0.48345850322793504,0.23459394711966636,116
11,reset_l1,0.25,4,62.5,L1,spike50,0.46205155741089093,0.21481699541173627,0.48962131251446184,0.2125967997896085,0.9002120427944473,0.19309644902392004,68
11,reset_l1,0.25,4,62.5,L1,syn_current,0.8187562395651389,0.11102871901286417,0.831682148002416,0.10276519135945392,0.5631216229363145,0.15917851698751867,128
11,reset_l1,0.25,4,62.5,L1,pre_reset,0.7714504184913901,0.12333973790882913,0.7887048454694765,0.11391790651473926,0.6139208345386802,0.14907899196076635,128
11,reset_l1,0.25,4,62.5,L2,spike50,0.6898725104274439,0.1798477616455432,0.7670539098303034,0.17436772811939974,0.6042587437346933,0.218249924726803,117
11,reset_l1,0.25,4,62.5,L2,syn_current,0.817227201133195,0.16601483891385577,0.8258034494121289,0.14620890913982057,0.6054123786677176,0.19678289057362472,121
11,reset_l1,0.25,4,62.5,L2,pre_reset,0.8466300814909216,0.1485756642049566,0.8494402623511094,0.13202844466739033,0.5677875176608764,0.19740049069431065,121
11,reset_l1,0.25,8,125.0,L1,spike50,0.658490231944373,0.19440623551404326,0.679228343705705,0.19225481251429277,0.7596645228987031,0.2189979909423331,103
11,reset_l1,0.25,8,125.0,L1,syn_current,0.9112385653638972,0.059657368310097596,0.9194863634818365,0.0534827754909436,0.41299552320617505,0.1337445013821025,128
11,reset_l1,0.25,8,125.0,L1,pre_reset,0.8863394826168457,0.0676018647057714,0.8973573062435326,0.06013656748679266,0.4435856124734172,0.12685830990725958,128
11,reset_l1,0.25,8,125.0,L2,spike50,0.611280743138347,0.15396716940928762,0.7214374561413555,0.1383545835264997,0.6702602290703359,0.17284193398430464,124
11,reset_l1,0.25,8,125.0,L2,syn_current,0.8114271204992567,0.14194272955186205,0.8146017140016603,0.1264339707166772,0.6270873444055727,0.16926338948653005,126
11,reset_l1,0.25,8,125.0,L2,pre_reset,0.8178239884692666,0.13383459811055762,0.8151182404383613,0.1262600262568256,0.6278591435510892,0.16754809898582976,126
11,reset_l1,0.25,16,250.0,L1,spike50,0.8631210232099908,0.0988272826762697,0.8730699315047266,0.09787995458820482,0.49818069386599073,0.17086917406528898,125
11,reset_l1,0.25,16,250.0,L1,syn_current,0.9801949627557411,0.013790584709805508,0.9825058211552105,0.012171455152209147,0.21322852265357692,0.0703934707822348,128
11,reset_l1,0.25,16,250.0,L1,pre_reset,0.9676981842962635,0.01794137542697832,0.9714723122844677,0.015666102539291685,0.24865020975752117,0.06490001384076653,128
11,reset_l1,0.25,16,250.0,L2,spike50,0.6791193272090987,0.17074488432228502,0.7991880610619583,0.13098399062722235,0.5749861161345304,0.18447189201628586,125
11,reset_l1,0.25,16,250.0,L2,syn_current,0.8299853731089055,0.1307894369849166,0.8547155571937726,0.10553213572958373,0.5419527197278069,0.17160391080062604,127
11,reset_l1,0.25,16,250.0,L2,pre_reset,0.8209939436834242,0.1309433869200669,0.838288222976138,0.11456095055650534,0.569883880355988,0.17267859864994176,127
11,reset_l1,0.25,32,500.0,L1,spike50,0.9572869131134104,0.0317561309425432,0.9609245121025997,0.031353763249571,0.2744404964778493,0.10295956209184941,128
11,reset_l1,0.25,32,500.0,L1,syn_current,0.9978238008304863,0.001753932036988013,0.9981489232691126,0.0014559418398672214,0.07524923516708307,0.031049698745382805,128
11,reset_l1,0.25,32,500.0,L1,pre_reset,0.9899084336926853,0.005123549590461838,0.9913016261212716,0.004345626124683386,0.13375470238615886,0.032761568216946244,128
11,reset_l1,0.25,32,500.0,L2,spike50,0.8356860160669292,0.12410123508618684,0.9166408461739712,0.10203328223991456,0.3697016280096852,0.13272644182905208,128
11,reset_l1,0.25,32,500.0,L2,syn_current,0.9157773697887613,0.06834346991570615,0.938318640412087,0.04517571798649314,0.3470487584993196,0.12684647996173185,128
11,reset_l1,0.25,32,500.0,L2,pre_reset,0.9115513539850988,0.08255579573918037,0.9317161989252094,0.0535464751750215,0.3659234607173291,0.1365679770009159,128
11,reset_l1,0.5,0,0.0,L1,spike50,0.9603167417557289,0.02942893103933018,0.9642455990797107,0.02888239535955512,0.32634673737020603,0.09749246722796868,127
