seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
23,reset_both,0.25,0,0.0,L1,spike50,0.9157625232101146,0.08957238687532826,0.9210605502397343,0.08843181849304736,0.3576421974313745,0.20785663046651556,111
23,reset_both,0.25,0,0.0,L1,syn_current,0.5648878603133459,0.18781147182957736,0.5916795878216781,0.17488550805611183,0.8677331296713291,0.15151389643406862,90
23,reset_both,0.25,0,0.0,L1,pre_reset,0.4561891195304925,0.15789060854259362,0.4877337141192904,0.1494783584293711,0.9293641034170361,0.08793013696835773,90
23,reset_both,0.25,0,0.0,L2,spike50,0.9580428755686157,0.07450365813151764,0.9652305812136265,0.07348029072188987,0.3028678694879525,0.20659903683856357,104
23,reset_both,0.25,0,0.0,L2,syn_current,-0.46751204656772394,0.0,-0.4350631775018917,0.0,0.8991508218406277,0.3024187051999351,1
23,reset_both,0.25,0,0.0,L2,pre_reset,-0.4551133626735302,0.0,-0.4266691216908656,0.0,0.8989689118722809,0.30231004986558746,1
23,reset_both,0.25,1,15.625,L1,spike50,0.84948342669261,0.12650897191031968,0.8591308056607558,0.12460835027875218,0.5574098046406519,0.22672872505543898,111
23,reset_both,0.25,1,15.625,L1,syn_current,0.6428068611045064,0.17903536637495113,0.6634928786418738,0.1665212023833405,0.7665274589771021,0.164431497917739,120
23,reset_both,0.25,1,15.625,L1,pre_reset,0.5480275400778599,0.1698880962363512,0.5734264280291458,0.16127912641344194,0.843436761884531,0.1263629108502612,120
23,reset_both,0.25,1,15.625,L2,spike50,0.9149983248901933,0.11098675470406609,0.9328119908252529,0.10877804181115953,0.5178803680741582,0.23623889587344515,105
23,reset_both,0.25,1,15.625,L2,syn_current,0.35580574416371785,0.31730131456841676,0.3575199647798076,0.29838940545158715,0.9187228989426375,0.26911199546513653,9
23,reset_both,0.25,1,15.625,L2,pre_reset,0.3174666390657109,0.3330149741001471,0.3216244803390705,0.3174690910519304,0.9194038742771948,0.268857194808158,9
23,reset_both,0.25,2,31.25,L1,spike50,0.6862709578176931,0.13634467060273475,0.7037444213371075,0.1357538277200358,0.7541964376518091,0.21416722965840523,109
23,reset_both,0.25,2,31.25,L1,syn_current,0.7340617904296166,0.14176198158763048,0.7489116869489246,0.13396501739171177,0.6855247093953182,0.16820387638213458,124
23,reset_both,0.25,2,31.25,L1,pre_reset,0.6593251479679317,0.1433581065167657,0.6781932637894278,0.13758001383747379,0.7573427009732412,0.14182290932557093,124
23,reset_both,0.25,2,31.25,L2,spike50,0.8204912196892812,0.15807575193252207,0.8628146815066974,0.14781174683497922,0.7072597991395024,0.2575603132979879,107
23,reset_both,0.25,2,31.25,L2,syn_current,0.4363284371717379,0.3191386104267474,0.43129421991086486,0.31465545636272785,0.9288900241699403,0.23367373043209455,22
23,reset_both,0.25,2,31.25,L2,pre_reset,0.40789648778728915,0.3289188531971244,0.4047953839473069,0.3277453668470259,0.932316348392841,0.23181208423964214,22
23,reset_both,0.25,4,62.5,L1,spike50,0.48765057579048493,0.20123455578798294,0.5103599693141433,0.19851257553625748,0.9086520275356968,0.1732795078712396,66
23,reset_both,0.25,4,62.5,L1,syn_current,0.8250069820479158,0.10573687216069345,0.835028364053926,0.10095660876512585,0.5682546383391766,0.16185951103715362,128
23,reset_both,0.25,4,62.5,L1,pre_reset,0.7752021089483345,0.11520447298605226,0.787710062992294,0.11104393711640753,0.6263753327893326,0.15092290476568923,128
23,reset_both,0.25,4,62.5,L2,spike50,0.24683316068251798,0.2040632909637192,0.37286735197102766,0.20039862017719073,0.9287703710757063,0.21501216016689612,39
23,reset_both,0.25,4,62.5,L2,syn_current,0.40653049562288873,0.3278359221888212,0.4274943006056436,0.2943912617511525,0.9285910061920952,0.15455254849681646,66
23,reset_both,0.25,4,62.5,L2,pre_reset,0.37934590505706134,0.32893332268564607,0.3935433396546712,0.3058203198607496,0.9377375483689591,0.15225935937479093,66
23,reset_both,0.25,8,125.0,L1,spike50,0.6675500870081795,0.20242158538372076,0.6857421908848018,0.20147247168728022,0.7636012408101402,0.21440759140530333,102
23,reset_both,0.25,8,125.0,L1,syn_current,0.915047216078448,0.057766695136793014,0.9209033821981787,0.05397129701894688,0.42023071856858574,0.13717533615280697,128
23,reset_both,0.25,8,125.0,L1,pre_reset,0.8890145948620024,0.06536217435500813,0.8958236935662393,0.06154035158427095,0.4592149217939544,0.132692627685655,128
23,reset_both,0.25,8,125.0,L2,spike50,0.4400173447713847,0.24223075610535869,0.5708249666108931,0.221284910644022,0.8336698031862422,0.21228460506927074,87
23,reset_both,0.25,8,125.0,L2,syn_current,0.608142945167506,0.277890181603433,0.6273570392202634,0.2514519501139797,0.8066444953750463,0.2002619720067255,103
23,reset_both,0.25,8,125.0,L2,pre_reset,0.576801769713038,0.280945691747699,0.5887019561147,0.26109996756269577,0.8297263684338849,0.19196938293241594,103
23,reset_both,0.25,16,250.0,L1,spike50,0.873580713805073,0.10756315337674884,0.8825721072373647,0.10782355423801816,0.4900705266961174,0.17619302270627388,124
23,reset_both,0.25,16,250.0,L1,syn_current,0.9837637920085144,0.011283648208055165,0.984954073924204,0.010551468935271579,0.21220188006150265,0.07005339772311915,128
23,reset_both,0.25,16,250.0,L1,pre_reset,0.9730313623053474,0.01564190161276116,0.9745226647573895,0.014729292635992736,0.2504855400364982,0.06904097306165169,128
23,reset_both,0.25,16,250.0,L2,spike50,0.6101537292049368,0.21963085427597318,0.7398284873958004,0.19514750940130968,0.644565826483761,0.20838296727158748,121
