hidden_width,tau_mem_ms,seed,none,onehot,scalar,scalar_minus_none,onehot_minus_none
64,1000.0,11,0.34509726384726386,0.2870504495504495,0.34534562659562656,0.0002483627483627071,-0.05804681429681435
64,1000.0,23,0.2969461094461095,0.36404637029637027,0.2582715895215895,-0.03867451992451998,0.06710026085026077
64,1000.0,37,0.3306131368631368,0.43807234432234426,0.2807033244533244,-0.049909812409812404,0.10745920745920745
64,1000.0,53,0.38259518259518255,0.34544691419691415,0.3092116217116217,-0.07338356088356085,-0.0371482683982684
64,1000.0,71,0.34730477855477854,0.396538184038184,0.38578157953157954,0.03847680097680101,0.04923340548340549
128,250.0,11,0.3327228327228327,0.35613414363414364,0.3580461205461205,0.0253232878232878,0.023411310911310934
128,250.0,23,0.3756528194028194,0.3605144855144855,0.3084540459540459,-0.06719877344877351,-0.01513833388833391
128,250.0,37,0.2772352647352648,0.3150419025419025,0.33115634365634367,0.05392107892107889,0.03780663780663773
128,250.0,53,0.3686591186591186,0.4258401320901321,0.3447025197025197,-0.023956598956598907,0.057181013431013505
128,250.0,71,0.39217241092241095,0.4239753302253302,0.2873251748251748,-0.10484723609723617,0.03180291930291923
