method,bin_index,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,norm_fraction_mean,norm_fraction_std
l1_fixed250_l2_whole_count,0,6.278126973221018,0.4392850584573258,0.1601896627582842,0.011208585883845096,0.06572190685980257,0.0007763315160737076
l1_fixed250_l2_whole_count,1,6.701473084627082,0.36728024613988286,0.17099155814928732,0.009371345787984636,0.07020291837400354,0.0014594333953304004
l1_fixed250_l2_whole_count,2,6.82941320980796,0.6004471369077848,0.17425601673596391,0.015320719822282735,0.07144019513353024,0.001817717447311745
l1_fixed250_l2_whole_count,3,6.6640490789829085,0.512399414795732,0.1700366652538783,0.01307413657031508,0.06973593134746627,0.0009757517190520092
l1_fixed250_l2_whole_count,4,6.501402241440566,0.4832947961310921,0.16588664691787738,0.012331517144412454,0.06804013420800083,0.0002208794627693451
l1_fixed250_l2_whole_count,5,6.837920056107986,0.5144868399572599,0.17447307332716547,0.01312739830491913,0.0715652560033444,0.001404807519693989
l1_fixed250_l2_whole_count,6,8.508072677864904,0.5379320709622761,0.21708788286754052,0.013725615522252162,0.08909213791863284,0.0010994342130636262
l1_fixed250_l2_whole_count,7,9.063051340114756,0.7054560678838987,0.23124845099925448,0.018000077106935047,0.09483482967223494,0.0006491973654209681
l1_fixed250_l2_whole_count,8,8.527554502157715,0.6627564761564391,0.2175849717089566,0.01691057489904502,0.08923257168367316,0.0006786754268161256
l1_fixed250_l2_whole_count,9,8.517137806620473,0.5906089791230188,0.2173191843248715,0.01506969412872376,0.08915764869393834,0.00031291310573052633
l1_fixed250_l2_whole_count,10,7.176058884573958,0.5627630185890181,0.1831008607434584,0.014359190017203115,0.07508800704218115,0.0006150005263065795
l1_fixed250_l2_whole_count,11,6.622058256285604,0.29728124730343347,0.1689652476550442,0.0075852850624119695,0.06940783517662834,0.0022149906581262037
l1_fixed250_l2_whole_count,12,0.6493695000085021,0.08438688701203358,0.01656899926611528,0.0021531751475143673,0.0068411272704852295,0.0012401465257824908
l1_fixed250_l2_whole_count,13,1.3118830551415515,0.2000270251477266,0.03347337590937801,0.00510379319144572,0.013699542092587955,0.0013704122670451474
l1_fixed250_l2_whole_count,14,2.719282344067066,0.24866210924475057,0.06938389801587162,0.0063447425626442285,0.028436479785858823,0.0007513600303303938
l1_fixed250_l2_whole_count,15,2.6381201571470316,0.4311467902922596,0.06731300276209583,0.011000933754737279,0.02750347873763144,0.002913582449404432
l1_capacity_no_phase_l2_whole_count,0,6.5347820600593645,0.860479166787185,0.1667383502858223,0.021955571801289837,0.06240239913163701,0.00023746143959517716
l1_capacity_no_phase_l2_whole_count,1,6.54994017273994,0.8671059853882938,0.16712511738510374,0.022124658511609652,0.06254218551242109,7.826009765515245e-05
l1_capacity_no_phase_l2_whole_count,2,6.553210341368541,0.8556760831429059,0.1672085574321135,0.021833018633369117,0.06258431923904617,5.569329349473685e-05
l1_capacity_no_phase_l2_whole_count,3,6.546987436087744,0.8534386889089381,0.16704977677945068,0.021775930360174667,0.0625261779443587,6.568459872113062e-05
l1_capacity_no_phase_l2_whole_count,4,6.537050696733644,0.8592379141697998,0.1667962357260697,0.021923900597597266,0.06242470492264438,5.5475034615937104e-05
l1_capacity_no_phase_l2_whole_count,5,6.535636522490563,0.8764628802451095,0.16676015233749744,0.022363404532193723,0.06239546854683504,0.000204236025908313
l1_capacity_no_phase_l2_whole_count,6,6.54170255707555,0.8586502233897494,0.1669149303530734,0.021908905362829963,0.0624702440871111,2.9563593024093137e-05
l1_capacity_no_phase_l2_whole_count,7,6.542538694293518,0.8547991588136763,0.1669362648274377,0.021810643454726966,0.06248185122110599,4.988805909857485e-05
l1_capacity_no_phase_l2_whole_count,8,6.538142802991431,0.8592797865903729,0.16682410138311635,0.021924968994104545,0.0624352138074644,0.00012963731849859232
l1_capacity_no_phase_l2_whole_count,9,6.550370807694837,0.840187847212437,0.16713610525911318,0.02143782826831192,0.06257117240366979,0.00022893440849137256
l1_capacity_no_phase_l2_whole_count,10,6.550700320396427,0.8613934499607631,0.1671445129464326,0.02197890021020317,0.0625547568518998,2.2013553719386915e-05
l1_capacity_no_phase_l2_whole_count,11,6.553047637965217,0.8682959378882543,0.16720440597047218,0.02215502076622478,0.06257109381218663,0.00015993925200288902
l1_capacity_no_phase_l2_whole_count,12,6.547026305156361,0.8656827071241137,0.16705076854387665,0.02208834282922178,0.06251525645305898,0.0001105092872247987
l1_capacity_no_phase_l2_whole_count,13,6.539874421511239,0.8544292937843186,0.16686828452689428,0.021801206156855872,0.0624566432966922,0.0001008150631781513
l1_capacity_no_phase_l2_whole_count,14,6.546531545869471,0.8586650171181868,0.16703814450431018,0.02190928283247645,0.06251705074509137,5.2301062777554916e-05
l1_capacity_no_phase_l2_whole_count,15,6.54952846429894,0.8525453596017281,0.1671146124309033,0.02175313660001907,0.0625514620247773,0.00012541134519318696
