comparison,seed,native_test_ba_delta,lif_test_ba_delta,target_probe_test_ba_delta
phase_vs_capacity,11,0.004563492063492158,-0.07326354201354196,-0.05240384615384619
phase_vs_capacity,23,0.002890859140859181,-0.036122211122211034,-0.058268120768120935
phase_vs_capacity,37,0.01415945165945165,-0.10296439671439667,-0.0066600066600067676
phase_vs_timeshared,11,0.010490897990898085,-0.04823856698856699,-0.022966616716616817
phase_vs_timeshared,23,-0.014107420357420297,-0.10176767676767667,-0.030851093351093373
phase_vs_timeshared,37,0.03648088023088014,-0.13181055056055058,-0.045062576312576486
timeshared_vs_l2,11,0.0309884559884559,-0.058676739926739885,0.013902763902763904
timeshared_vs_l2,23,0.018001443001443018,-0.004306110556110632,0.06477758352758356
timeshared_vs_l2,37,-0.01645021645021638,0.028712953712953737,0.01646825396825391
