method,seed,coef_fro_norm,coef_norm_fraction,coef_rms,head
l2_only_count,11,8.990520936720909,1.0,0.2293978001747425,l2
l2_only_count,23,9.09334607837286,1.0,0.23202143694324961,l2
l2_only_count,37,8.841528033064558,1.0,0.225596169036683,l2
l1_l2_timeshared_count,11,8.669477379385615,0.5131106136884718,0.22120620745933184,l2
l1_l2_timeshared_count,11,8.226445542702237,0.4868893863115282,0.2099020205876409,l1_timeshared
l1_l2_timeshared_count,23,8.732607606513412,0.534654157482342,0.2228170079156767,l2
l1_l2_timeshared_count,23,7.600581772644876,0.465345842517658,0.1939327822008168,l1_timeshared
l1_l2_timeshared_count,37,8.686075203045945,0.5152848713450383,0.2216297095302537,l2
l1_l2_timeshared_count,37,8.170765907722254,0.4847151286549616,0.20848132585050158,l1_timeshared
l1_fixed250_l2_whole_count,11,6.060057843284734,0.178720445854134,0.15462551591456986,l2
l1_fixed250_l2_whole_count,11,27.84796993900249,0.8212795541458661,0.1776388456326066,l1_large_bank
l1_fixed250_l2_whole_count,23,6.157146416573471,0.19125056995375408,0.15710278116886373,l2
l1_fixed250_l2_whole_count,23,26.03698726921015,0.808749430046246,0.16608680533569398,l1_large_bank
l1_fixed250_l2_whole_count,37,5.621974450154852,0.18898074287895536,0.1434475911442022,l2
l1_fixed250_l2_whole_count,37,24.126953215749182,0.8110192571210446,0.15390292819423768,l1_large_bank
l1_capacity_no_phase_l2_whole_count,11,8.291181178506013,0.22608366123645615,0.21155378387820237,l2
l1_capacity_no_phase_l2_whole_count,11,28.38188547815274,0.7739163387635438,0.1810446285405781,l1_large_bank
l1_capacity_no_phase_l2_whole_count,23,7.081984887132579,0.2416917281651233,0.18070051395392434,l2
l1_capacity_no_phase_l2_whole_count,23,22.21974149340032,0.7583082718348768,0.1417370543629632,l1_large_bank
l1_capacity_no_phase_l2_whole_count,37,8.150801296878146,0.2258645680075359,0.20797191846007132,l2
l1_capacity_no_phase_l2_whole_count,37,27.936316610903642,0.7741354319924642,0.17820239841029112,l1_large_bank
