method,seed,native_test_ba,native_val_ba,lif_test_ba,lif_penalty,accumulator_equivalence_error,l1_score_rms,l2_score_rms,l1_score_rms_fraction,best_epoch,parameter_count
l2_only_count,11,0.5306318681318681,0.5236531986531987,0.5123529248529248,0.018278943278943305,3.337860107421875e-06,0.0,249.38839721679688,0.0,94,21760
l2_only_count,23,0.5961822899322898,0.5722643097643098,0.5666701354201354,0.029512154512154387,3.337860107421875e-06,0.0,252.64974975585938,0.0,89,21760
l2_only_count,37,0.5666909479409479,0.566576479076479,0.49502997002997,0.07166097791097786,2.86102294921875e-06,0.0,242.5621337890625,0.0,90,21760
l1_l2_timeshared_count,11,0.561620324120324,0.6022607022607023,0.45367618492618494,0.10794413919413909,3.337860107421875e-06,35.891666412353516,244.6671142578125,0.12792922155784858,94,23296
l1_l2_timeshared_count,23,0.6141837329337329,0.5960738335738337,0.5623640248640248,0.05181970806970804,2.86102294921875e-06,43.779151916503906,250.8173065185547,0.14860719015111537,89,23296
l1_l2_timeshared_count,37,0.5502407314907315,0.5791125541125541,0.5237429237429237,0.026497807747807745,4.291534423828125e-06,45.456687927246094,253.2661895751953,0.15217009258647954,94,23296
l1_fixed250_l2_whole_count,11,0.5721112221112221,0.61763468013468,0.40543761793761796,0.16667360417360416,2.86102294921875e-06,207.4762725830078,157.63380432128906,0.5682567688686164,79,46336
l1_fixed250_l2_whole_count,23,0.6000763125763126,0.627982202982203,0.46059634809634814,0.1394799644799644,3.337860107421875e-06,197.92103576660156,173.13339233398438,0.5334016273023667,73,46336
l1_fixed250_l2_whole_count,37,0.5867216117216116,0.6032888407888409,0.3919323731823732,0.19478923853923846,2.86102294921875e-06,179.62991333007812,168.84237670898438,0.515478327731431,68,46336
l1_capacity_no_phase_l2_whole_count,11,0.56754773004773,0.5730940355940356,0.4787011599511599,0.08884657009657004,2.86102294921875e-06,148.46299743652344,226.8417205810547,0.3955798856479334,100,46336
l1_capacity_no_phase_l2_whole_count,23,0.5971854534354534,0.5770622895622897,0.4967185592185592,0.1004668942168942,3.814697265625e-06,129.7584686279297,214.22964477539062,0.37721788507206366,74,46336
l1_capacity_no_phase_l2_whole_count,37,0.57256216006216,0.5648869648869649,0.49489676989676984,0.07766539016539015,3.337860107421875e-06,131.2741241455078,241.23837280273438,0.35240193341418924,97,46336
