method,seed,fixed250_fusion_gain_over_best_single,l1whole_l2fixed250_gain_over_l2fixed250,reverse_mixed_gain_over_best_component,whole_fusion_gain_over_best_single
l2_only_count,11,0.013528138528138611,0.005952380952380931,0.031596875346875386,0.01948051948051943
l2_only_count,23,-0.0076048951048951485,-0.005952380952380931,0.004080641580641586,0.007560495060495165
l2_only_count,37,-0.018621656121656116,0.0,0.02750721500721509,-0.013009213009213094
l1_l2_timeshared_count,11,0.00820013320013313,-0.0064102564102563875,0.04025141525141529,-0.09433413808413804
l1_l2_timeshared_count,23,0.03454878454878452,0.029761904761904767,0.024950743700743794,0.013902763902763904
l1_l2_timeshared_count,37,0.004103535353535248,-0.03514194139194149,0.062978687978688,0.030753968253968256
l1_fixed250_l2_whole_count,11,0.0027888777888777083,0.009264346764346731,0.040809884559884546,0.06318126318126327
l1_fixed250_l2_whole_count,23,-0.004552392052392107,-0.025432900432900474,0.04126776001776,-0.013131313131313105
l1_fixed250_l2_whole_count,37,0.032699938949939056,0.031385281385281294,0.04289113664113664,-0.01753246753246751
l1_capacity_no_phase_l2_whole_count,11,0.0002344877344875318,-0.01103896103896107,0.04883449883449886,-0.03132423132423123
l1_capacity_no_phase_l2_whole_count,23,0.049700299700299766,-0.00045787545787545625,0.09272671772671803,0.04660755910755909
l1_capacity_no_phase_l2_whole_count,37,0.024551837051836944,0.028273809523809534,-0.011904761904761973,-0.031374181374181465
