method,feature,block_index,layer,aggregation,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,coef_norm_fraction_mean,coef_norm_fraction_std
l2_only_count,l1_fixed250,0,l1,fixed250,6.987452129459047,2.1163678540371738,0.04457211541483962,0.013500055600052357,1.0,0.0
l2_only_count,l1_l2_fixed250,0,l1,fixed250,1.0235690028562014,0.9786872263370195,0.00652922336856008,0.006242927922670437,0.3392692109176228,0.014749873263767975
l2_only_count,l1_l2_fixed250,1,l2,fixed250,1.9153717103873291,1.7253542707067178,0.012217925412007384,0.011005827054070983,0.6607307890823773,0.014749873263767962
l2_only_count,l1_l2_whole,0,l1,whole_count,0.6668068858479567,0.010749194527580738,0.017013923201060037,0.0002742712681092744,0.27297175323686557,0.00330619878178645
l2_only_count,l1_l2_whole,1,l2,whole_count,1.7759294800797327,0.015754645071091103,0.04531376088918299,0.0004019879323211166,0.7270282467631345,0.00330619878178646
l2_only_count,l1_whole,0,l1,whole_count,11.46296235592093,4.876400324496326,0.29248342409102096,0.12442388100581576,1.0,0.0
l2_only_count,l1fixed250_l2whole,0,l1,fixed250,2.8962469363827057,1.9112239420266006,0.018474810320928754,0.0121914672972807,0.5103340643146576,0.03233072812734346
l2_only_count,l1fixed250_l2whole,1,l2,whole_count,2.6397185989571867,1.41849630869451,0.06735378783312095,0.036193668315864624,0.4896659356853425,0.032330728127343486
l2_only_count,l1whole_l2fixed250,0,l1,whole_count,0.4625037080247614,0.14664311829394405,0.011801021758394153,0.0037416751469870452,0.1661565760266155,0.003451156786369341
l2_only_count,l1whole_l2fixed250,1,l2,fixed250,2.3220362417089593,0.7370839579902921,0.014811989469887751,0.004701769777779294,0.8338434239733844,0.003451156786369309
l2_only_count,l2_fixed250,0,l2,fixed250,2.396882657952004,0.7639120323391091,0.015289425742990406,0.0048729028323002575,1.0,0.0
l2_only_count,l2_whole,0,l2,whole_count,1.9273296778856321,0.014150690197325132,0.04917681538481731,0.00036106219262135934,1.0,0.0
l1_l2_timeshared_count,l1_fixed250,0,l1,fixed250,4.27168825999042,0.0236735679193352,0.02724858483649441,0.0001510108380038888,1.0,0.0
l1_l2_timeshared_count,l1_l2_fixed250,0,l1,fixed250,0.9938791491432358,0.2688762204340572,0.0063398353682094484,0.0017151290209154466,0.34639113688758044,0.005241202133269645
l1_l2_timeshared_count,l1_l2_fixed250,1,l2,fixed250,1.8752545690610942,0.5047225764855738,0.011962023000058436,0.0032195645157617465,0.6536088631124196,0.005241202133269622
l1_l2_timeshared_count,l1_l2_whole,0,l1,whole_count,1.8131381648766771,1.1994700529510556,0.046263159761605575,0.030605099911241725,0.2947426665047836,0.011843519712083524
l1_l2_timeshared_count,l1_l2_whole,1,l2,whole_count,4.2464245209051965,2.6635092367826396,0.10834972195271093,0.06796081828445133,0.7052573334952164,0.011843519712083498
l1_l2_timeshared_count,l1_whole,0,l1,whole_count,8.799822673065462,5.041558889170834,0.22453203516650724,0.1286379873610553,1.0,0.0
l1_l2_timeshared_count,l1fixed250_l2whole,0,l1,fixed250,1.2671346257676885,0.032890922867975556,0.008082899136831653,0.00020980723488484032,0.5062719170013031,0.009359564462554483
l1_l2_timeshared_count,l1fixed250_l2whole,1,l2,whole_count,1.2355064246774516,0.014025472574534488,0.03152458660823057,0.00035786720009384253,0.4937280829986969,0.0093595644625545
l1_l2_timeshared_count,l1whole_l2fixed250,0,l1,whole_count,0.8392338299415076,0.49581035577263005,0.021413486023316303,0.012650858133653497,0.17256919895411282,0.0016212692478873509
l1_l2_timeshared_count,l1whole_l2fixed250,1,l2,fixed250,4.031164216611592,2.4003527960810143,0.025714310937668437,0.015311561336097306,0.8274308010458872,0.0016212692478874144
l1_l2_timeshared_count,l2_fixed250,0,l2,fixed250,3.2905929108351395,1.0127223054326768,0.020990295788452382,0.0064600335923048835,1.0,0.0
l1_l2_timeshared_count,l2_whole,0,l2,whole_count,7.06499248116581,2.330006392668651,0.18026694391099926,0.05945132041105306,1.0,0.0
l1_fixed250_l2_whole_count,l1_fixed250,0,l1,fixed250,7.202664583038708,1.7604916438798033,0.04594492973140884,0.011229964124841353,1.0,0.0
l1_fixed250_l2_whole_count,l1_l2_fixed250,0,l1,fixed250,2.323379514633024,0.9820547273506812,0.014820558046057683,0.006264408805982362,0.41242716421468817,0.00739866706262346
l1_fixed250_l2_whole_count,l1_l2_fixed250,1,l2,fixed250,3.296681257960925,1.3666058553750144,0.021029132621356323,0.008717414128043041,0.5875728357853118,0.007398667062623517
l1_fixed250_l2_whole_count,l1_l2_whole,0,l1,whole_count,4.539947415153261,2.0924499627262803,0.11583911068950953,0.05338994501026111,0.3507823776232126,0.028387302903521032
l1_fixed250_l2_whole_count,l1_l2_whole,1,l2,whole_count,8.133085530195935,3.081663277414055,0.20751989149367947,0.07863023529934705,0.6492176223767874,0.028387302903521077
l1_fixed250_l2_whole_count,l1_whole,0,l1,whole_count,12.582641040113538,6.189618192009374,0.32105260588417467,0.15793131534449084,1.0,0.0
l1_fixed250_l2_whole_count,l1fixed250_l2whole,0,l1,fixed250,4.576475483463519,0.1562454860810249,0.029192785819902548,0.0009966711341449002,0.6261223059483457,0.012055620524075421
