method,seed,feature,feature_dim,probe_C,train_ba,val_ba,test_ba,train_test_gap
l2_only_count,11,l1_fixed250,2048,1.0,0.996545584045584,0.5619588744588745,0.5310168997668997,0.4655286842786843
l2_only_count,11,l1_l2_fixed250,4096,0.01,0.9858411000646928,0.5782828282828283,0.5851572039072039,0.4006838961574889
l2_only_count,11,l1_l2_whole,256,0.01,0.9405052604619244,0.549416786916787,0.5953102453102452,0.34519501515167916
l2_only_count,11,l1_whole,128,1.0,0.958034309862185,0.5173039923039923,0.5707944832944832,0.38723982656770173
l2_only_count,11,l1fixed250_l2whole,2176,0.1,0.9922548479000092,0.5596019721019722,0.6074266011766012,0.384828246723408
l2_only_count,11,l1whole_l2fixed250,2176,0.01,0.9831529280216821,0.5637626262626262,0.5775814463314463,0.4055714816902358
l2_only_count,11,l2_fixed250,2048,0.01,0.9831529280216821,0.5978896103896104,0.5716290653790653,0.41152386264261676
l2_only_count,11,l2_whole,128,0.01,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.35540983068678544
l2_only_count,23,l1_fixed250,2048,1.0,0.9949115971174795,0.5534992784992785,0.5359772172272171,0.4589343798902623
l2_only_count,23,l1_l2_fixed250,4096,0.001,0.9383873969347473,0.5881373256373257,0.5979256854256854,0.3404617115090619
l2_only_count,23,l1_l2_whole,256,0.01,0.9131833039934626,0.5617183742183742,0.605726911976912,0.3074563920165506
l2_only_count,23,l1_whole,128,0.1,0.8691019735990975,0.5606601731601731,0.5981664169164168,0.27093555668268066
l2_only_count,23,l1fixed250_l2whole,2176,1.0,0.996545584045584,0.6081228956228956,0.5919504107004107,0.40459517334517336
l2_only_count,23,l1whole_l2fixed250,2176,0.1,0.9949115971174795,0.5963804713804713,0.5995781995781996,0.3953333975392799
l2_only_count,23,l2_fixed250,2048,0.1,0.9949115971174795,0.5963804713804713,0.6055305805305805,0.38938101658689894
l2_only_count,23,l2_whole,128,0.01,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.3106514111481635
l2_only_count,37,l1_fixed250,2048,0.1,0.9795506719975352,0.5329244829244829,0.5739600677100677,0.4055906042874675
l2_only_count,37,l1_l2_fixed250,4096,1.0,0.9983974358974358,0.5886784511784512,0.5659763847263847,0.4324210511710511
l2_only_count,37,l1_l2_whole,256,0.01,0.9250923078385099,0.5703463203463203,0.6125201187701187,0.31257218906839124
l2_only_count,37,l1_whole,128,1.0,0.9599365106984404,0.5264069264069263,0.6255293317793318,0.33440717891910865
l2_only_count,37,l1fixed250_l2whole,2176,0.01,0.9653454613157244,0.5739598364598365,0.6226280663780664,0.34271739493765796
l2_only_count,37,l1whole_l2fixed250,2176,0.1,0.9950023741690409,0.5930976430976431,0.5845980408480408,0.4104043333210001
l2_only_count,37,l2_fixed250,2048,0.1,0.9950023741690409,0.5930976430976431,0.5845980408480408,0.4104043333210001
l2_only_count,37,l2_whole,128,0.01,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.3191761954352058
l1_l2_timeshared_count,11,l1_fixed250,2048,0.1,0.991225699681582,0.5585557960557961,0.5810779498279498,0.4101477498536322
l1_l2_timeshared_count,11,l1_l2_fixed250,4096,0.1,0.9983974358974358,0.6142075517075517,0.6031877844377843,0.3952096514596515
l1_l2_timeshared_count,11,l1_l2_whole,256,1.0,0.9933090330149154,0.6302068302068302,0.5437111499611499,0.44959788305376547
l1_l2_timeshared_count,11,l1_whole,128,0.1,0.8796734967823467,0.5779521404521405,0.6380452880452879,0.2416282087370588
l1_l2_timeshared_count,11,l1fixed250_l2whole,2176,0.01,0.9804505143432247,0.6048821548821549,0.6213293650793651,0.35912114926385963
l1_l2_timeshared_count,11,l1whole_l2fixed250,2176,0.1,0.9983974358974358,0.6364297739297738,0.5885773948273948,0.409820041070041
l1_l2_timeshared_count,11,l2_fixed250,2048,0.1,0.9983974358974358,0.636429773929774,0.5949876512376512,0.4034097846597846
l1_l2_timeshared_count,11,l2_whole,128,1.0,0.9933090330149154,0.6385401635401635,0.5471833721833722,0.44612566083154315
l1_l2_timeshared_count,23,l1_fixed250,2048,0.1,0.9885001549402216,0.5761423761423762,0.5995664058164057,0.38893374912381584
l1_l2_timeshared_count,23,l1_l2_fixed250,4096,0.01,0.9874459698253153,0.560990860990861,0.6463494838494838,0.34109648597583153
l1_l2_timeshared_count,23,l1_l2_whole,256,0.01,0.9141873864149964,0.5881734006734006,0.6456800144300143,0.2685073719849821
l1_l2_timeshared_count,23,l1_whole,128,1.0,0.9674887542325082,0.5403559403559404,0.5908563658563658,0.37663238837614244
l1_l2_timeshared_count,23,l1fixed250_l2whole,2176,0.01,0.9718826659411643,0.5824555074555074,0.6567279942279942,0.31515467171317013
l1_l2_timeshared_count,23,l1whole_l2fixed250,2176,0.1,0.9983974358974358,0.5778559403559403,0.641562604062604,0.3568348318348318
l1_l2_timeshared_count,23,l2_fixed250,2048,1.0,0.9983974358974358,0.5778559403559403,0.6118006993006992,0.38659673659673655
l1_l2_timeshared_count,23,l2_whole,128,0.1,0.9709633170270395,0.5758718133718134,0.6317772505272504,0.3391860664997891
l1_l2_timeshared_count,37,l1_fixed250,2048,0.1,0.9901341418683262,0.5056096681096681,0.5761176323676324,0.4140165095006938
l1_l2_timeshared_count,37,l1_l2_fixed250,4096,0.1,0.996545584045584,0.601376863876864,0.6145444832944832,0.38200110075110083
l1_l2_timeshared_count,37,l1_l2_whole,256,0.1,0.9820869103546205,0.6249518999519,0.5910596348096347,0.39102727554498573
l1_l2_timeshared_count,37,l1_whole,128,0.1,0.8753388082915832,0.559565897065897,0.5511426073926072,0.32419620089897594
l1_l2_timeshared_count,37,l1fixed250_l2whole,2176,0.01,0.9793649064027781,0.5957551707551708,0.6390963203463204,0.3402685860564577
l1_l2_timeshared_count,37,l1whole_l2fixed250,2176,10.0,1.0,0.6143398268398268,0.5752990065490065,0.42470099345099355
l1_l2_timeshared_count,37,l2_fixed250,2048,0.1,0.996545584045584,0.6198953823953824,0.6104409479409479,0.3861046361046361
l1_l2_timeshared_count,37,l2_whole,128,1.0,0.996545584045584,0.6396344396344397,0.5603056665556665,0.43623991748991753
l1_fixed250_l2_whole_count,11,l1_fixed250,2048,1.0,1.0,0.5774050024050025,0.5575528638028637,0.44244713619713627
l1_fixed250_l2_whole_count,11,l1_l2_fixed250,4096,10.0,1.0,0.6347703222703222,0.5967393717393716,0.40326062826062836
l1_fixed250_l2_whole_count,11,l1_l2_whole,256,0.1,0.9617107119394378,0.5819925444925446,0.6021325896325896,0.35957812230684816
l1_fixed250_l2_whole_count,11,l1_whole,128,0.1,0.7676225143391106,0.4718614718614718,0.5382575757575758,0.22936493858153473
l1_fixed250_l2_whole_count,11,l1fixed250_l2whole,2176,1.0,1.0,0.616456228956229,0.5983627483627483,0.4016372516372517
l1_fixed250_l2_whole_count,11,l1whole_l2fixed250,2176,0.1,1.0,0.6053030303030303,0.6032148407148407,0.39678515928515934
l1_fixed250_l2_whole_count,11,l2_fixed250,2048,1.0,1.0,0.6151936026936027,0.5939504939504939,0.40604950604950607
l1_fixed250_l2_whole_count,11,l2_whole,128,10.0,1.0,0.5715127465127465,0.5389513264513264,0.4610486735486736
l1_fixed250_l2_whole_count,23,l1_fixed250,2048,1.0,1.0,0.5814393939393939,0.5846091408591408,0.41539085914085916
l1_fixed250_l2_whole_count,23,l1_l2_fixed250,4096,0.1,1.0,0.6360630110630111,0.5989940614940614,0.4010059385059386
l1_fixed250_l2_whole_count,23,l1_l2_whole,256,1.0,1.0,0.5709114959114959,0.5619560994560994,0.43804390054390063
l1_fixed250_l2_whole_count,23,l1_whole,128,1.0,0.9401787457691069,0.5386363636363637,0.5750874125874125,0.3650913331816944
l1_fixed250_l2_whole_count,23,l1fixed250_l2whole,2176,1.0,1.0,0.6023989898989898,0.6258769008769008,0.37412309912309916
l1_fixed250_l2_whole_count,23,l1whole_l2fixed250,2176,0.1,1.0,0.6385040885040885,0.5781135531135531,0.42188644688644694
l1_fixed250_l2_whole_count,23,l2_fixed250,2048,1.0,1.0,0.6428030303030304,0.6035464535464535,0.39645354645354647
l1_fixed250_l2_whole_count,23,l2_whole,128,0.1,0.9337662054823542,0.5557599807599807,0.525272644022644,0.4084935614597103
l1_fixed250_l2_whole_count,37,l1_fixed250,2048,10.0,1.0,0.5906986531986532,0.5511426073926072,0.44885739260739277
l1_fixed250_l2_whole_count,37,l1_l2_fixed250,4096,1.0,1.0,0.6291185666185667,0.5838425463425463,0.4161574536574537
l1_fixed250_l2_whole_count,37,l1_l2_whole,256,1.0,1.0,0.590566378066378,0.49862637362637363,0.5013736263736264
l1_fixed250_l2_whole_count,37,l1_whole,128,1.0,0.9236872465327407,0.5525372775372775,0.4939796314796315,0.4297076150531092
l1_fixed250_l2_whole_count,37,l1fixed250_l2whole,2176,1.0,1.0,0.6127886002886002,0.5940337440337439,0.40596625596625613
