method,seed,bin_index,coef_fro_norm,coef_rms,norm_fraction
l1_fixed250_l2_whole_count,11,0,6.748276902888884,0.17218578182382244,0.06588280383702223
l1_fixed250_l2_whole_count,11,1,7.018730821251407,0.1790865536876195,0.0685232204510477
l1_fixed250_l2_whole_count,11,2,7.497327204397619,0.1912981883902213,0.0731957127156185
l1_fixed250_l2_whole_count,11,3,7.110108514334039,0.18141810287433924,0.06941533242497476
l1_fixed250_l2_whole_count,11,4,6.968708896219725,0.177810218351376,0.06803486101917527
l1_fixed250_l2_whole_count,11,5,7.249565322336113,0.18497641559061387,0.07077683635517133
l1_fixed250_l2_whole_count,11,6,9.070366824295625,0.23143510936867673,0.0885531531699719
l1_fixed250_l2_whole_count,11,7,9.787670185483137,0.2497374763029757,0.09555611960374742
l1_fixed250_l2_whole_count,11,8,9.213619404045616,0.2350902731678937,0.08995171486899994
l1_fixed250_l2_whole_count,11,9,9.097653591548212,0.2321313453738738,0.08881955135726013
l1_fixed250_l2_whole_count,11,10,7.759312583402344,0.1979828810842967,0.07575345176241832
l1_fixed250_l2_whole_count,11,11,6.850476123826837,0.17479344790098858,0.06688056538745138
l1_fixed250_l2_whole_count,11,12,0.6581535500750699,0.01679312885505436,0.006425492293547278
l1_fixed250_l2_whole_count,11,13,1.541837326385074,0.03934077829187998,0.015052815345994591
l1_fixed250_l2_whole_count,11,14,2.9292512948529894,0.07474136459142439,0.028598009717936516
l1_fixed250_l2_whole_count,11,15,2.927443428897109,0.07469523595480712,0.028580359689662795
l1_fixed250_l2_whole_count,23,0,6.2079478703995425,0.158399006586212,0.06487773411146906
l1_fixed250_l2_whole_count,23,1,6.78657649899118,0.17316301586346114,0.07092483938663564
l1_fixed250_l2_whole_count,23,2,6.656561569637651,0.16984561757325123,0.06956608538399019
l1_fixed250_l2_whole_count,23,3,6.777659221371004,0.17293548690445934,0.07083164711464533
l1_fixed250_l2_whole_count,23,4,6.531931100745564,0.16666560658169471,0.0682636030513787
l1_fixed250_l2_whole_count,23,5,7.003052729713193,0.17868651905835628,0.07318717915356605
l1_fixed250_l2_whole_count,23,6,8.455486061940546,0.2157461081142656,0.08836620215924997
l1_fixed250_l2_whole_count,23,7,9.023021160350362,0.23022706022076855,0.09429737168293811
l1_fixed250_l2_whole_count,23,8,8.478175519583303,0.21632504138265354,0.0886033240924252
l1_fixed250_l2_whole_count,23,9,8.536831577820527,0.217821681101447,0.08921632410946571
l1_fixed250_l2_whole_count,23,10,7.132552081092535,0.18199076210940598,0.07454054497779548
l1_fixed250_l2_whole_count,23,11,6.729761688865359,0.17171335654428016,0.07033108180008887
l1_fixed250_l2_whole_count,23,12,0.5609341703763226,0.014312526007431187,0.005862184850687278
l1_fixed250_l2_whole_count,23,13,1.1781553024074236,0.03006124300679789,0.012312610873565026
l1_fixed250_l2_whole_count,23,14,2.783908081672739,0.07103285719696426,0.029093937656069522
l1_fixed250_l2_whole_count,23,15,2.8443240056063606,0.07257440080088273,0.029725329596029863
l1_fixed250_l2_whole_count,37,0,5.878156146374627,0.14998419986481815,0.06640518263091642
l1_fixed250_l2_whole_count,37,1,6.299111933638659,0.1607251048967813,0.07116069528432727
