method,aggregation,split,both_correct_mean,both_correct_std,l1_only_correct_mean,l1_only_correct_std,l2_only_correct_mean,l2_only_correct_std,both_wrong_mean,both_wrong_std,prediction_disagreement_mean,prediction_disagreement_std,oracle_union_accuracy_mean,oracle_union_accuracy_std
l2_only_count,fixed250,test,0.4863013698630137,0.0,0.0730593607305936,0.02593108833698755,0.1141552511415525,0.014257986297713236,0.32648401826484014,0.02768117728991358,0.3310502283105023,0.020925003173314353,0.6735159817351599,0.02768117728991351
l2_only_count,fixed250,train,0.9862306368330463,0.007887393622987671,0.004016064257028113,0.006956027339634046,0.0051635111876075735,0.008943463722386628,0.004589787722317843,0.0009937181913762922,0.01204819277108434,0.010748705677105678,0.9954102122776822,0.0009937181913763332
l2_only_count,fixed250,val,0.45502645502645506,0.009164289987136908,0.10582010582010581,0.01652115872592169,0.14814814814814814,0.009164289987136916,0.291005291005291,0.0165211587259217,0.38888888888888884,0.020998026278290425,0.708994708994709,0.016521158725921675
l2_only_count,whole,test,0.5114155251141552,0.03378686891997431,0.0958904109589041,0.0136986301369863,0.08904109589041094,0.02985547221603201,0.3036529680365297,0.010462501586657158,0.30821917808219174,0.05852057359806529,0.6963470319634704,0.010462501586657208
l2_only_count,whole,train,0.8973034997131383,0.03872952112848574,0.03327596098680436,0.015617507273455188,0.02065404475043029,0.02535442317152536,0.04876649454962708,0.02490250649938119,0.06540447504302926,0.024096385542168672,0.9512335054503729,0.02490250649938124
l2_only_count,whole,val,0.4735449735449735,0.030047134104763337,0.07936507936507936,0.013746434980705375,0.10317460317460318,0.036369648372665396,0.3439153439153439,0.022910724967842296,0.29894179894179895,0.051024607201020915,0.6560846560846562,0.02291072496784226
l1_l2_timeshared_count,fixed250,test,0.5182648401826485,0.020925003173314343,0.0821917808219178,0.01186336169567724,0.09817351598173514,0.0197722694927954,0.30136986301369867,0.006849315068493164,0.2968036529680365,0.025931088336987543,0.6986301369863014,0.006849315068493178
l1_l2_timeshared_count,fixed250,train,0.9896729776247849,0.0017211703958691926,0.0,0.0,0.008032128514056226,0.001987436382752585,0.0022948938611589216,0.0009937181913762922,0.010327022375215147,0.0017211703958691922,0.9977051061388411,0.000993718191376277
l1_l2_timeshared_count,fixed250,val,0.4576719576719577,0.016521158725921685,0.10052910052910052,0.02551230360051046,0.15079365079365079,0.041239304942116126,0.291005291005291,0.03207501495497923,0.38095238095238093,0.015873015873015872,0.708994708994709,0.03207501495497922
l1_l2_timeshared_count,whole,test,0.5,0.01369863013698632,0.11187214611872147,0.04560498711287255,0.091324200913242,0.037723085940315766,0.2968036529680365,0.03378686891997431,0.3219178082191781,0.02372672339135449,0.7031963470319634,0.03378686891997429
l1_l2_timeshared_count,whole,train,0.9070567986230637,0.04475043029259896,0.004016064257028113,0.005532788732640823,0.08032128514056225,0.05773836202138439,0.008605851979345954,0.007502407820207699,0.08777969018932874,0.05079640125085613,0.9913941480206541,0.007502407820207687
l1_l2_timeshared_count,whole,val,0.48412698412698413,0.028615486313206324,0.08730158730158728,0.013746434980705375,0.13227513227513227,0.03004713410476335,0.2962962962962963,0.048492864496887195,0.32275132275132273,0.03207501495497919,0.7037037037037037,0.048492864496887195
