method,seed,aggregation,split,both_correct,both_wrong,l1_only_correct,l2_only_correct,oracle_union_accuracy,prediction_disagreement
l2_only_count,11,fixed250,test,0.4863013698630137,0.3561643835616438,0.0547945205479452,0.10273972602739725,0.6438356164383562,0.3082191780821918
l2_only_count,11,fixed250,train,0.9845094664371773,0.0034423407917383822,0.012048192771084338,0.0,0.9965576592082617,0.01549053356282272
l2_only_count,11,fixed250,val,0.4603174603174603,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.7142857142857143,0.3968253968253968
l2_only_count,11,whole,test,0.4726027397260274,0.2945205479452055,0.1095890410958904,0.1232876712328767,0.7054794520547946,0.363013698630137
l2_only_count,11,whole,train,0.927710843373494,0.03614457831325301,0.03098106712564544,0.0051635111876075735,0.963855421686747,0.04130808950086059
l2_only_count,11,whole,val,0.4603174603174603,0.35714285714285715,0.07142857142857142,0.1111111111111111,0.6428571428571429,0.2777777777777778
l2_only_count,23,fixed250,test,0.4863013698630137,0.3219178082191781,0.06164383561643835,0.13013698630136986,0.678082191780822,0.3493150684931507
l2_only_count,23,fixed250,train,0.9948364888123924,0.0051635111876075735,0.0,0.0,0.9948364888123924,0.0
l2_only_count,23,fixed250,val,0.4444444444444444,0.2777777777777778,0.11904761904761904,0.15873015873015872,0.7222222222222222,0.40476190476190477
l2_only_count,23,whole,test,0.5342465753424658,0.3150684931506849,0.0821917808219178,0.0684931506849315,0.684931506849315,0.2465753424657534
l2_only_count,23,whole,train,0.8537005163511188,0.0774526678141136,0.0189328743545611,0.04991394148020654,0.9225473321858864,0.08950086058519793
l2_only_count,23,whole,val,0.5079365079365079,0.35714285714285715,0.07142857142857142,0.06349206349206349,0.6428571428571429,0.2619047619047619
l2_only_count,37,fixed250,test,0.4863013698630137,0.3013698630136986,0.10273972602739725,0.1095890410958904,0.6986301369863014,0.3356164383561644
l2_only_count,37,fixed250,train,0.9793459552495697,0.0051635111876075735,0.0,0.01549053356282272,0.9948364888123924,0.020654044750430294
l2_only_count,37,fixed250,val,0.4603174603174603,0.30952380952380953,0.0873015873015873,0.14285714285714285,0.6904761904761905,0.36507936507936506
l2_only_count,37,whole,test,0.5273972602739726,0.3013698630136986,0.0958904109589041,0.07534246575342465,0.6986301369863014,0.3150684931506849
l2_only_count,37,whole,train,0.9104991394148021,0.03270223752151463,0.04991394148020654,0.0068846815834767644,0.9672977624784854,0.06540447504302926
l2_only_count,37,whole,val,0.4523809523809524,0.31746031746031744,0.09523809523809523,0.1349206349206349,0.6825396825396826,0.35714285714285715
l1_l2_timeshared_count,11,fixed250,test,0.5,0.2945205479452055,0.0958904109589041,0.1095890410958904,0.7054794520547946,0.3150684931506849
l1_l2_timeshared_count,11,fixed250,train,0.9913941480206541,0.0017211703958691911,0.0,0.0068846815834767644,0.9982788296041308,0.008605851979345954
l1_l2_timeshared_count,11,fixed250,val,0.4523809523809524,0.25396825396825395,0.11904761904761904,0.1746031746031746,0.746031746031746,0.3968253968253968
l1_l2_timeshared_count,11,whole,test,0.5,0.2808219178082192,0.1643835616438356,0.0547945205479452,0.7191780821917808,0.3356164383561644
l1_l2_timeshared_count,11,whole,train,0.882960413080895,0.0051635111876075735,0.0017211703958691911,0.11015490533562823,0.9948364888123924,0.11359724612736662
l1_l2_timeshared_count,11,whole,val,0.5158730158730159,0.2857142857142857,0.07936507936507936,0.11904761904761904,0.7142857142857143,0.31746031746031744
l1_l2_timeshared_count,23,fixed250,test,0.541095890410959,0.3082191780821918,0.07534246575342465,0.07534246575342465,0.6917808219178082,0.2671232876712329
l1_l2_timeshared_count,23,fixed250,train,0.9879518072289156,0.0017211703958691911,0.0,0.010327022375215147,0.9982788296041308,0.012048192771084338
l1_l2_timeshared_count,23,fixed250,val,0.47619047619047616,0.30952380952380953,0.1111111111111111,0.10317460317460317,0.6904761904761905,0.36507936507936506
l1_l2_timeshared_count,23,whole,test,0.5136986301369864,0.273972602739726,0.0821917808219178,0.13013698630136986,0.726027397260274,0.2945205479452055
l1_l2_timeshared_count,23,whole,train,0.9586919104991394,0.01721170395869191,0.010327022375215147,0.013769363166953529,0.9827882960413081,0.029259896729776247
l1_l2_timeshared_count,23,whole,val,0.4603174603174603,0.3492063492063492,0.07936507936507936,0.1111111111111111,0.6507936507936508,0.29365079365079366
l1_l2_timeshared_count,37,fixed250,test,0.5136986301369864,0.3013698630136986,0.07534246575342465,0.1095890410958904,0.6986301369863014,0.3082191780821918
l1_l2_timeshared_count,37,fixed250,train,0.9896729776247849,0.0034423407917383822,0.0,0.0068846815834767644,0.9965576592082617,0.010327022375215147
l1_l2_timeshared_count,37,fixed250,val,0.4444444444444444,0.30952380952380953,0.07142857142857142,0.1746031746031746,0.6904761904761905,0.38095238095238093
l1_l2_timeshared_count,37,whole,test,0.4863013698630137,0.3356164383561644,0.08904109589041095,0.08904109589041095,0.6643835616438356,0.3356164383561644
l1_l2_timeshared_count,37,whole,train,0.8795180722891566,0.0034423407917383822,0.0,0.11703958691910499,0.9965576592082617,0.12048192771084337
l1_l2_timeshared_count,37,whole,val,0.47619047619047616,0.25396825396825395,0.10317460317460317,0.16666666666666666,0.746031746031746,0.35714285714285715
l1_fixed250_l2_whole_count,11,fixed250,test,0.5205479452054794,0.3424657534246575,0.04794520547945205,0.08904109589041095,0.6575342465753424,0.2328767123287671
l1_fixed250_l2_whole_count,11,fixed250,train,1.0,0.0,0.0,0.0,1.0,0.0
l1_fixed250_l2_whole_count,11,fixed250,val,0.5079365079365079,0.29365079365079366,0.07936507936507936,0.11904761904761904,0.7063492063492064,0.29365079365079366
l1_fixed250_l2_whole_count,11,whole,test,0.4315068493150685,0.3356164383561644,0.1232876712328767,0.1095890410958904,0.6643835616438356,0.4520547945205479
