method,seed,mean_pairwise_cosine,std_pairwise_cosine,mean_adjacent_cosine,between_bin_weight_rms
l1_fixed250_l2_whole_count,11,0.21643010795284787,0.22720334556866856,0.4671508819207072,0.15132729264828734
l1_fixed250_l2_whole_count,23,0.21483266245065286,0.22801370957944955,0.43777432884190726,0.14107734861584734
l1_fixed250_l2_whole_count,37,0.20868286028443245,0.2268390782446395,0.4595779344050745,0.1319255734287042
l1_capacity_no_phase_l2_whole_count,11,0.9950882829483249,0.00014825179774647607,0.9950689956843343,0.012287687362018018
l1_capacity_no_phase_l2_whole_count,23,0.9918938060007999,0.00025344540478247266,0.9918726429935385,0.012359650528207767
l1_capacity_no_phase_l2_whole_count,37,0.9948543686715285,0.0001371853067806093,0.9949025375842948,0.012382835232153706
