comparison,native_test_ba_delta_mean,native_test_ba_delta_std,lif_test_ba_delta_mean,lif_test_ba_delta_std,target_probe_test_ba_delta_mean,target_probe_test_ba_delta_std
phase_vs_capacity,0.007204600954600997,0.006080862312907615,-0.07078338328338322,0.03349004082081916,-0.03911065786065796,0.028255636635858172
phase_vs_timeshared,0.010954785954785976,0.025297340436009074,-0.09393893143893141,0.04233244677083687,-0.03296009546009556,0.011197936195496127
timeshared_vs_l2,0.010846560846560846,0.02451532509826455,-0.011423298923298927,0.04412743382863326,0.03171620046620046,0.028660717406716534
