epoch,train_progress_mae,train_smooth_l1,train_spearman,val_progress_mae,val_smooth_l1,val_spearman
0,0.28098695669061796,0.2340732429608387,-0.28413638436202837,0.2832747084227848,0.23613768565242954,-0.36845311062974845
1,,0.20376666318529033,,0.22188885433069713,0.17633026666001403,0.49430860387346587
2,,0.16767670237258872,,0.20445610086600002,0.15963499128674608,0.6653509401153377
3,,0.15853790361786874,,0.2029634423928282,0.15815585590450054,0.6034193465801007
4,,0.15180971000260207,,0.19549462245874946,0.15115669134379475,0.6953918596923875
5,,0.14736436150980897,,0.19697955172101286,0.15233772521841768,0.6437033078235976
6,,0.14366531713181233,,0.19488457235482812,0.15032304356808268,0.6502559816229962
7,,0.14029413397566587,,0.19098032890474265,0.14672059501567308,0.6733573711179037
8,,0.13749082353152015,,0.19135381942915633,0.14706313815797303,0.6491060554782534
9,,0.13482035991452032,,0.19304487768019668,0.14858042345133973,0.6336999197164644
10,,0.13322687846658152,,0.18612682713916298,0.14217866593264283,0.7068879004261279
11,,0.13143518018230102,,0.18618709293496907,0.14214719378513715,0.6684013927834294
12,,0.1302264129643596,,0.19173063835266366,0.14728243415217696,0.6216464424705297
13,,0.12776428507240217,,0.18319918256219775,0.139285763008734,0.7040819857363033
14,,0.12691803962607803,,0.18912384597400325,0.14483793697424951,0.6298188698789284
15,,0.12630489812250187,,0.18621418939471618,0.14213902251399563,0.6467567411149194
16,,0.12461632924882148,,0.18245205229188177,0.13861128680123935,0.6846383125140295
17,,0.1229646154863699,,0.1830615457824564,0.1393294295961997,0.6641033528187622
18,,0.12188726681542683,,0.1856186327387843,0.1416239124473712,0.6401608243722363
19,,0.1213441084230418,,0.180255122310598,0.13670209116996512,0.6937032761132634
20,,0.11974095580089524,,0.18430295076698838,0.1404074353813686,0.6460962598115128
21,,0.1195965867726815,,0.18305300329037932,0.1391004181185085,0.6522442097691035
22,,0.11947764783276954,,0.1780406877511507,0.1343987997072579,0.7023308368127308
23,,0.11828966064317707,,0.17764358302928782,0.1341541645041248,0.7068188349604789
24,,0.11786431231874196,,0.18337954313039115,0.13935697341703313,0.6500243394486652
25,,0.11704202023256256,,0.18449813817669056,0.1405978114197665,0.638627480832063
26,,0.11682153856077211,,0.17542751750229602,0.13208188035107246,0.7107908504868717
27,,0.11542597377156637,,0.17685099036152438,0.1333396819778242,0.7035873931556328
28,,0.11379388029881066,,0.18010813497461062,0.13625602754148178,0.6635180555462336
29,,0.11323566874569337,,0.17790931073413804,0.13421754191801955,0.6787271499144628
30,,0.11321830452001444,,0.17401320342556917,0.13069801346780607,0.7162378275702805
31,,0.11246221416378185,,0.1748252415595756,0.1314137548778851,0.711281761857783
32,,0.11231813956815076,,0.18287835901526647,0.13884415791315763,0.6447334216538781
33,,0.11349489319293717,,0.1808456340953298,0.1370738358242793,0.6530620958909273
34,,0.11276592956711626,,0.17438143005105358,0.1308977263290194,0.7384386135729404
35,,0.11252974894494075,,0.1748754318298279,0.13141257514594534,0.6881953287320498
36,,0.11068713120000498,,0.18010729968770842,0.13630200379338828,0.6604622703779364
37,,0.10983105134635703,,0.1764120515907169,0.13265571163167475,0.6812075002742733
38,,0.10850507072245193,,0.17601129840677404,0.1322560392525786,0.6825904283071293
39,,0.10782951579498137,,0.17441442690108017,0.1306308244601912,0.7018314537891563
40,,0.10730561110064413,,0.1752014043637233,0.13147445756640502,0.6859855830136224
41,,0.10717106601559973,,0.17698109841086113,0.13319377201343388,0.6786796246916915
42,,0.10699449710406864,,0.1734119834967283,0.1296420063722598,0.701679376171605
43,,0.10634771807571286,,0.1731135602243839,0.12946048848325736,0.6984129905665155
44,,0.10575758393937257,,0.17232381681493403,0.12867610910990415,0.703754708426487
45,,0.10481330866503838,,0.176931976726137,0.13301936910309056,0.678892890799214
46,,0.10514381928000721,,0.17294137985209443,0.12914035134365764,0.7005614488973205
47,,0.10498108357037202,,0.1722351910559519,0.12850695830708037,0.7030093806575671
48,,0.10413599629820727,,0.1733851164717712,0.12950134012267325,0.7024692207064495
49,,0.10362479688275907,,0.17090171927716385,0.12709290996208433,0.7152750003434325
