seed,model_state,split,prediction_equal,max_relation_error,sum_ba,mean_ba,sum_ce,mean_ce
11,initial_shared_weights,val,True,1.9706785678863525e-06,0.08793290043290043,0.08793290043290043,3.680001974105835,2.487469434738159
11,trained_mean_model,test,True,0.00025844573974609375,0.5505723443223443,0.5505723443223443,48.3448486328125,1.430204153060913
11,trained_mean_model,train,True,0.0004596710205078125,0.8542741569766127,0.8542741569766127,9.185751914978027,0.8006625771522522
11,trained_mean_model,val,True,0.0004138946533203125,0.5587061087061086,0.5587061087061086,33.617645263671875,1.3367388248443604
11,trained_sum_model,test,True,2.1249055862426758e-05,0.43176961926961926,0.43176961926961926,3.8774707317352295,2.390123128890991
11,trained_sum_model,train,True,4.073977470397949e-05,0.8937391863787042,0.8937391863787042,0.33909502625465393,2.342832088470459
11,trained_sum_model,val,True,2.1070241928100586e-05,0.39408970658970666,0.39408970658970666,3.506660223007202,2.4211127758026123
23,initial_shared_weights,val,True,4.887580871582031e-06,0.10932539682539681,0.10932539682539681,3.4926815032958984,2.4828391075134277
23,trained_mean_model,test,True,0.0002422332763671875,0.5303994616494616,0.5303994616494616,47.695098876953125,1.5591641664505005
23,trained_mean_model,train,True,0.0004119873046875,0.7606778821907249,0.7606778821907249,13.754607200622559,1.0666345357894897
23,trained_mean_model,val,True,0.0002899169921875,0.5114177489177488,0.5114177489177488,35.46700668334961,1.4998550415039062
23,trained_sum_model,test,True,2.2470951080322266e-05,0.3846694971694971,0.3846694971694971,3.524260997772217,2.388965368270874
23,trained_sum_model,train,True,3.910064697265625e-05,0.9070138104540142,0.9070138104540142,0.31065914034843445,2.33217716217041
23,trained_sum_model,val,True,1.5795230865478516e-05,0.4086399711399711,0.4086399711399711,2.3842031955718994,2.4026901721954346
37,initial_shared_weights,val,True,6.5267086029052734e-06,0.05856782106782107,0.05856782106782107,4.947644233703613,2.4877896308898926
37,trained_mean_model,test,True,0.0002727508544921875,0.5550879675879675,0.5550879675879675,49.86009979248047,1.3809069395065308
37,trained_mean_model,train,True,0.0004987716674804688,0.9401752194297962,0.9401752194297962,3.8083760738372803,0.46234142780303955
37,trained_mean_model,val,True,0.00043010711669921875,0.6060606060606061,0.6060606060606061,37.24163818359375,1.1870086193084717
37,trained_sum_model,test,True,1.2874603271484375e-05,0.39532065157065155,0.39532065157065155,3.518510341644287,2.394150733947754
37,trained_sum_model,train,True,2.2590160369873047e-05,0.8776192913266491,0.8776192913266491,0.4013303816318512,2.345121383666992
37,trained_sum_model,val,True,1.6570091247558594e-05,0.37715848965848964,0.37715848965848964,3.0068421363830566,2.4143874645233154
