architecture,regularization,seed,condition,split,accuracy,balanced_accuracy,macro_f1,objective_loss
234x234,task_only,11,sum_ce_reuse_c0,test,0.4520547945205479,0.43176961926961926,0.41069420572004806,3.8774706304889834
234x234,task_only,11,sum_ce_reuse_c0,train,0.8932874354561101,0.8937391863787042,0.8992306697740071,0.33909501759864374
234x234,task_only,11,sum_ce_reuse_c0,val,0.40476190476190477,0.39408970658970666,0.4018506422289825,3.506660223007202
234x234,task_only,11,mean_ce,test,0.5684931506849316,0.5505723443223443,0.5479560628318462,1.430204153060913
234x234,task_only,11,mean_ce,train,0.8554216867469879,0.8542741569766127,0.8578320975688678,0.8006625771522522
234x234,task_only,11,mean_ce,val,0.5634920634920635,0.5587061087061086,0.5555794062259579,1.3367388248443604
234x234,task_only,23,sum_ce_reuse_c0,test,0.3904109589041096,0.3846694971694971,0.3784763430685801,3.5242615007374383
234x234,task_only,23,sum_ce_reuse_c0,train,0.9053356282271945,0.9070138104540142,0.9084444880140355,0.3106591290250908
234x234,task_only,23,sum_ce_reuse_c0,val,0.4126984126984127,0.4086399711399711,0.3980597098979452,2.3842034339904785
234x234,task_only,23,mean_ce,test,0.547945205479452,0.5303994616494616,0.506042309543297,1.5591641664505005
234x234,task_only,23,mean_ce,train,0.7641996557659209,0.7606778821907249,0.7597589812517462,1.0666345357894897
234x234,task_only,23,mean_ce,val,0.5238095238095238,0.5114177489177488,0.5054930406650344,1.4998550415039062
234x234,task_only,37,sum_ce_reuse_c0,test,0.3972602739726027,0.39532065157065155,0.37325650308106445,3.5185103253142476
234x234,task_only,37,sum_ce_reuse_c0,train,0.8760757314974182,0.8776192913266491,0.8823150805696652,0.4013304069971669
234x234,task_only,37,sum_ce_reuse_c0,val,0.373015873015873,0.37715848965848964,0.3868235080670581,3.0068416595458984
234x234,task_only,37,mean_ce,test,0.5616438356164384,0.5550879675879675,0.5506706749131706,1.3809069395065308
234x234,task_only,37,mean_ce,train,0.9397590361445783,0.9401752194297962,0.9415194684534427,0.46234142780303955
234x234,task_only,37,mean_ce,val,0.6111111111111112,0.6060606060606061,0.6056036283977461,1.1870086193084717
