seed,metric,mean_minus_sum,sum_value,mean_value
11,native_test_ba,0.11880272505272499,0.43176961926961926,0.5505723443223443
11,l2_wholecount_matched_biasfree_test_ba,0.06775793650793654,0.4188055000555,0.48656343656343654
11,l2_wholecount_linear_test_ba,0.1926205738705739,0.3955509768009768,0.5881715506715507
11,l2_fixed250_linear_test_ba,0.15183080808080807,0.49423423798423793,0.646065046065046
23,native_test_ba,0.1457299644799645,0.3846694971694971,0.5303994616494616
23,l2_wholecount_matched_biasfree_test_ba,0.04978354978354982,0.43781704406704397,0.4876005938505938
23,l2_wholecount_linear_test_ba,0.0964875402375403,0.4531739094239094,0.5496614496614497
23,l2_fixed250_linear_test_ba,0.07647491397491407,0.49849802974802965,0.5749729437229437
37,native_test_ba,0.15976731601731597,0.39532065157065155,0.5550879675879675
37,l2_wholecount_matched_biasfree_test_ba,0.08176406926406932,0.35798507048507044,0.43974913974913976
37,l2_wholecount_linear_test_ba,0.11637806637806641,0.41869519369519365,0.5350732600732601
37,l2_fixed250_linear_test_ba,0.13426434676434668,0.4327283827283827,0.5669927294927294
